command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	568208	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/912/CWE127_Buffer_Underread__malloc_char_memmove_52c.c								
ANR	568209	Function	CWE127_Buffer_Underread__malloc_char_memmove_52c_badSink	25:0:782:1396							
ANR	568210	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_52c_badSink (char * data)		568209	0					
ANR	568211	CompoundStatement		26:0:858:1396	568209	0					
ANR	568212	CompoundStatement		3:8:17:31	568209	0					
ANR	568213	IdentifierDeclStatement	char dest [ 100 ] ;	28:8:876:890	568209	0	True				
ANR	568214	IdentifierDecl	dest [ 100 ]		568209	0					
ANR	568215	IdentifierDeclType	char [ 100 ]		568209	0					
ANR	568216	Identifier	dest		568209	1					
ANR	568217	PrimaryExpression	100		568209	2					
ANR	568218	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	29:8:901:925	568209	1	True				
ANR	568219	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		568209	0					
ANR	568220	Callee	memset		568209	0					
ANR	568221	Identifier	memset		568209	0					
ANR	568222	ArgumentList	dest		568209	1					
ANR	568223	Argument	dest		568209	0					
ANR	568224	Identifier	dest		568209	0					
ANR	568225	Argument	'C'		568209	1					
ANR	568226	PrimaryExpression	'C'		568209	0					
ANR	568227	Argument	100 - 1		568209	2					
ANR	568228	AdditiveExpression	100 - 1		568209	0		-			
ANR	568229	PrimaryExpression	100		568209	0					
ANR	568230	PrimaryExpression	1		568209	1					
ANR	568231	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	30:8:957:975	568209	2	True				
ANR	568232	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		568209	0		=			
ANR	568233	ArrayIndexing	dest [ 100 - 1 ]		568209	0					
ANR	568234	Identifier	dest		568209	0					
ANR	568235	AdditiveExpression	100 - 1		568209	1		-			
ANR	568236	PrimaryExpression	100		568209	0					
ANR	568237	PrimaryExpression	1		568209	1					
ANR	568238	PrimaryExpression	'\\0'		568209	1					
ANR	568239	ExpressionStatement	"memmove ( dest , data , 100 * sizeof ( char ) )"	32:8:1108:1145	568209	3	True				
ANR	568240	CallExpression	"memmove ( dest , data , 100 * sizeof ( char ) )"		568209	0					
ANR	568241	Callee	memmove		568209	0					
ANR	568242	Identifier	memmove		568209	0					
ANR	568243	ArgumentList	dest		568209	1					
ANR	568244	Argument	dest		568209	0					
ANR	568245	Identifier	dest		568209	0					
ANR	568246	Argument	data		568209	1					
ANR	568247	Identifier	data		568209	0					
ANR	568248	Argument	100 * sizeof ( char )		568209	2					
ANR	568249	MultiplicativeExpression	100 * sizeof ( char )		568209	0		*			
ANR	568250	PrimaryExpression	100		568209	0					
ANR	568251	SizeofExpression	sizeof ( char )		568209	1					
ANR	568252	Sizeof	sizeof		568209	0					
ANR	568253	SizeofOperand	char		568209	1					
ANR	568254	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	34:8:1195:1213	568209	4	True				
ANR	568255	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		568209	0		=			
ANR	568256	ArrayIndexing	dest [ 100 - 1 ]		568209	0					
ANR	568257	Identifier	dest		568209	0					
ANR	568258	AdditiveExpression	100 - 1		568209	1		-			
ANR	568259	PrimaryExpression	100		568209	0					
ANR	568260	PrimaryExpression	1		568209	1					
ANR	568261	PrimaryExpression	'\\0'		568209	1					
ANR	568262	ExpressionStatement	printLine ( dest )	35:8:1224:1239	568209	5	True				
ANR	568263	CallExpression	printLine ( dest )		568209	0					
ANR	568264	Callee	printLine		568209	0					
ANR	568265	Identifier	printLine		568209	0					
ANR	568266	ArgumentList	dest		568209	1					
ANR	568267	Argument	dest		568209	0					
