command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	569054	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/914/CWE127_Buffer_Underread__malloc_char_memmove_54b.c								
ANR	569055	DeclStmt									
ANR	569056	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memmove_54c_badSink
ANR	569057	Function	CWE127_Buffer_Underread__malloc_char_memmove_54b_badSink	28:0:921:1069							
ANR	569058	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_54b_badSink (char * data)		569057	0					
ANR	569059	CompoundStatement		29:0:997:1069	569057	0					
ANR	569060	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_54c_badSink ( data )	30:4:1004:1066	569057	0	True				
ANR	569061	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_54c_badSink ( data )		569057	0					
ANR	569062	Callee	CWE127_Buffer_Underread__malloc_char_memmove_54c_badSink		569057	0					
ANR	569063	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54c_badSink		569057	0					
ANR	569064	ArgumentList	data		569057	1					
ANR	569065	Argument	data		569057	0					
ANR	569066	Identifier	data		569057	0					
ANR	569067	ReturnType	void		569057	1					
ANR	569068	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54b_badSink		569057	2					
ANR	569069	ParameterList	char * data		569057	3					
ANR	569070	Parameter	char * data	28:62:983:993	569057	0	True				
ANR	569071	ParameterType	char *		569057	0					
ANR	569072	Identifier	data		569057	1					
ANR	569073	CFGEntryNode	ENTRY		569057		True				
ANR	569074	CFGExitNode	EXIT		569057		True				
ANR	569075	Symbol	data		569057						
ANR	569076	DeclStmt									
ANR	569077	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memmove_54c_goodG2BSink
ANR	569078	Function	CWE127_Buffer_Underread__malloc_char_memmove_54b_goodG2BSink	41:0:1286:1442							
ANR	569079	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_54b_goodG2BSink (char * data)		569078	0					
ANR	569080	CompoundStatement		42:0:1366:1442	569078	0					
ANR	569081	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_54c_goodG2BSink ( data )	43:4:1373:1439	569078	0	True				
ANR	569082	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_54c_goodG2BSink ( data )		569078	0					
ANR	569083	Callee	CWE127_Buffer_Underread__malloc_char_memmove_54c_goodG2BSink		569078	0					
ANR	569084	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54c_goodG2BSink		569078	0					
ANR	569085	ArgumentList	data		569078	1					
ANR	569086	Argument	data		569078	0					
ANR	569087	Identifier	data		569078	0					
ANR	569088	ReturnType	void		569078	1					
ANR	569089	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54b_goodG2BSink		569078	2					
ANR	569090	ParameterList	char * data		569078	3					
ANR	569091	Parameter	char * data	41:66:1352:1362	569078	0	True				
ANR	569092	ParameterType	char *		569078	0					
ANR	569093	Identifier	data		569078	1					
ANR	569094	CFGEntryNode	ENTRY		569078		True				
ANR	569095	CFGExitNode	EXIT		569078		True				
ANR	569096	Symbol	data		569078						
