start	end	type	var
569098	569099	DECLARES	
569105	569106	IS_AST_PARENT	
569104	569105	IS_AST_PARENT	
569108	569109	IS_AST_PARENT	
569107	569108	IS_AST_PARENT	
569104	569107	IS_AST_PARENT	
569103	569104	IS_AST_PARENT	
569102	569103	IS_AST_PARENT	
569101	569102	IS_AST_PARENT	
569101	569110	IS_AST_PARENT	
569101	569111	IS_AST_PARENT	
569113	569114	IS_AST_PARENT	
569113	569115	IS_AST_PARENT	
569112	569113	IS_AST_PARENT	
569101	569112	IS_AST_PARENT	
569116	569113	FLOWS_TO	
569113	569103	FLOWS_TO	
569103	569117	FLOWS_TO	
569113	569118	DEF	
569103	569118	USE	
569108	569118	USE	
569113	569103	REACHES	data
569116	569113	CONTROLS	
569116	569103	CONTROLS	
569116	569116	DOM	
569116	569113	DOM	
569113	569103	DOM	
569103	569117	DOM	
569113	569116	POST_DOM	
569103	569113	POST_DOM	
569117	569103	POST_DOM	
569117	569117	POST_DOM	
569100	569101	IS_FUNCTION_OF_AST	
569100	569116	IS_FUNCTION_OF_CFG	
569097	569100	IS_FILE_OF	
569119	569120	DECLARES	
569126	569127	IS_AST_PARENT	
569125	569126	IS_AST_PARENT	
569129	569130	IS_AST_PARENT	
569128	569129	IS_AST_PARENT	
569125	569128	IS_AST_PARENT	
569124	569125	IS_AST_PARENT	
569123	569124	IS_AST_PARENT	
569122	569123	IS_AST_PARENT	
569122	569131	IS_AST_PARENT	
569122	569132	IS_AST_PARENT	
569134	569135	IS_AST_PARENT	
569134	569136	IS_AST_PARENT	
569133	569134	IS_AST_PARENT	
569122	569133	IS_AST_PARENT	
569137	569134	FLOWS_TO	
569134	569124	FLOWS_TO	
569124	569138	FLOWS_TO	
569134	569139	DEF	
569124	569139	USE	
569129	569139	USE	
569134	569124	REACHES	data
569137	569134	CONTROLS	
569137	569124	CONTROLS	
569134	569124	DOM	
569137	569137	DOM	
569137	569134	DOM	
569124	569138	DOM	
569138	569124	POST_DOM	
569124	569134	POST_DOM	
569134	569137	POST_DOM	
569138	569138	POST_DOM	
569121	569122	IS_FUNCTION_OF_AST	
569121	569137	IS_FUNCTION_OF_CFG	
569097	569121	IS_FILE_OF	
