command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	569140	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/914/CWE127_Buffer_Underread__malloc_char_memmove_54d.c								
ANR	569141	DeclStmt									
ANR	569142	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memmove_54e_badSink
ANR	569143	Function	CWE127_Buffer_Underread__malloc_char_memmove_54d_badSink	28:0:921:1069							
ANR	569144	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_54d_badSink (char * data)		569143	0					
ANR	569145	CompoundStatement		29:0:997:1069	569143	0					
ANR	569146	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_54e_badSink ( data )	30:4:1004:1066	569143	0	True				
ANR	569147	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_54e_badSink ( data )		569143	0					
ANR	569148	Callee	CWE127_Buffer_Underread__malloc_char_memmove_54e_badSink		569143	0					
ANR	569149	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54e_badSink		569143	0					
ANR	569150	ArgumentList	data		569143	1					
ANR	569151	Argument	data		569143	0					
ANR	569152	Identifier	data		569143	0					
ANR	569153	ReturnType	void		569143	1					
ANR	569154	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54d_badSink		569143	2					
ANR	569155	ParameterList	char * data		569143	3					
ANR	569156	Parameter	char * data	28:62:983:993	569143	0	True				
ANR	569157	ParameterType	char *		569143	0					
ANR	569158	Identifier	data		569143	1					
ANR	569159	CFGEntryNode	ENTRY		569143		True				
ANR	569160	CFGExitNode	EXIT		569143		True				
ANR	569161	Symbol	data		569143						
ANR	569162	DeclStmt									
ANR	569163	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_memmove_54e_goodG2BSink
ANR	569164	Function	CWE127_Buffer_Underread__malloc_char_memmove_54d_goodG2BSink	41:0:1286:1442							
ANR	569165	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_54d_goodG2BSink (char * data)		569164	0					
ANR	569166	CompoundStatement		42:0:1366:1442	569164	0					
ANR	569167	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_54e_goodG2BSink ( data )	43:4:1373:1439	569164	0	True				
ANR	569168	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_54e_goodG2BSink ( data )		569164	0					
ANR	569169	Callee	CWE127_Buffer_Underread__malloc_char_memmove_54e_goodG2BSink		569164	0					
ANR	569170	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54e_goodG2BSink		569164	0					
ANR	569171	ArgumentList	data		569164	1					
ANR	569172	Argument	data		569164	0					
ANR	569173	Identifier	data		569164	0					
ANR	569174	ReturnType	void		569164	1					
ANR	569175	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_54d_goodG2BSink		569164	2					
ANR	569176	ParameterList	char * data		569164	3					
ANR	569177	Parameter	char * data	41:66:1352:1362	569164	0	True				
ANR	569178	ParameterType	char *		569164	0					
ANR	569179	Identifier	data		569164	1					
ANR	569180	CFGEntryNode	ENTRY		569164		True				
ANR	569181	CFGExitNode	EXIT		569164		True				
ANR	569182	Symbol	data		569164						
