command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	570561	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/920/CWE127_Buffer_Underread__malloc_char_memmove_66a.c								
ANR	570562	DeclStmt									
ANR	570563	Decl							void	void ( char * dataArray [ ] )	CWE127_Buffer_Underread__malloc_char_memmove_66b_badSink
ANR	570564	Function	CWE127_Buffer_Underread__malloc_char_memmove_66_bad	26:0:778:1293							
ANR	570565	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_66_bad ()		570564	0					
ANR	570566	CompoundStatement		27:0:838:1293	570564	0					
ANR	570567	IdentifierDeclStatement	char * data ;	28:4:845:856	570564	0	True				
ANR	570568	IdentifierDecl	* data		570564	0					
ANR	570569	IdentifierDeclType	char *		570564	0					
ANR	570570	Identifier	data		570564	1					
ANR	570571	IdentifierDeclStatement	char * dataArray [ 5 ] ;	29:4:863:882	570564	1	True				
ANR	570572	IdentifierDecl	* dataArray [ 5 ]		570564	0					
ANR	570573	IdentifierDeclType	char * [ 5 ]		570564	0					
ANR	570574	Identifier	dataArray		570564	1					
ANR	570575	PrimaryExpression	5		570564	2					
ANR	570576	ExpressionStatement	data = NULL	30:4:889:900	570564	2	True				
ANR	570577	AssignmentExpression	data = NULL		570564	0		=			
ANR	570578	Identifier	data		570564	0					
ANR	570579	Identifier	NULL		570564	1					
ANR	570580	CompoundStatement		6:8:79:131	570564	3					
ANR	570581	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	32:8:918:970	570564	0	True				
ANR	570582	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		570564	0					
ANR	570583	IdentifierDeclType	char *		570564	0					
ANR	570584	Identifier	dataBuffer		570564	1					
ANR	570585	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		570564	2		=			
ANR	570586	Identifier	dataBuffer		570564	0					
ANR	570587	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		570564	1					
ANR	570588	CastTarget	char *		570564	0					
ANR	570589	CallExpression	malloc ( 100 * sizeof ( char ) )		570564	1					
ANR	570590	Callee	malloc		570564	0					
ANR	570591	Identifier	malloc		570564	0					
ANR	570592	ArgumentList	100 * sizeof ( char )		570564	1					
ANR	570593	Argument	100 * sizeof ( char )		570564	0					
ANR	570594	MultiplicativeExpression	100 * sizeof ( char )		570564	0		*			
ANR	570595	PrimaryExpression	100		570564	0					
ANR	570596	SizeofExpression	sizeof ( char )		570564	1					
ANR	570597	Sizeof	sizeof		570564	0					
ANR	570598	SizeofOperand	char		570564	1					
ANR	570599	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	33:8:981:1011	570564	1	True				
ANR	570600	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		570564	0					
ANR	570601	Callee	memset		570564	0					
ANR	570602	Identifier	memset		570564	0					
ANR	570603	ArgumentList	dataBuffer		570564	1					
ANR	570604	Argument	dataBuffer		570564	0					
ANR	570605	Identifier	dataBuffer		570564	0					
ANR	570606	Argument	'A'		570564	1					
ANR	570607	PrimaryExpression	'A'		570564	0					
ANR	570608	Argument	100 - 1		570564	2					
ANR	570609	AdditiveExpression	100 - 1		570564	0		-			
ANR	570610	PrimaryExpression	100		570564	0					
ANR	570611	PrimaryExpression	1		570564	1					
ANR	570612	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	34:8:1022:1046	570564	2	True				
ANR	570613	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		570564	0		=			
ANR	570614	ArrayIndexing	dataBuffer [ 100 - 1 ]		570564	0					
ANR	570615	Identifier	dataBuffer		570564	0					
ANR	570616	AdditiveExpression	100 - 1		570564	1		-			
ANR	570617	PrimaryExpression	100		570564	0					
ANR	570618	PrimaryExpression	1		570564	1					
ANR	570619	PrimaryExpression	'\\0'		570564	1					
ANR	570620	ExpressionStatement	data = dataBuffer - 8	36:8:1133:1154	570564	3	True				
ANR	570621	AssignmentExpression	data = dataBuffer - 8		570564	0		=			
ANR	570622	Identifier	data		570564	0					
ANR	570623	AdditiveExpression	dataBuffer - 8		570564	1		-			
ANR	570624	Identifier	dataBuffer		570564	0					
ANR	570625	PrimaryExpression	8		570564	1					
ANR	570626	ExpressionStatement	dataArray [ 2 ] = data	39:4:1197:1216	570564	4	True				
ANR	570627	AssignmentExpression	dataArray [ 2 ] = data		570564	0		=			
ANR	570628	ArrayIndexing	dataArray [ 2 ]		570564	0					
ANR	570629	Identifier	dataArray		570564	0					
ANR	570630	PrimaryExpression	2		570564	1					
ANR	570631	Identifier	data		570564	1					
ANR	570632	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_66b_badSink ( dataArray )	40:4:1223:1290	570564	5	True				
ANR	570633	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_66b_badSink ( dataArray )		570564	0					
ANR	570634	Callee	CWE127_Buffer_Underread__malloc_char_memmove_66b_badSink		570564	0					
ANR	570635	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66b_badSink		570564	0					
ANR	570636	ArgumentList	dataArray		570564	1					
ANR	570637	Argument	dataArray		570564	0					
ANR	570638	Identifier	dataArray		570564	0					
ANR	570639	ReturnType	void		570564	1					
ANR	570640	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66_bad		570564	2					
ANR	570641	ParameterList			570564	3					
ANR	570642	CFGEntryNode	ENTRY		570564		True				
ANR	570643	CFGExitNode	EXIT		570564		True				
ANR	570644	Symbol	dataArray		570564						
ANR	570645	Symbol	malloc		570564						
ANR	570646	Symbol	NULL		570564						
ANR	570647	Symbol	data		570564						
ANR	570648	Symbol	dataBuffer		570564						
ANR	570649	Symbol	* dataArray		570564						
ANR	570650	Symbol	* dataBuffer		570564						
ANR	570651	DeclStmt									
ANR	570652	Decl							void	void ( char * dataArray [ ] )	CWE127_Buffer_Underread__malloc_char_memmove_66b_goodG2BSink
ANR	570653	Function	goodG2B	50:0:1484:1925							
ANR	570654	FunctionDef	goodG2B ()		570653	0					
ANR	570655	CompoundStatement		51:0:1507:1925	570653	0					
ANR	570656	IdentifierDeclStatement	char * data ;	52:4:1514:1525	570653	0	True				
ANR	570657	IdentifierDecl	* data		570653	0					
ANR	570658	IdentifierDeclType	char *		570653	0					
ANR	570659	Identifier	data		570653	1					
ANR	570660	IdentifierDeclStatement	char * dataArray [ 5 ] ;	53:4:1532:1551	570653	1	True				
ANR	570661	IdentifierDecl	* dataArray [ 5 ]		570653	0					
ANR	570662	IdentifierDeclType	char * [ 5 ]		570653	0					
ANR	570663	Identifier	dataArray		570653	1					
ANR	570664	PrimaryExpression	5		570653	2					
ANR	570665	ExpressionStatement	data = NULL	54:4:1558:1569	570653	2	True				
ANR	570666	AssignmentExpression	data = NULL		570653	0		=			
ANR	570667	Identifier	data		570653	0					
ANR	570668	Identifier	NULL		570653	1					
ANR	570669	CompoundStatement		6:8:79:131	570653	3					
ANR	570670	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	56:8:1587:1639	570653	0	True				
ANR	570671	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		570653	0					
ANR	570672	IdentifierDeclType	char *		570653	0					
ANR	570673	Identifier	dataBuffer		570653	1					
ANR	570674	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		570653	2		=			
ANR	570675	Identifier	dataBuffer		570653	0					
ANR	570676	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		570653	1					
ANR	570677	CastTarget	char *		570653	0					
ANR	570678	CallExpression	malloc ( 100 * sizeof ( char ) )		570653	1					
ANR	570679	Callee	malloc		570653	0					
ANR	570680	Identifier	malloc		570653	0					
ANR	570681	ArgumentList	100 * sizeof ( char )		570653	1					
ANR	570682	Argument	100 * sizeof ( char )		570653	0					
ANR	570683	MultiplicativeExpression	100 * sizeof ( char )		570653	0		*			
ANR	570684	PrimaryExpression	100		570653	0					
ANR	570685	SizeofExpression	sizeof ( char )		570653	1					
ANR	570686	Sizeof	sizeof		570653	0					
ANR	570687	SizeofOperand	char		570653	1					
ANR	570688	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	57:8:1650:1680	570653	1	True				
ANR	570689	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		570653	0					
ANR	570690	Callee	memset		570653	0					
ANR	570691	Identifier	memset		570653	0					
ANR	570692	ArgumentList	dataBuffer		570653	1					
ANR	570693	Argument	dataBuffer		570653	0					
ANR	570694	Identifier	dataBuffer		570653	0					
ANR	570695	Argument	'A'		570653	1					
ANR	570696	PrimaryExpression	'A'		570653	0					
ANR	570697	Argument	100 - 1		570653	2					
ANR	570698	AdditiveExpression	100 - 1		570653	0		-			
ANR	570699	PrimaryExpression	100		570653	0					
ANR	570700	PrimaryExpression	1		570653	1					
ANR	570701	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	58:8:1691:1715	570653	2	True				
ANR	570702	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		570653	0		=			
ANR	570703	ArrayIndexing	dataBuffer [ 100 - 1 ]		570653	0					
ANR	570704	Identifier	dataBuffer		570653	0					
ANR	570705	AdditiveExpression	100 - 1		570653	1		-			
ANR	570706	PrimaryExpression	100		570653	0					
ANR	570707	PrimaryExpression	1		570653	1					
ANR	570708	PrimaryExpression	'\\0'		570653	1					
ANR	570709	ExpressionStatement	data = dataBuffer	60:8:1794:1811	570653	3	True				
ANR	570710	AssignmentExpression	data = dataBuffer		570653	0		=			
ANR	570711	Identifier	data		570653	0					
ANR	570712	Identifier	dataBuffer		570653	1					
ANR	570713	ExpressionStatement	dataArray [ 2 ] = data	62:4:1825:1844	570653	4	True				
ANR	570714	AssignmentExpression	dataArray [ 2 ] = data		570653	0		=			
ANR	570715	ArrayIndexing	dataArray [ 2 ]		570653	0					
ANR	570716	Identifier	dataArray		570653	0					
ANR	570717	PrimaryExpression	2		570653	1					
ANR	570718	Identifier	data		570653	1					
ANR	570719	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_66b_goodG2BSink ( dataArray )	63:4:1851:1922	570653	5	True				
ANR	570720	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_66b_goodG2BSink ( dataArray )		570653	0					
ANR	570721	Callee	CWE127_Buffer_Underread__malloc_char_memmove_66b_goodG2BSink		570653	0					
ANR	570722	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66b_goodG2BSink		570653	0					
ANR	570723	ArgumentList	dataArray		570653	1					
ANR	570724	Argument	dataArray		570653	0					
ANR	570725	Identifier	dataArray		570653	0					
ANR	570726	ReturnType	static void		570653	1					
ANR	570727	Identifier	goodG2B		570653	2					
ANR	570728	ParameterList			570653	3					
ANR	570729	CFGEntryNode	ENTRY		570653		True				
ANR	570730	CFGExitNode	EXIT		570653		True				
ANR	570731	Symbol	dataArray		570653						
ANR	570732	Symbol	malloc		570653						
ANR	570733	Symbol	NULL		570653						
ANR	570734	Symbol	data		570653						
ANR	570735	Symbol	dataBuffer		570653						
ANR	570736	Symbol	* dataArray		570653						
ANR	570737	Symbol	* dataBuffer		570653						
ANR	570738	Function	CWE127_Buffer_Underread__malloc_char_memmove_66_good	66:0:1930:2010							
ANR	570739	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_66_good ()		570738	0					
ANR	570740	CompoundStatement		67:0:1991:2010	570738	0					
ANR	570741	ExpressionStatement	goodG2B ( )	68:4:1998:2007	570738	0	True				
ANR	570742	CallExpression	goodG2B ( )		570738	0					
ANR	570743	Callee	goodG2B		570738	0					
ANR	570744	Identifier	goodG2B		570738	0					
ANR	570745	ArgumentList			570738	1					
ANR	570746	ReturnType	void		570738	1					
ANR	570747	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66_good		570738	2					
ANR	570748	ParameterList			570738	3					
ANR	570749	CFGEntryNode	ENTRY		570738		True				
ANR	570750	CFGExitNode	EXIT		570738		True				
ANR	570751	Function	main	81:0:2359:2818							
ANR	570752	FunctionDef	"main (int argc , char * argv [ ])"		570751	0					
ANR	570753	CompoundStatement		82:0:2394:2818	570751	0					
ANR	570754	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	84:4:2428:2457	570751	0	True				
ANR	570755	CallExpression	srand ( ( unsigned ) time ( NULL ) )		570751	0					
ANR	570756	Callee	srand		570751	0					
ANR	570757	Identifier	srand		570751	0					
ANR	570758	ArgumentList	( unsigned ) time ( NULL )		570751	1					
ANR	570759	Argument	( unsigned ) time ( NULL )		570751	0					
ANR	570760	CastExpression	( unsigned ) time ( NULL )		570751	0					
ANR	570761	CastTarget	unsigned		570751	0					
ANR	570762	CallExpression	time ( NULL )		570751	1					
ANR	570763	Callee	time		570751	0					
ANR	570764	Identifier	time		570751	0					
ANR	570765	ArgumentList	NULL		570751	1					
ANR	570766	Argument	NULL		570751	0					
ANR	570767	Identifier	NULL		570751	0					
ANR	570768	ExpressionStatement	"printLine ( ""Calling good()..."" )"	86:4:2482:2512	570751	1	True				
ANR	570769	CallExpression	"printLine ( ""Calling good()..."" )"		570751	0					
ANR	570770	Callee	printLine		570751	0					
ANR	570771	Identifier	printLine		570751	0					
ANR	570772	ArgumentList	"""Calling good()..."""		570751	1					
ANR	570773	Argument	"""Calling good()..."""		570751	0					
ANR	570774	PrimaryExpression	"""Calling good()..."""		570751	0					
ANR	570775	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_66_good ( )	87:4:2519:2573	570751	2	True				
ANR	570776	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_66_good ( )		570751	0					
ANR	570777	Callee	CWE127_Buffer_Underread__malloc_char_memmove_66_good		570751	0					
ANR	570778	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66_good		570751	0					
ANR	570779	ArgumentList			570751	1					
ANR	570780	ExpressionStatement	"printLine ( ""Finished good()"" )"	88:4:2580:2608	570751	3	True				
ANR	570781	CallExpression	"printLine ( ""Finished good()"" )"		570751	0					
ANR	570782	Callee	printLine		570751	0					
ANR	570783	Identifier	printLine		570751	0					
ANR	570784	ArgumentList	"""Finished good()"""		570751	1					
ANR	570785	Argument	"""Finished good()"""		570751	0					
ANR	570786	PrimaryExpression	"""Finished good()"""		570751	0					
ANR	570787	ExpressionStatement	"printLine ( ""Calling bad()..."" )"	91:4:2655:2684	570751	4	True				
ANR	570788	CallExpression	"printLine ( ""Calling bad()..."" )"		570751	0					
ANR	570789	Callee	printLine		570751	0					
ANR	570790	Identifier	printLine		570751	0					
ANR	570791	ArgumentList	"""Calling bad()..."""		570751	1					
ANR	570792	Argument	"""Calling bad()..."""		570751	0					
ANR	570793	PrimaryExpression	"""Calling bad()..."""		570751	0					
ANR	570794	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_memmove_66_bad ( )	92:4:2691:2744	570751	5	True				
ANR	570795	CallExpression	CWE127_Buffer_Underread__malloc_char_memmove_66_bad ( )		570751	0					
ANR	570796	Callee	CWE127_Buffer_Underread__malloc_char_memmove_66_bad		570751	0					
ANR	570797	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_66_bad		570751	0					
ANR	570798	ArgumentList			570751	1					
ANR	570799	ExpressionStatement	"printLine ( ""Finished bad()"" )"	93:4:2751:2778	570751	6	True				
ANR	570800	CallExpression	"printLine ( ""Finished bad()"" )"		570751	0					
ANR	570801	Callee	printLine		570751	0					
ANR	570802	Identifier	printLine		570751	0					
ANR	570803	ArgumentList	"""Finished bad()"""		570751	1					
ANR	570804	Argument	"""Finished bad()"""		570751	0					
ANR	570805	PrimaryExpression	"""Finished bad()"""		570751	0					
ANR	570806	ReturnStatement	return 0 ;	95:4:2807:2815	570751	7	True				
ANR	570807	PrimaryExpression	0		570751	0					
ANR	570808	ReturnType	int		570751	1					
ANR	570809	Identifier	main		570751	2					
ANR	570810	ParameterList	"int argc , char * argv [ ]"		570751	3					
ANR	570811	Parameter	int argc	81:9:2368:2375	570751	0	True				
ANR	570812	ParameterType	int		570751	0					
ANR	570813	Identifier	argc		570751	1					
ANR	570814	Parameter	char * argv [ ]	81:19:2378:2390	570751	1	True				
ANR	570815	ParameterType	char * [ ]		570751	0					
ANR	570816	Identifier	argv		570751	1					
ANR	570817	CFGEntryNode	ENTRY		570751		True				
ANR	570818	CFGExitNode	EXIT		570751		True				
ANR	570819	Symbol	argc		570751						
ANR	570820	Symbol	NULL		570751						
ANR	570821	Symbol	time		570751						
ANR	570822	Symbol	argv		570751						
