start	end	type	var
572105	572106	IS_AST_PARENT	
572105	572107	IS_AST_PARENT	
572104	572105	IS_AST_PARENT	
572103	572104	IS_AST_PARENT	
572109	572110	IS_AST_PARENT	
572109	572111	IS_AST_PARENT	
572108	572109	IS_AST_PARENT	
572103	572108	IS_AST_PARENT	
572113	572114	IS_AST_PARENT	
572113	572115	IS_AST_PARENT	
572113	572116	IS_AST_PARENT	
572112	572113	IS_AST_PARENT	
572103	572112	IS_AST_PARENT	
572102	572103	IS_AST_PARENT	
572102	572117	IS_AST_PARENT	
572102	572118	IS_AST_PARENT	
572102	572119	IS_AST_PARENT	
572120	572104	FLOWS_TO	
572104	572108	FLOWS_TO	
572108	572112	FLOWS_TO	
572112	572121	FLOWS_TO	
572108	572122	USE	
572109	572122	USE	
572104	572123	DEF	
572105	572123	DEF	
572108	572123	DEF	
572109	572123	DEF	
572112	572124	DEF	
572113	572124	DEF	
572120	572104	CONTROLS	
572120	572108	CONTROLS	
572120	572112	CONTROLS	
572120	572120	DOM	
572120	572104	DOM	
572112	572121	DOM	
572104	572108	DOM	
572108	572112	DOM	
572104	572120	POST_DOM	
572121	572121	POST_DOM	
572108	572104	POST_DOM	
572112	572108	POST_DOM	
572121	572112	POST_DOM	
572101	572102	IS_FUNCTION_OF_AST	
572101	572120	IS_FUNCTION_OF_CFG	
572100	572101	IS_FILE_OF	
572129	572130	IS_AST_PARENT	
572129	572131	IS_AST_PARENT	
572128	572129	IS_AST_PARENT	
572127	572128	IS_AST_PARENT	
572133	572134	IS_AST_PARENT	
572133	572135	IS_AST_PARENT	
572132	572133	IS_AST_PARENT	
572127	572132	IS_AST_PARENT	
572137	572138	IS_AST_PARENT	
572137	572139	IS_AST_PARENT	
572137	572140	IS_AST_PARENT	
572136	572137	IS_AST_PARENT	
572127	572136	IS_AST_PARENT	
572126	572127	IS_AST_PARENT	
572126	572141	IS_AST_PARENT	
572126	572142	IS_AST_PARENT	
572126	572143	IS_AST_PARENT	
572144	572128	FLOWS_TO	
572128	572132	FLOWS_TO	
572132	572136	FLOWS_TO	
572136	572145	FLOWS_TO	
572132	572146	USE	
572133	572146	USE	
572128	572147	DEF	
572129	572147	DEF	
572132	572147	DEF	
