command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	572242	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/929/CWE127_Buffer_Underread__malloc_char_memmove_84_bad.cpp								
ANR	572243	Function	CWE127_Buffer_Underread__malloc_char_memmove_84_bad :: CWE127_Buffer_Underread__malloc_char_memmove_84_bad	23:0:807:1216							
ANR	572244	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_84_bad :: CWE127_Buffer_Underread__malloc_char_memmove_84_bad (char * dataCopy)		572243	0					
ANR	572245	CompoundStatement		24:0:930:1216	572243	0					
ANR	572246	ExpressionStatement	data = dataCopy	25:4:937:952	572243	0	True				
ANR	572247	AssignmentExpression	data = dataCopy		572243	0		=			
ANR	572248	Identifier	data		572243	0					
ANR	572249	Identifier	dataCopy		572243	1					
ANR	572250	CompoundStatement		4:8:39:91	572243	1					
ANR	572251	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	27:8:970:1022	572243	0	True				
ANR	572252	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		572243	0					
ANR	572253	IdentifierDeclType	char *		572243	0					
ANR	572254	Identifier	dataBuffer		572243	1					
ANR	572255	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		572243	2		=			
ANR	572256	Identifier	dataBuffer		572243	0					
ANR	572257	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		572243	1					
ANR	572258	CastTarget	char *		572243	0					
ANR	572259	CallExpression	malloc ( 100 * sizeof ( char ) )		572243	1					
ANR	572260	Callee	malloc		572243	0					
ANR	572261	Identifier	malloc		572243	0					
ANR	572262	ArgumentList	100 * sizeof ( char )		572243	1					
ANR	572263	Argument	100 * sizeof ( char )		572243	0					
ANR	572264	MultiplicativeExpression	100 * sizeof ( char )		572243	0		*			
ANR	572265	PrimaryExpression	100		572243	0					
ANR	572266	SizeofExpression	sizeof ( char )		572243	1					
ANR	572267	Sizeof	sizeof		572243	0					
ANR	572268	SizeofOperand	char		572243	1					
ANR	572269	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	28:8:1033:1063	572243	1	True				
ANR	572270	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		572243	0					
ANR	572271	Callee	memset		572243	0					
ANR	572272	Identifier	memset		572243	0					
ANR	572273	ArgumentList	dataBuffer		572243	1					
ANR	572274	Argument	dataBuffer		572243	0					
ANR	572275	Identifier	dataBuffer		572243	0					
ANR	572276	Argument	'A'		572243	1					
ANR	572277	PrimaryExpression	'A'		572243	0					
ANR	572278	Argument	100 - 1		572243	2					
ANR	572279	AdditiveExpression	100 - 1		572243	0		-			
ANR	572280	PrimaryExpression	100		572243	0					
ANR	572281	PrimaryExpression	1		572243	1					
ANR	572282	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	29:8:1074:1098	572243	2	True				
ANR	572283	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		572243	0		=			
ANR	572284	ArrayIndexing	dataBuffer [ 100 - 1 ]		572243	0					
ANR	572285	Identifier	dataBuffer		572243	0					
ANR	572286	AdditiveExpression	100 - 1		572243	1		-			
ANR	572287	PrimaryExpression	100		572243	0					
ANR	572288	PrimaryExpression	1		572243	1					
ANR	572289	PrimaryExpression	'\\0'		572243	1					
ANR	572290	ExpressionStatement	data = dataBuffer - 8	31:8:1185:1206	572243	3	True				
ANR	572291	AssignmentExpression	data = dataBuffer - 8		572243	0		=			
ANR	572292	Identifier	data		572243	0					
ANR	572293	AdditiveExpression	dataBuffer - 8		572243	1		-			
ANR	572294	Identifier	dataBuffer		572243	0					
ANR	572295	PrimaryExpression	8		572243	1					
ANR	572296	Identifier	CWE127_Buffer_Underread__malloc_char_memmove_84_bad :: CWE127_Buffer_Underread__malloc_char_memmove_84_bad		572243	1					
ANR	572297	ParameterList	char * dataCopy		572243	2					
ANR	572298	Parameter	char * dataCopy	23:105:912:926	572243	0	True				
ANR	572299	ParameterType	char *		572243	0					
ANR	572300	Identifier	dataCopy		572243	1					
ANR	572301	CFGEntryNode	ENTRY		572243		True				
ANR	572302	CFGExitNode	EXIT		572243		True				
ANR	572303	Symbol	malloc		572243						
ANR	572304	Symbol	dataCopy		572243						
ANR	572305	Symbol	data		572243						
ANR	572306	Symbol	dataBuffer		572243						
ANR	572307	Symbol	* dataBuffer		572243						
ANR	572308	Function	CWE127_Buffer_Underread__malloc_char_memmove_84_bad :: ~CWE127_Buffer_Underread__malloc_char_memmove_84_bad	35:0:1221:1868							
ANR	572309	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_84_bad :: ~CWE127_Buffer_Underread__malloc_char_memmove_84_bad ()		572308	0					
ANR	572310	CompoundStatement		36:0:1330:1868	572308	0					
ANR	572311	CompoundStatement		3:8:17:31	572308	0					
ANR	572312	IdentifierDeclStatement	char dest [ 100 ] ;	38:8:1348:1362	572308	0	True				
ANR	572313	IdentifierDecl	dest [ 100 ]		572308	0					
ANR	572314	IdentifierDeclType	char [ 100 ]		572308	0					
ANR	572315	Identifier	dest		572308	1					
ANR	572316	PrimaryExpression	100		572308	2					
ANR	572317	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	39:8:1373:1397	572308	1	True				
ANR	572318	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		572308	0					
ANR	572319	Callee	memset		572308	0					
ANR	572320	Identifier	memset		572308	0					
ANR	572321	ArgumentList	dest		572308	1					
ANR	572322	Argument	dest		572308	0					
ANR	572323	Identifier	dest		572308	0					
ANR	572324	Argument	'C'		572308	1					
ANR	572325	PrimaryExpression	'C'		572308	0					
ANR	572326	Argument	100 - 1		572308	2					
ANR	572327	AdditiveExpression	100 - 1		572308	0		-			
ANR	572328	PrimaryExpression	100		572308	0					
ANR	572329	PrimaryExpression	1		572308	1					
ANR	572330	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	40:8:1429:1447	572308	2	True				
ANR	572331	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		572308	0		=			
ANR	572332	ArrayIndexing	dest [ 100 - 1 ]		572308	0					
ANR	572333	Identifier	dest		572308	0					
ANR	572334	AdditiveExpression	100 - 1		572308	1		-			
