command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	572375	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/929/CWE127_Buffer_Underread__malloc_char_memmove_84_goodG2B.cpp								
ANR	572376	Function	CWE127_Buffer_Underread__malloc_char_memmove_84_goodG2B :: CWE127_Buffer_Underread__malloc_char_memmove_84_goodG2B	23:0:816:1221							
ANR	572377	FunctionDef	CWE127_Buffer_Underread__malloc_char_memmove_84_goodG2B :: CWE127_Buffer_Underread__malloc_char_memmove_84_goodG2B (char * dataCopy)		572376	0					
ANR	572378	CompoundStatement		24:0:947:1221	572376	0					
ANR	572379	ExpressionStatement	data = dataCopy	25:4:954:969	572376	0	True				
ANR	572380	AssignmentExpression	data = dataCopy		572376	0		=			
ANR	572381	Identifier	data		572376	0					
ANR	572382	Identifier	dataCopy		572376	1					
ANR	572383	CompoundStatement		4:8:39:91	572376	1					
ANR	572384	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	27:8:987:1039	572376	0	True				
ANR	572385	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		572376	0					
ANR	572386	IdentifierDeclType	char *		572376	0					
ANR	572387	Identifier	dataBuffer		572376	1					
ANR	572388	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		572376	2		=			
ANR	572389	Identifier	dataBuffer		572376	0					
ANR	572390	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		572376	1					
ANR	572391	CastTarget	char *		572376	0					
ANR	572392	CallExpression	malloc ( 100 * sizeof ( char ) )		572376	1					
ANR	572393	Callee	malloc		572376	0					
ANR	572394	Identifier	malloc		572376	0					
ANR	572395	ArgumentList	100 * sizeof ( char )		572376	1					
ANR	572396	Argument	100 * sizeof ( char )		572376	0					
ANR	572397	MultiplicativeExpression	100 * sizeof ( char )		572376	0		*			
ANR	572398	PrimaryExpression	100		572376	0					
