command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	573271	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/960/CWE127_Buffer_Underread__malloc_char_ncpy_52b.c								
ANR	573272	DeclStmt									
ANR	573273	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_ncpy_52c_badSink
ANR	573274	Function	CWE127_Buffer_Underread__malloc_char_ncpy_52b_badSink	28:0:884:1026							
ANR	573275	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_52b_badSink (char * data)		573274	0					
ANR	573276	CompoundStatement		29:0:957:1026	573274	0					
ANR	573277	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_ncpy_52c_badSink ( data )	30:4:964:1023	573274	0	True				
ANR	573278	CallExpression	CWE127_Buffer_Underread__malloc_char_ncpy_52c_badSink ( data )		573274	0					
ANR	573279	Callee	CWE127_Buffer_Underread__malloc_char_ncpy_52c_badSink		573274	0					
ANR	573280	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_52c_badSink		573274	0					
ANR	573281	ArgumentList	data		573274	1					
ANR	573282	Argument	data		573274	0					
ANR	573283	Identifier	data		573274	0					
ANR	573284	ReturnType	void		573274	1					
ANR	573285	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_52b_badSink		573274	2					
ANR	573286	ParameterList	char * data		573274	3					
ANR	573287	Parameter	char * data	28:59:943:953	573274	0	True				
ANR	573288	ParameterType	char *		573274	0					
ANR	573289	Identifier	data		573274	1					
ANR	573290	CFGEntryNode	ENTRY		573274		True				
ANR	573291	CFGExitNode	EXIT		573274		True				
ANR	573292	Symbol	data		573274						
ANR	573293	DeclStmt									
ANR	573294	Decl							void	void ( char * data )	CWE127_Buffer_Underread__malloc_char_ncpy_52c_goodG2BSink
ANR	573295	Function	CWE127_Buffer_Underread__malloc_char_ncpy_52b_goodG2BSink	41:0:1240:1390							
ANR	573296	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_52b_goodG2BSink (char * data)		573295	0					
ANR	573297	CompoundStatement		42:0:1317:1390	573295	0					
ANR	573298	ExpressionStatement	CWE127_Buffer_Underread__malloc_char_ncpy_52c_goodG2BSink ( data )	43:4:1324:1387	573295	0	True				
ANR	573299	CallExpression	CWE127_Buffer_Underread__malloc_char_ncpy_52c_goodG2BSink ( data )		573295	0					
ANR	573300	Callee	CWE127_Buffer_Underread__malloc_char_ncpy_52c_goodG2BSink		573295	0					
ANR	573301	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_52c_goodG2BSink		573295	0					
ANR	573302	ArgumentList	data		573295	1					
ANR	573303	Argument	data		573295	0					
ANR	573304	Identifier	data		573295	0					
ANR	573305	ReturnType	void		573295	1					
ANR	573306	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_52b_goodG2BSink		573295	2					
ANR	573307	ParameterList	char * data		573295	3					
ANR	573308	Parameter	char * data	41:63:1303:1313	573295	0	True				
ANR	573309	ParameterType	char *		573295	0					
ANR	573310	Identifier	data		573295	1					
ANR	573311	CFGEntryNode	ENTRY		573295		True				
ANR	573312	CFGExitNode	EXIT		573295		True				
ANR	573313	Symbol	data		573295						
