start	end	type	var
573790	573791	IS_AST_PARENT	
573790	573792	IS_AST_PARENT	
573790	573793	IS_AST_PARENT	
573789	573790	IS_AST_PARENT	
573788	573789	IS_AST_PARENT	
573796	573797	IS_AST_PARENT	
573795	573796	IS_AST_PARENT	
573799	573800	IS_AST_PARENT	
573798	573799	IS_AST_PARENT	
573801	573802	IS_AST_PARENT	
573798	573801	IS_AST_PARENT	
573804	573805	IS_AST_PARENT	
573804	573806	IS_AST_PARENT	
573803	573804	IS_AST_PARENT	
573798	573803	IS_AST_PARENT	
573795	573798	IS_AST_PARENT	
573794	573795	IS_AST_PARENT	
573788	573794	IS_AST_PARENT	
573809	573810	IS_AST_PARENT	
573811	573812	IS_AST_PARENT	
573811	573813	IS_AST_PARENT	
573809	573811	IS_AST_PARENT	
573808	573809	IS_AST_PARENT	
573808	573814	IS_AST_PARENT	
573807	573808	IS_AST_PARENT	
573788	573807	IS_AST_PARENT	
573817	573818	IS_AST_PARENT	
573816	573817	IS_AST_PARENT	
573820	573821	IS_AST_PARENT	
573819	573820	IS_AST_PARENT	
573822	573823	IS_AST_PARENT	
573819	573822	IS_AST_PARENT	
573826	573827	IS_AST_PARENT	
573825	573826	IS_AST_PARENT	
573829	573830	IS_AST_PARENT	
573828	573829	IS_AST_PARENT	
573825	573828	IS_AST_PARENT	
573824	573825	IS_AST_PARENT	
573819	573824	IS_AST_PARENT	
573816	573819	IS_AST_PARENT	
573815	573816	IS_AST_PARENT	
573788	573815	IS_AST_PARENT	
573833	573834	IS_AST_PARENT	
573835	573836	IS_AST_PARENT	
573835	573837	IS_AST_PARENT	
573833	573835	IS_AST_PARENT	
573832	573833	IS_AST_PARENT	
573832	573838	IS_AST_PARENT	
573831	573832	IS_AST_PARENT	
573788	573831	IS_AST_PARENT	
573841	573842	IS_AST_PARENT	
573840	573841	IS_AST_PARENT	
573844	573845	IS_AST_PARENT	
573843	573844	IS_AST_PARENT	
573840	573843	IS_AST_PARENT	
573839	573840	IS_AST_PARENT	
573788	573839	IS_AST_PARENT	
573787	573788	IS_AST_PARENT	
573786	573787	IS_AST_PARENT	
573786	573846	IS_AST_PARENT	
573786	573847	IS_AST_PARENT	
573849	573850	IS_AST_PARENT	
573849	573851	IS_AST_PARENT	
573848	573849	IS_AST_PARENT	
573786	573848	IS_AST_PARENT	
573852	573849	FLOWS_TO	
573849	573789	FLOWS_TO	
573789	573794	FLOWS_TO	
573794	573807	FLOWS_TO	
573807	573815	FLOWS_TO	
573815	573831	FLOWS_TO	
573831	573839	FLOWS_TO	
573839	573853	FLOWS_TO	
573815	573854	USE	
573824	573854	USE	
573849	573855	DEF	
573815	573855	USE	
573822	573855	USE	
573807	573856	DEF	
573808	573856	DEF	
573831	573856	DEF	
573832	573856	DEF	
573789	573857	DEF	
573790	573857	DEF	
573794	573857	USE	
573799	573857	USE	
573807	573857	USE	
573809	573857	USE	
573815	573857	USE	
573829	573857	USE	
573820	573857	USE	
573831	573857	USE	
573833	573857	USE	
573839	573857	USE	
573844	573857	USE	
573849	573815	REACHES	data
573789	573794	REACHES	dest
573789	573807	REACHES	dest
573789	573815	REACHES	dest
573789	573831	REACHES	dest
573789	573839	REACHES	dest
573852	573849	CONTROLS	
573852	573789	CONTROLS	
573852	573794	CONTROLS	
573852	573807	CONTROLS	
573852	573815	CONTROLS	
573852	573831	CONTROLS	
573852	573839	CONTROLS	
573831	573839	DOM	
573807	573815	DOM	
573849	573789	DOM	
573839	573853	DOM	
573852	573852	DOM	
573789	573794	DOM	
573794	573807	DOM	
573852	573849	DOM	
573815	573831	DOM	
573853	573839	POST_DOM	
573831	573815	POST_DOM	
573853	573853	POST_DOM	
573794	573789	POST_DOM	
573815	573807	POST_DOM	
573807	573794	POST_DOM	
573849	573852	POST_DOM	
573839	573831	POST_DOM	
573789	573849	POST_DOM	
573785	573786	IS_FUNCTION_OF_AST	
573785	573852	IS_FUNCTION_OF_CFG	
573784	573785	IS_FILE_OF	
573863	573864	IS_AST_PARENT	
573863	573865	IS_AST_PARENT	
573863	573866	IS_AST_PARENT	
