command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	573784	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/961/CWE127_Buffer_Underread__malloc_char_ncpy_53d.c								
ANR	573785	Function	CWE127_Buffer_Underread__malloc_char_ncpy_53d_badSink	25:0:803:1410							
ANR	573786	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_53d_badSink (char * data)		573785	0					
ANR	573787	CompoundStatement		26:0:876:1410	573785	0					
ANR	573788	CompoundStatement		3:8:17:31	573785	0					
ANR	573789	IdentifierDeclStatement	char dest [ 100 ] ;	28:8:894:908	573785	0	True				
ANR	573790	IdentifierDecl	dest [ 100 ]		573785	0					
ANR	573791	IdentifierDeclType	char [ 100 ]		573785	0					
ANR	573792	Identifier	dest		573785	1					
ANR	573793	PrimaryExpression	100		573785	2					
ANR	573794	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	29:8:919:943	573785	1	True				
ANR	573795	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		573785	0					
ANR	573796	Callee	memset		573785	0					
ANR	573797	Identifier	memset		573785	0					
ANR	573798	ArgumentList	dest		573785	1					
ANR	573799	Argument	dest		573785	0					
ANR	573800	Identifier	dest		573785	0					
ANR	573801	Argument	'C'		573785	1					
ANR	573802	PrimaryExpression	'C'		573785	0					
ANR	573803	Argument	100 - 1		573785	2					
ANR	573804	AdditiveExpression	100 - 1		573785	0		-			
ANR	573805	PrimaryExpression	100		573785	0					
ANR	573806	PrimaryExpression	1		573785	1					
ANR	573807	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	30:8:975:993	573785	2	True				
ANR	573808	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		573785	0		=			
ANR	573809	ArrayIndexing	dest [ 100 - 1 ]		573785	0					
ANR	573810	Identifier	dest		573785	0					
ANR	573811	AdditiveExpression	100 - 1		573785	1		-			
ANR	573812	PrimaryExpression	100		573785	0					
ANR	573813	PrimaryExpression	1		573785	1					
ANR	573814	PrimaryExpression	'\\0'		573785	1					
ANR	573815	ExpressionStatement	"strncpy ( dest , data , strlen ( dest ) )"	32:8:1126:1159	573785	3	True				
ANR	573816	CallExpression	"strncpy ( dest , data , strlen ( dest ) )"		573785	0					
ANR	573817	Callee	strncpy		573785	0					
ANR	573818	Identifier	strncpy		573785	0					
ANR	573819	ArgumentList	dest		573785	1					
ANR	573820	Argument	dest		573785	0					
ANR	573821	Identifier	dest		573785	0					
ANR	573822	Argument	data		573785	1					
ANR	573823	Identifier	data		573785	0					
ANR	573824	Argument	strlen ( dest )		573785	2					
ANR	573825	CallExpression	strlen ( dest )		573785	0					
ANR	573826	Callee	strlen		573785	0					
ANR	573827	Identifier	strlen		573785	0					
ANR	573828	ArgumentList	dest		573785	1					
ANR	573829	Argument	dest		573785	0					
ANR	573830	Identifier	dest		573785	0					
ANR	573831	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	34:8:1209:1227	573785	4	True				
ANR	573832	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		573785	0		=			
ANR	573833	ArrayIndexing	dest [ 100 - 1 ]		573785	0					
ANR	573834	Identifier	dest		573785	0					
ANR	573835	AdditiveExpression	100 - 1		573785	1		-			
ANR	573836	PrimaryExpression	100		573785	0					
ANR	573837	PrimaryExpression	1		573785	1					
ANR	573838	PrimaryExpression	'\\0'		573785	1					
ANR	573839	ExpressionStatement	printLine ( dest )	35:8:1238:1253	573785	5	True				
ANR	573840	CallExpression	printLine ( dest )		573785	0					
ANR	573841	Callee	printLine		573785	0					
ANR	573842	Identifier	printLine		573785	0					
ANR	573843	ArgumentList	dest		573785	1					
ANR	573844	Argument	dest		573785	0					
ANR	573845	Identifier	dest		573785	0					
ANR	573846	ReturnType	void		573785	1					
ANR	573847	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_53d_badSink		573785	2					
ANR	573848	ParameterList	char * data		573785	3					
ANR	573849	Parameter	char * data	25:59:862:872	573785	0	True				
ANR	573850	ParameterType	char *		573785	0					
ANR	573851	Identifier	data		573785	1					
ANR	573852	CFGEntryNode	ENTRY		573785		True				
ANR	573853	CFGExitNode	EXIT		573785		True				
