command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	574297	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/962/CWE127_Buffer_Underread__malloc_char_ncpy_54e.c								
ANR	574298	Function	CWE127_Buffer_Underread__malloc_char_ncpy_54e_badSink	25:0:804:1411							
ANR	574299	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_54e_badSink (char * data)		574298	0					
ANR	574300	CompoundStatement		26:0:877:1411	574298	0					
ANR	574301	CompoundStatement		3:8:17:31	574298	0					
ANR	574302	IdentifierDeclStatement	char dest [ 100 ] ;	28:8:895:909	574298	0	True				
ANR	574303	IdentifierDecl	dest [ 100 ]		574298	0					
ANR	574304	IdentifierDeclType	char [ 100 ]		574298	0					
ANR	574305	Identifier	dest		574298	1					
ANR	574306	PrimaryExpression	100		574298	2					
ANR	574307	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	29:8:920:944	574298	1	True				
ANR	574308	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		574298	0					
ANR	574309	Callee	memset		574298	0					
ANR	574310	Identifier	memset		574298	0					
ANR	574311	ArgumentList	dest		574298	1					
ANR	574312	Argument	dest		574298	0					
ANR	574313	Identifier	dest		574298	0					
ANR	574314	Argument	'C'		574298	1					
ANR	574315	PrimaryExpression	'C'		574298	0					
ANR	574316	Argument	100 - 1		574298	2					
ANR	574317	AdditiveExpression	100 - 1		574298	0		-			
ANR	574318	PrimaryExpression	100		574298	0					
ANR	574319	PrimaryExpression	1		574298	1					
ANR	574320	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	30:8:976:994	574298	2	True				
ANR	574321	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		574298	0		=			
ANR	574322	ArrayIndexing	dest [ 100 - 1 ]		574298	0					
ANR	574323	Identifier	dest		574298	0					
ANR	574324	AdditiveExpression	100 - 1		574298	1		-			
ANR	574325	PrimaryExpression	100		574298	0					
ANR	574326	PrimaryExpression	1		574298	1					
ANR	574327	PrimaryExpression	'\\0'		574298	1					
ANR	574328	ExpressionStatement	"strncpy ( dest , data , strlen ( dest ) )"	32:8:1127:1160	574298	3	True				
ANR	574329	CallExpression	"strncpy ( dest , data , strlen ( dest ) )"		574298	0					
ANR	574330	Callee	strncpy		574298	0					
ANR	574331	Identifier	strncpy		574298	0					
ANR	574332	ArgumentList	dest		574298	1					
ANR	574333	Argument	dest		574298	0					
ANR	574334	Identifier	dest		574298	0					
ANR	574335	Argument	data		574298	1					
ANR	574336	Identifier	data		574298	0					
ANR	574337	Argument	strlen ( dest )		574298	2					
ANR	574338	CallExpression	strlen ( dest )		574298	0					
ANR	574339	Callee	strlen		574298	0					
ANR	574340	Identifier	strlen		574298	0					
ANR	574341	ArgumentList	dest		574298	1					
ANR	574342	Argument	dest		574298	0					
ANR	574343	Identifier	dest		574298	0					
ANR	574344	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	34:8:1210:1228	574298	4	True				
ANR	574345	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		574298	0		=			
ANR	574346	ArrayIndexing	dest [ 100 - 1 ]		574298	0					
ANR	574347	Identifier	dest		574298	0					
ANR	574348	AdditiveExpression	100 - 1		574298	1		-			
ANR	574349	PrimaryExpression	100		574298	0					
ANR	574350	PrimaryExpression	1		574298	1					
ANR	574351	PrimaryExpression	'\\0'		574298	1					
ANR	574352	ExpressionStatement	printLine ( dest )	35:8:1239:1254	574298	5	True				
ANR	574353	CallExpression	printLine ( dest )		574298	0					
ANR	574354	Callee	printLine		574298	0					
ANR	574355	Identifier	printLine		574298	0					
ANR	574356	ArgumentList	dest		574298	1					
ANR	574357	Argument	dest		574298	0					
ANR	574358	Identifier	dest		574298	0					
ANR	574359	ReturnType	void		574298	1					
ANR	574360	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_54e_badSink		574298	2					
ANR	574361	ParameterList	char * data		574298	3					
ANR	574362	Parameter	char * data	25:59:863:873	574298	0	True				
ANR	574363	ParameterType	char *		574298	0					
ANR	574364	Identifier	data		574298	1					
ANR	574365	CFGEntryNode	ENTRY		574298		True				
ANR	574366	CFGExitNode	EXIT		574298		True				
ANR	574367	Symbol	strlen		574298						
ANR	574368	Symbol	data		574298						
ANR	574369	Symbol	* dest		574298						
ANR	574370	Symbol	dest		574298						
ANR	574371	Function	CWE127_Buffer_Underread__malloc_char_ncpy_54e_goodG2BSink	46:0:1512:2123							
ANR	574372	FunctionDef	CWE127_Buffer_Underread__malloc_char_ncpy_54e_goodG2BSink (char * data)		574371	0					
ANR	574373	CompoundStatement		47:0:1589:2123	574371	0					
ANR	574374	CompoundStatement		3:8:17:31	574371	0					
ANR	574375	IdentifierDeclStatement	char dest [ 100 ] ;	49:8:1607:1621	574371	0	True				
ANR	574376	IdentifierDecl	dest [ 100 ]		574371	0					
ANR	574377	IdentifierDeclType	char [ 100 ]		574371	0					
ANR	574378	Identifier	dest		574371	1					
ANR	574379	PrimaryExpression	100		574371	2					
ANR	574380	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	50:8:1632:1656	574371	1	True				
ANR	574381	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		574371	0					
ANR	574382	Callee	memset		574371	0					
ANR	574383	Identifier	memset		574371	0					
ANR	574384	ArgumentList	dest		574371	1					
ANR	574385	Argument	dest		574371	0					
ANR	574386	Identifier	dest		574371	0					
ANR	574387	Argument	'C'		574371	1					
ANR	574388	PrimaryExpression	'C'		574371	0					
ANR	574389	Argument	100 - 1		574371	2					
ANR	574390	AdditiveExpression	100 - 1		574371	0		-			
ANR	574391	PrimaryExpression	100		574371	0					
ANR	574392	PrimaryExpression	1		574371	1					
ANR	574393	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	51:8:1688:1706	574371	2	True				
ANR	574394	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		574371	0		=			
ANR	574395	ArrayIndexing	dest [ 100 - 1 ]		574371	0					
ANR	574396	Identifier	dest		574371	0					
ANR	574397	AdditiveExpression	100 - 1		574371	1		-			
ANR	574398	PrimaryExpression	100		574371	0					
ANR	574399	PrimaryExpression	1		574371	1					
ANR	574400	PrimaryExpression	'\\0'		574371	1					
ANR	574401	ExpressionStatement	"strncpy ( dest , data , strlen ( dest ) )"	53:8:1839:1872	574371	3	True				
ANR	574402	CallExpression	"strncpy ( dest , data , strlen ( dest ) )"		574371	0					
ANR	574403	Callee	strncpy		574371	0					
ANR	574404	Identifier	strncpy		574371	0					
ANR	574405	ArgumentList	dest		574371	1					
ANR	574406	Argument	dest		574371	0					
ANR	574407	Identifier	dest		574371	0					
ANR	574408	Argument	data		574371	1					
ANR	574409	Identifier	data		574371	0					
ANR	574410	Argument	strlen ( dest )		574371	2					
ANR	574411	CallExpression	strlen ( dest )		574371	0					
ANR	574412	Callee	strlen		574371	0					
ANR	574413	Identifier	strlen		574371	0					
ANR	574414	ArgumentList	dest		574371	1					
ANR	574415	Argument	dest		574371	0					
ANR	574416	Identifier	dest		574371	0					
ANR	574417	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	55:8:1922:1940	574371	4	True				
ANR	574418	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		574371	0		=			
ANR	574419	ArrayIndexing	dest [ 100 - 1 ]		574371	0					
ANR	574420	Identifier	dest		574371	0					
ANR	574421	AdditiveExpression	100 - 1		574371	1		-			
ANR	574422	PrimaryExpression	100		574371	0					
ANR	574423	PrimaryExpression	1		574371	1					
ANR	574424	PrimaryExpression	'\\0'		574371	1					
ANR	574425	ExpressionStatement	printLine ( dest )	56:8:1951:1966	574371	5	True				
ANR	574426	CallExpression	printLine ( dest )		574371	0					
ANR	574427	Callee	printLine		574371	0					
ANR	574428	Identifier	printLine		574371	0					
ANR	574429	ArgumentList	dest		574371	1					
ANR	574430	Argument	dest		574371	0					
ANR	574431	Identifier	dest		574371	0					
ANR	574432	ReturnType	void		574371	1					
ANR	574433	Identifier	CWE127_Buffer_Underread__malloc_char_ncpy_54e_goodG2BSink		574371	2					
ANR	574434	ParameterList	char * data		574371	3					
ANR	574435	Parameter	char * data	46:63:1575:1585	574371	0	True				
ANR	574436	ParameterType	char *		574371	0					
ANR	574437	Identifier	data		574371	1					
ANR	574438	CFGEntryNode	ENTRY		574371		True				
ANR	574439	CFGExitNode	EXIT		574371		True				
ANR	574440	Symbol	strlen		574371						
ANR	574441	Symbol	data		574371						
ANR	574442	Symbol	* dest		574371						
ANR	574443	Symbol	dest		574371						
