command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	577246	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/077/976/CWE127_Buffer_Underread__malloc_char_ncpy_83a.cpp								
ANR	577247	Function	bad	25:0:768:890							
ANR	577248	FunctionDef	bad ()		577247	0					
ANR	577249	CompoundStatement		26:0:780:890	577247	0					
ANR	577250	IdentifierDeclStatement	char * data ;	27:4:787:798	577247	0	True				
ANR	577251	IdentifierDecl	* data		577247	0					
ANR	577252	IdentifierDeclType	char *		577247	0					
ANR	577253	Identifier	data		577247	1					
ANR	577254	ExpressionStatement	data = NULL	28:4:805:816	577247	1	True				
ANR	577255	AssignmentExpression	data = NULL		577247	0		=			
ANR	577256	Identifier	data		577247	0					
ANR	577257	Identifier	NULL		577247	1					
ANR	577258	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_ncpy_83_bad badObject ( data ) ;	29:4:823:887	577247	2	True				
ANR	577259	IdentifierDecl	badObject ( data )		577247	0					
ANR	577260	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_ncpy_83_bad		577247	0					
ANR	577261	Identifier	badObject		577247	1					
ANR	577262	Identifier	data		577247	2					
ANR	577263	ReturnType	void		577247	1					
ANR	577264	Identifier	bad		577247	2					
ANR	577265	ParameterList			577247	3					
ANR	577266	CFGEntryNode	ENTRY		577247		True				
ANR	577267	CFGExitNode	EXIT		577247		True				
ANR	577268	Symbol	NULL		577247						
ANR	577269	Symbol	data		577247						
ANR	577270	Symbol	badObject		577247						
ANR	577271	Function	goodG2B	37:0:991:1132							
ANR	577272	FunctionDef	goodG2B ()		577271	0					
ANR	577273	CompoundStatement		38:0:1014:1132	577271	0					
ANR	577274	IdentifierDeclStatement	char * data ;	39:4:1021:1032	577271	0	True				
ANR	577275	IdentifierDecl	* data		577271	0					
ANR	577276	IdentifierDeclType	char *		577271	0					
ANR	577277	Identifier	data		577271	1					
ANR	577278	ExpressionStatement	data = NULL	40:4:1039:1050	577271	1	True				
ANR	577279	AssignmentExpression	data = NULL		577271	0		=			
ANR	577280	Identifier	data		577271	0					
ANR	577281	Identifier	NULL		577271	1					
ANR	577282	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_char_ncpy_83_goodG2B goodG2BObject ( data ) ;	41:4:1057:1129	577271	2	True				
ANR	577283	IdentifierDecl	goodG2BObject ( data )		577271	0					
ANR	577284	IdentifierDeclType	CWE127_Buffer_Underread__malloc_char_ncpy_83_goodG2B		577271	0					
ANR	577285	Identifier	goodG2BObject		577271	1					
ANR	577286	Identifier	data		577271	2					
ANR	577287	ReturnType	static void		577271	1					
ANR	577288	Identifier	goodG2B		577271	2					
ANR	577289	ParameterList			577271	3					
ANR	577290	CFGEntryNode	ENTRY		577271		True				
ANR	577291	CFGExitNode	EXIT		577271		True				
ANR	577292	Symbol	NULL		577271						
ANR	577293	Symbol	data		577271						
ANR	577294	Symbol	goodG2BObject		577271						
ANR	577295	Function	good	44:0:1137:1169							
ANR	577296	FunctionDef	good ()		577295	0					
ANR	577297	CompoundStatement		45:0:1150:1169	577295	0					
ANR	577298	ExpressionStatement	goodG2B ( )	46:4:1157:1166	577295	0	True				
ANR	577299	CallExpression	goodG2B ( )		577295	0					
ANR	577300	Callee	goodG2B		577295	0					
ANR	577301	Identifier	goodG2B		577295	0					
ANR	577302	ArgumentList			577295	1					
ANR	577303	ReturnType	void		577295	1					
ANR	577304	Identifier	good		577295	2					
ANR	577305	ParameterList			577295	3					
ANR	577306	CFGEntryNode	ENTRY		577295		True				
ANR	577307	CFGExitNode	EXIT		577295		True				
ANR	577308	Function	main	62:0:1653:2016							
ANR	577309	FunctionDef	"main (int argc , char * argv [ ])"		577308	0					
ANR	577310	CompoundStatement		63:0:1688:2016	577308	0					
ANR	577311	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	65:4:1722:1751	577308	0	True				
ANR	577312	CallExpression	srand ( ( unsigned ) time ( NULL ) )		577308	0					
ANR	577313	Callee	srand		577308	0					
ANR	577314	Identifier	srand		577308	0					
ANR	577315	ArgumentList	( unsigned ) time ( NULL )		577308	1					
ANR	577316	Argument	( unsigned ) time ( NULL )		577308	0					
ANR	577317	CastExpression	( unsigned ) time ( NULL )		577308	0					
ANR	577318	CastTarget	unsigned		577308	0					
ANR	577319	CallExpression	time ( NULL )		577308	1					
ANR	577320	Callee	time		577308	0					
ANR	577321	Identifier	time		577308	0					
ANR	577322	ArgumentList	NULL		577308	1					
ANR	577323	Argument	NULL		577308	0					
ANR	577324	Identifier	NULL		577308	0					
ANR	577325	ExpressionStatement	"printLine ( ""Calling good()..."" )"	67:4:1776:1806	577308	1	True				
ANR	577326	CallExpression	"printLine ( ""Calling good()..."" )"		577308	0					
ANR	577327	Callee	printLine		577308	0					
ANR	577328	Identifier	printLine		577308	0					
ANR	577329	ArgumentList	"""Calling good()..."""		577308	1					
ANR	577330	Argument	"""Calling good()..."""		577308	0					
ANR	577331	PrimaryExpression	"""Calling good()..."""		577308	0					
ANR	577332	ExpressionStatement	good ( )	68:4:1813:1819	577308	2	True				
ANR	577333	CallExpression	good ( )		577308	0					
ANR	577334	Callee	good		577308	0					
ANR	577335	Identifier	good		577308	0					
ANR	577336	ArgumentList			577308	1					
ANR	577337	ExpressionStatement	"printLine ( ""Finished good()"" )"	69:4:1826:1854	577308	3	True				
ANR	577338	CallExpression	"printLine ( ""Finished good()"" )"		577308	0					
ANR	577339	Callee	printLine		577308	0					
ANR	577340	Identifier	printLine		577308	0					
ANR	577341	ArgumentList	"""Finished good()"""		577308	1					
ANR	577342	Argument	"""Finished good()"""		577308	0					
ANR	577343	PrimaryExpression	"""Finished good()"""		577308	0					
ANR	577344	ExpressionStatement	"printLine ( ""Calling bad()..."" )"	72:4:1901:1930	577308	4	True				
ANR	577345	CallExpression	"printLine ( ""Calling bad()..."" )"		577308	0					
ANR	577346	Callee	printLine		577308	0					
ANR	577347	Identifier	printLine		577308	0					
ANR	577348	ArgumentList	"""Calling bad()..."""		577308	1					
ANR	577349	Argument	"""Calling bad()..."""		577308	0					
ANR	577350	PrimaryExpression	"""Calling bad()..."""		577308	0					
ANR	577351	ExpressionStatement	bad ( )	73:4:1937:1942	577308	5	True				
ANR	577352	CallExpression	bad ( )		577308	0					
ANR	577353	Callee	bad		577308	0					
ANR	577354	Identifier	bad		577308	0					
ANR	577355	ArgumentList			577308	1					
ANR	577356	ExpressionStatement	"printLine ( ""Finished bad()"" )"	74:4:1949:1976	577308	6	True				
ANR	577357	CallExpression	"printLine ( ""Finished bad()"" )"		577308	0					
ANR	577358	Callee	printLine		577308	0					
ANR	577359	Identifier	printLine		577308	0					
ANR	577360	ArgumentList	"""Finished bad()"""		577308	1					
ANR	577361	Argument	"""Finished bad()"""		577308	0					
ANR	577362	PrimaryExpression	"""Finished bad()"""		577308	0					
ANR	577363	ReturnStatement	return 0 ;	76:4:2005:2013	577308	7	True				
ANR	577364	PrimaryExpression	0		577308	0					
ANR	577365	ReturnType	int		577308	1					
ANR	577366	Identifier	main		577308	2					
ANR	577367	ParameterList	"int argc , char * argv [ ]"		577308	3					
ANR	577368	Parameter	int argc	62:9:1662:1669	577308	0	True				
ANR	577369	ParameterType	int		577308	0					
ANR	577370	Identifier	argc		577308	1					
ANR	577371	Parameter	char * argv [ ]	62:19:1672:1684	577308	1	True				
ANR	577372	ParameterType	char * [ ]		577308	0					
ANR	577373	Identifier	argv		577308	1					
ANR	577374	CFGEntryNode	ENTRY		577308		True				
ANR	577375	CFGExitNode	EXIT		577308		True				
ANR	577376	Symbol	argc		577308						
ANR	577377	Symbol	NULL		577308						
ANR	577378	Symbol	time		577308						
ANR	577379	Symbol	argv		577308						
