start	end	type	var
577393	577394	IS_AST_PARENT	
577393	577395	IS_AST_PARENT	
577392	577393	IS_AST_PARENT	
577391	577392	IS_AST_PARENT	
577398	577399	IS_AST_PARENT	
577398	577400	IS_AST_PARENT	
577401	577402	IS_AST_PARENT	
577403	577404	IS_AST_PARENT	
577406	577407	IS_AST_PARENT	
577405	577406	IS_AST_PARENT	
577410	577411	IS_AST_PARENT	
577412	577413	IS_AST_PARENT	
577412	577414	IS_AST_PARENT	
577410	577412	IS_AST_PARENT	
577409	577410	IS_AST_PARENT	
577408	577409	IS_AST_PARENT	
577405	577408	IS_AST_PARENT	
577403	577405	IS_AST_PARENT	
577401	577403	IS_AST_PARENT	
577398	577401	IS_AST_PARENT	
577397	577398	IS_AST_PARENT	
577396	577397	IS_AST_PARENT	
577417	577418	IS_AST_PARENT	
577416	577417	IS_AST_PARENT	
577420	577421	IS_AST_PARENT	
577419	577420	IS_AST_PARENT	
577422	577423	IS_AST_PARENT	
577419	577422	IS_AST_PARENT	
577425	577426	IS_AST_PARENT	
577425	577427	IS_AST_PARENT	
577424	577425	IS_AST_PARENT	
577419	577424	IS_AST_PARENT	
577416	577419	IS_AST_PARENT	
577415	577416	IS_AST_PARENT	
577396	577415	IS_AST_PARENT	
577430	577431	IS_AST_PARENT	
577432	577433	IS_AST_PARENT	
577432	577434	IS_AST_PARENT	
577430	577432	IS_AST_PARENT	
577429	577430	IS_AST_PARENT	
577429	577435	IS_AST_PARENT	
577428	577429	IS_AST_PARENT	
577396	577428	IS_AST_PARENT	
577437	577438	IS_AST_PARENT	
577439	577440	IS_AST_PARENT	
577439	577441	IS_AST_PARENT	
577437	577439	IS_AST_PARENT	
577436	577437	IS_AST_PARENT	
577396	577436	IS_AST_PARENT	
577391	577396	IS_AST_PARENT	
577390	577391	IS_AST_PARENT	
577390	577442	IS_AST_PARENT	
577444	577445	IS_AST_PARENT	
577444	577446	IS_AST_PARENT	
577443	577444	IS_AST_PARENT	
577390	577443	IS_AST_PARENT	
577447	577444	FLOWS_TO	
577444	577392	FLOWS_TO	
577392	577397	FLOWS_TO	
577397	577415	FLOWS_TO	
577415	577428	FLOWS_TO	
577428	577436	FLOWS_TO	
577436	577448	FLOWS_TO	
577397	577449	USE	
577401	577449	USE	
577444	577450	DEF	
577392	577450	USE	
577393	577450	USE	
577392	577451	DEF	
577393	577451	DEF	
577436	577451	DEF	
577437	577451	DEF	
577397	577452	DEF	
577401	577452	DEF	
577398	577452	DEF	
577415	577452	USE	
577420	577452	USE	
577428	577452	USE	
577430	577452	USE	
577436	577452	USE	
577437	577452	USE	
577428	577453	DEF	
577429	577453	DEF	
577444	577392	REACHES	dataCopy
577397	577415	REACHES	dataBuffer
577397	577428	REACHES	dataBuffer
577397	577436	REACHES	dataBuffer
577447	577444	CONTROLS	
577447	577392	CONTROLS	
577447	577397	CONTROLS	
577447	577415	CONTROLS	
577447	577428	CONTROLS	
577447	577436	CONTROLS	
577415	577428	DOM	
577428	577436	DOM	
577444	577392	DOM	
577436	577448	DOM	
577447	577444	DOM	
577392	577397	DOM	
577397	577415	DOM	
577447	577447	DOM	
577436	577428	POST_DOM	
577448	577436	POST_DOM	
577397	577392	POST_DOM	
577448	577448	POST_DOM	
577392	577444	POST_DOM	
577428	577415	POST_DOM	
577415	577397	POST_DOM	
577444	577447	POST_DOM	
577389	577390	IS_FUNCTION_OF_AST	
577389	577447	IS_FUNCTION_OF_CFG	
577388	577389	IS_FILE_OF	
577459	577460	IS_AST_PARENT	
577459	577461	IS_AST_PARENT	
577459	577462	IS_AST_PARENT	
577458	577459	IS_AST_PARENT	
577457	577458	IS_AST_PARENT	
577465	577466	IS_AST_PARENT	
577464	577465	IS_AST_PARENT	
577468	577469	IS_AST_PARENT	
577467	577468	IS_AST_PARENT	
577470	577471	IS_AST_PARENT	
577467	577470	IS_AST_PARENT	
577473	577474	IS_AST_PARENT	
577473	577475	IS_AST_PARENT	
577472	577473	IS_AST_PARENT	
577467	577472	IS_AST_PARENT	
577464	577467	IS_AST_PARENT	
577463	577464	IS_AST_PARENT	
577457	577463	IS_AST_PARENT	
577478	577479	IS_AST_PARENT	
577480	577481	IS_AST_PARENT	
577480	577482	IS_AST_PARENT	
577478	577480	IS_AST_PARENT	
577477	577478	IS_AST_PARENT	
577477	577483	IS_AST_PARENT	
577476	577477	IS_AST_PARENT	
577457	577476	IS_AST_PARENT	
577486	577487	IS_AST_PARENT	
577485	577486	IS_AST_PARENT	
577489	577490	IS_AST_PARENT	
577488	577489	IS_AST_PARENT	
577491	577492	IS_AST_PARENT	
577488	577491	IS_AST_PARENT	
577495	577496	IS_AST_PARENT	
577494	577495	IS_AST_PARENT	
577498	577499	IS_AST_PARENT	
577497	577498	IS_AST_PARENT	
577494	577497	IS_AST_PARENT	
577493	577494	IS_AST_PARENT	
577488	577493	IS_AST_PARENT	
577485	577488	IS_AST_PARENT	
577484	577485	IS_AST_PARENT	
577457	577484	IS_AST_PARENT	
577502	577503	IS_AST_PARENT	
577504	577505	IS_AST_PARENT	
577504	577506	IS_AST_PARENT	
577502	577504	IS_AST_PARENT	
577501	577502	IS_AST_PARENT	
577501	577507	IS_AST_PARENT	
577500	577501	IS_AST_PARENT	
577457	577500	IS_AST_PARENT	
577510	577511	IS_AST_PARENT	
577509	577510	IS_AST_PARENT	
577513	577514	IS_AST_PARENT	
577512	577513	IS_AST_PARENT	
577509	577512	IS_AST_PARENT	
577508	577509	IS_AST_PARENT	
577457	577508	IS_AST_PARENT	
