start	end	type	var
577528	577529	IS_AST_PARENT	
577528	577530	IS_AST_PARENT	
577527	577528	IS_AST_PARENT	
577526	577527	IS_AST_PARENT	
577533	577534	IS_AST_PARENT	
577533	577535	IS_AST_PARENT	
577536	577537	IS_AST_PARENT	
577538	577539	IS_AST_PARENT	
577541	577542	IS_AST_PARENT	
577540	577541	IS_AST_PARENT	
577545	577546	IS_AST_PARENT	
577547	577548	IS_AST_PARENT	
577547	577549	IS_AST_PARENT	
577545	577547	IS_AST_PARENT	
577544	577545	IS_AST_PARENT	
577543	577544	IS_AST_PARENT	
577540	577543	IS_AST_PARENT	
577538	577540	IS_AST_PARENT	
577536	577538	IS_AST_PARENT	
577533	577536	IS_AST_PARENT	
577532	577533	IS_AST_PARENT	
577531	577532	IS_AST_PARENT	
577552	577553	IS_AST_PARENT	
577551	577552	IS_AST_PARENT	
577555	577556	IS_AST_PARENT	
577554	577555	IS_AST_PARENT	
577557	577558	IS_AST_PARENT	
577554	577557	IS_AST_PARENT	
577560	577561	IS_AST_PARENT	
577560	577562	IS_AST_PARENT	
577559	577560	IS_AST_PARENT	
577554	577559	IS_AST_PARENT	
577551	577554	IS_AST_PARENT	
577550	577551	IS_AST_PARENT	
577531	577550	IS_AST_PARENT	
577565	577566	IS_AST_PARENT	
577567	577568	IS_AST_PARENT	
577567	577569	IS_AST_PARENT	
577565	577567	IS_AST_PARENT	
577564	577565	IS_AST_PARENT	
577564	577570	IS_AST_PARENT	
577563	577564	IS_AST_PARENT	
577531	577563	IS_AST_PARENT	
577572	577573	IS_AST_PARENT	
577572	577574	IS_AST_PARENT	
577571	577572	IS_AST_PARENT	
577531	577571	IS_AST_PARENT	
577526	577531	IS_AST_PARENT	
577525	577526	IS_AST_PARENT	
577525	577575	IS_AST_PARENT	
577577	577578	IS_AST_PARENT	
577577	577579	IS_AST_PARENT	
577576	577577	IS_AST_PARENT	
577525	577576	IS_AST_PARENT	
577580	577577	FLOWS_TO	
577577	577527	FLOWS_TO	
577527	577532	FLOWS_TO	
577532	577550	FLOWS_TO	
577550	577563	FLOWS_TO	
577563	577571	FLOWS_TO	
577571	577581	FLOWS_TO	
577532	577582	USE	
577536	577582	USE	
577577	577583	DEF	
577527	577583	USE	
577528	577583	USE	
577527	577584	DEF	
577528	577584	DEF	
577571	577584	DEF	
577572	577584	DEF	
577532	577585	DEF	
577533	577585	DEF	
577536	577585	DEF	
577550	577585	USE	
577555	577585	USE	
577563	577585	USE	
577565	577585	USE	
577571	577585	USE	
577572	577585	USE	
577563	577586	DEF	
577564	577586	DEF	
577577	577527	REACHES	dataCopy
577532	577550	REACHES	dataBuffer
577532	577563	REACHES	dataBuffer
577532	577571	REACHES	dataBuffer
577580	577577	CONTROLS	
577580	577527	CONTROLS	
577580	577532	CONTROLS	
577580	577550	CONTROLS	
577580	577563	CONTROLS	
577580	577571	CONTROLS	
577580	577577	DOM	
577577	577527	DOM	
577532	577550	DOM	
577580	577580	DOM	
577527	577532	DOM	
577563	577571	DOM	
577571	577581	DOM	
577550	577563	DOM	
577532	577527	POST_DOM	
577527	577577	POST_DOM	
577563	577550	POST_DOM	
577550	577532	POST_DOM	
577577	577580	POST_DOM	
577581	577581	POST_DOM	
577581	577571	POST_DOM	
577571	577563	POST_DOM	
577524	577525	IS_FUNCTION_OF_AST	
577524	577580	IS_FUNCTION_OF_CFG	
577523	577524	IS_FILE_OF	
577592	577593	IS_AST_PARENT	
577592	577594	IS_AST_PARENT	
577592	577595	IS_AST_PARENT	
577591	577592	IS_AST_PARENT	
577590	577591	IS_AST_PARENT	
577598	577599	IS_AST_PARENT	
577597	577598	IS_AST_PARENT	
577601	577602	IS_AST_PARENT	
577600	577601	IS_AST_PARENT	
577603	577604	IS_AST_PARENT	
577600	577603	IS_AST_PARENT	
577606	577607	IS_AST_PARENT	
577606	577608	IS_AST_PARENT	
577605	577606	IS_AST_PARENT	
577600	577605	IS_AST_PARENT	
577597	577600	IS_AST_PARENT	
577596	577597	IS_AST_PARENT	
577590	577596	IS_AST_PARENT	
577611	577612	IS_AST_PARENT	
577613	577614	IS_AST_PARENT	
577613	577615	IS_AST_PARENT	
577611	577613	IS_AST_PARENT	
577610	577611	IS_AST_PARENT	
577610	577616	IS_AST_PARENT	
577609	577610	IS_AST_PARENT	
577590	577609	IS_AST_PARENT	
577619	577620	IS_AST_PARENT	
577618	577619	IS_AST_PARENT	
577622	577623	IS_AST_PARENT	
577621	577622	IS_AST_PARENT	
577624	577625	IS_AST_PARENT	
577621	577624	IS_AST_PARENT	
577628	577629	IS_AST_PARENT	
577627	577628	IS_AST_PARENT	
