start	end	type	var
577661	577662	IS_AST_PARENT	
577661	577663	IS_AST_PARENT	
577660	577661	IS_AST_PARENT	
577659	577660	IS_AST_PARENT	
577665	577666	IS_AST_PARENT	
577665	577667	IS_AST_PARENT	
577664	577665	IS_AST_PARENT	
577659	577664	IS_AST_PARENT	
577669	577670	IS_AST_PARENT	
577669	577671	IS_AST_PARENT	
577672	577673	IS_AST_PARENT	
577672	577674	IS_AST_PARENT	
577669	577672	IS_AST_PARENT	
577668	577669	IS_AST_PARENT	
577659	577668	IS_AST_PARENT	
577659	577675	IS_AST_PARENT	
577676	577677	IS_AST_PARENT	
577659	577676	IS_AST_PARENT	
577658	577659	IS_AST_PARENT	
577658	577678	IS_AST_PARENT	
577658	577679	IS_AST_PARENT	
577658	577680	IS_AST_PARENT	
577681	577660	FLOWS_TO	
577660	577664	FLOWS_TO	
577664	577668	FLOWS_TO	
577668	577675	FLOWS_TO	
577675	577676	FLOWS_TO	
577676	577682	FLOWS_TO	
577664	577683	USE	
577665	577683	USE	
577660	577684	DEF	
577661	577684	DEF	
577664	577684	DEF	
577665	577684	DEF	
577668	577684	DEF	
577672	577684	DEF	
577668	577684	USE	
577672	577684	USE	
577668	577685	DEF	
577669	577685	DEF	
577664	577668	REACHES	data
577681	577660	CONTROLS	
577681	577664	CONTROLS	
577681	577668	CONTROLS	
577681	577675	CONTROLS	
577681	577676	CONTROLS	
577681	577681	DOM	
577660	577664	DOM	
577681	577660	DOM	
577664	577668	DOM	
577668	577675	DOM	
577676	577682	DOM	
577675	577676	DOM	
577660	577681	POST_DOM	
577668	577664	POST_DOM	
577664	577660	POST_DOM	
577676	577675	POST_DOM	
577675	577668	POST_DOM	
577682	577682	POST_DOM	
577682	577676	POST_DOM	
577657	577658	IS_FUNCTION_OF_AST	
577657	577681	IS_FUNCTION_OF_CFG	
577656	577657	IS_FILE_OF	
577690	577691	IS_AST_PARENT	
577690	577692	IS_AST_PARENT	
577689	577690	IS_AST_PARENT	
577688	577689	IS_AST_PARENT	
577694	577695	IS_AST_PARENT	
577694	577696	IS_AST_PARENT	
577693	577694	IS_AST_PARENT	
577688	577693	IS_AST_PARENT	
577698	577699	IS_AST_PARENT	
577698	577700	IS_AST_PARENT	
577701	577702	IS_AST_PARENT	
577701	577703	IS_AST_PARENT	
577698	577701	IS_AST_PARENT	
577697	577698	IS_AST_PARENT	
577688	577697	IS_AST_PARENT	
577688	577704	IS_AST_PARENT	
577705	577706	IS_AST_PARENT	
577688	577705	IS_AST_PARENT	
577687	577688	IS_AST_PARENT	
577687	577707	IS_AST_PARENT	
