command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	578895	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/078/009/CWE127_Buffer_Underread__malloc_wchar_t_cpy_53d.c								
ANR	578896	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_53d_badSink	25:0:803:1345							
ANR	578897	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_53d_badSink (wchar_t * data)		578896	0					
ANR	578898	CompoundStatement		26:0:881:1345	578896	0					
ANR	578899	CompoundStatement		3:8:17:36	578896	0					
ANR	578900	IdentifierDeclStatement	wchar_t dest [ 100 * 2 ] ;	28:8:899:918	578896	0	True				
ANR	578901	IdentifierDecl	dest [ 100 * 2 ]		578896	0					
ANR	578902	IdentifierDeclType	wchar_t [ 100 * 2 ]		578896	0					
ANR	578903	Identifier	dest		578896	1					
ANR	578904	MultiplicativeExpression	100 * 2		578896	2		*			
ANR	578905	PrimaryExpression	100		578896	0					
ANR	578906	PrimaryExpression	2		578896	1					
ANR	578907	Statement	wmemset	29:8:929:935	578896	1	True				
ANR	578908	Statement	(	29:15:936:936	578896	2	True				
ANR	578909	Statement	dest	29:16:937:940	578896	3	True				
ANR	578910	Statement	","	29:20:941:941	578896	4	True				
ANR	578911	Statement	L	29:22:943:943	578896	5	True				
ANR	578912	Statement	'C'	29:23:944:946	578896	6	True				
ANR	578913	Statement	","	29:26:947:947	578896	7	True				
ANR	578914	Statement	100	29:28:949:951	578896	8	True				
ANR	578915	Statement	*	29:31:952:952	578896	9	True				
ANR	578916	Statement	2	29:32:953:953	578896	10	True				
ANR	578917	Statement	-	29:33:954:954	578896	11	True				
ANR	578918	Statement	1	29:34:955:955	578896	12	True				
ANR	578919	Statement	)	29:35:956:956	578896	13	True				
ANR	578920	ExpressionStatement		29:36:957:957	578896	14	True				
ANR	578921	Statement	dest	30:8:989:992	578896	15	True				
ANR	578922	Statement	[	30:12:993:993	578896	16	True				
ANR	578923	Statement	100	30:13:994:996	578896	17	True				
ANR	578924	Statement	*	30:16:997:997	578896	18	True				
ANR	578925	Statement	2	30:17:998:998	578896	19	True				
ANR	578926	Statement	-	30:18:999:999	578896	20	True				
ANR	578927	Statement	1	30:19:1000:1000	578896	21	True				
ANR	578928	Statement	]	30:20:1001:1001	578896	22	True				
ANR	578929	Statement	=	30:22:1003:1003	578896	23	True				
ANR	578930	Statement	L	30:24:1005:1005	578896	24	True				
ANR	578931	ExpressionStatement	'\\0'	30:25:1006:1010	578896	25	True				
ANR	578932	PrimaryExpression	'\\0'		578896	0					
ANR	578933	ExpressionStatement	"wcscpy ( dest , data )"	32:8:1143:1161	578896	26	True				
ANR	578934	CallExpression	"wcscpy ( dest , data )"		578896	0					
ANR	578935	Callee	wcscpy		578896	0					
ANR	578936	Identifier	wcscpy		578896	0					
ANR	578937	ArgumentList	dest		578896	1					
ANR	578938	Argument	dest		578896	0					
ANR	578939	Identifier	dest		578896	0					
ANR	578940	Argument	data		578896	1					
ANR	578941	Identifier	data		578896	0					
ANR	578942	ExpressionStatement	printWLine ( dest )	33:8:1172:1188	578896	27	True				
ANR	578943	CallExpression	printWLine ( dest )		578896	0					
ANR	578944	Callee	printWLine		578896	0					
ANR	578945	Identifier	printWLine		578896	0					
ANR	578946	ArgumentList	dest		578896	1					
