start	end	type	var
579303	579304	DECLARES	
579310	579311	IS_AST_PARENT	
579309	579310	IS_AST_PARENT	
579313	579314	IS_AST_PARENT	
579312	579313	IS_AST_PARENT	
579309	579312	IS_AST_PARENT	
579308	579309	IS_AST_PARENT	
579307	579308	IS_AST_PARENT	
579306	579307	IS_AST_PARENT	
579306	579315	IS_AST_PARENT	
579306	579316	IS_AST_PARENT	
579318	579319	IS_AST_PARENT	
579318	579320	IS_AST_PARENT	
579317	579318	IS_AST_PARENT	
579306	579317	IS_AST_PARENT	
579321	579318	FLOWS_TO	
579318	579308	FLOWS_TO	
579308	579322	FLOWS_TO	
579318	579323	DEF	
579308	579323	USE	
579313	579323	USE	
579318	579308	REACHES	data
579321	579318	CONTROLS	
579321	579308	CONTROLS	
579321	579318	DOM	
579321	579321	DOM	
579308	579322	DOM	
579318	579308	DOM	
579308	579318	POST_DOM	
579322	579322	POST_DOM	
579318	579321	POST_DOM	
579322	579308	POST_DOM	
579305	579306	IS_FUNCTION_OF_AST	
579305	579321	IS_FUNCTION_OF_CFG	
579302	579305	IS_FILE_OF	
579324	579325	DECLARES	
579331	579332	IS_AST_PARENT	
579330	579331	IS_AST_PARENT	
579334	579335	IS_AST_PARENT	
579333	579334	IS_AST_PARENT	
579330	579333	IS_AST_PARENT	
579329	579330	IS_AST_PARENT	
579328	579329	IS_AST_PARENT	
579327	579328	IS_AST_PARENT	
579327	579336	IS_AST_PARENT	
579327	579337	IS_AST_PARENT	
579339	579340	IS_AST_PARENT	
579339	579341	IS_AST_PARENT	
579338	579339	IS_AST_PARENT	
579327	579338	IS_AST_PARENT	
579342	579339	FLOWS_TO	
579339	579329	FLOWS_TO	
579329	579343	FLOWS_TO	
579339	579344	DEF	
579329	579344	USE	
579334	579344	USE	
579339	579329	REACHES	data
579342	579339	CONTROLS	
579342	579329	CONTROLS	
579342	579342	DOM	
579329	579343	DOM	
579339	579329	DOM	
579342	579339	DOM	
579343	579343	POST_DOM	
579339	579342	POST_DOM	
579343	579329	POST_DOM	
579329	579339	POST_DOM	
579326	579327	IS_FUNCTION_OF_AST	
579326	579342	IS_FUNCTION_OF_CFG	
579302	579326	IS_FILE_OF	
