command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	579388	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/078/010/CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e.c								
ANR	579389	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e_badSink	25:0:804:1346							
ANR	579390	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e_badSink (wchar_t * data)		579389	0					
ANR	579391	CompoundStatement		26:0:882:1346	579389	0					
ANR	579392	CompoundStatement		3:8:17:36	579389	0					
ANR	579393	IdentifierDeclStatement	wchar_t dest [ 100 * 2 ] ;	28:8:900:919	579389	0	True				
ANR	579394	IdentifierDecl	dest [ 100 * 2 ]		579389	0					
ANR	579395	IdentifierDeclType	wchar_t [ 100 * 2 ]		579389	0					
ANR	579396	Identifier	dest		579389	1					
ANR	579397	MultiplicativeExpression	100 * 2		579389	2		*			
ANR	579398	PrimaryExpression	100		579389	0					
ANR	579399	PrimaryExpression	2		579389	1					
ANR	579400	Statement	wmemset	29:8:930:936	579389	1	True				
ANR	579401	Statement	(	29:15:937:937	579389	2	True				
ANR	579402	Statement	dest	29:16:938:941	579389	3	True				
ANR	579403	Statement	","	29:20:942:942	579389	4	True				
ANR	579404	Statement	L	29:22:944:944	579389	5	True				
ANR	579405	Statement	'C'	29:23:945:947	579389	6	True				
ANR	579406	Statement	","	29:26:948:948	579389	7	True				
ANR	579407	Statement	100	29:28:950:952	579389	8	True				
ANR	579408	Statement	*	29:31:953:953	579389	9	True				
ANR	579409	Statement	2	29:32:954:954	579389	10	True				
ANR	579410	Statement	-	29:33:955:955	579389	11	True				
ANR	579411	Statement	1	29:34:956:956	579389	12	True				
ANR	579412	Statement	)	29:35:957:957	579389	13	True				
ANR	579413	ExpressionStatement		29:36:958:958	579389	14	True				
ANR	579414	Statement	dest	30:8:990:993	579389	15	True				
ANR	579415	Statement	[	30:12:994:994	579389	16	True				
ANR	579416	Statement	100	30:13:995:997	579389	17	True				
ANR	579417	Statement	*	30:16:998:998	579389	18	True				
ANR	579418	Statement	2	30:17:999:999	579389	19	True				
ANR	579419	Statement	-	30:18:1000:1000	579389	20	True				
ANR	579420	Statement	1	30:19:1001:1001	579389	21	True				
ANR	579421	Statement	]	30:20:1002:1002	579389	22	True				
ANR	579422	Statement	=	30:22:1004:1004	579389	23	True				
ANR	579423	Statement	L	30:24:1006:1006	579389	24	True				
ANR	579424	ExpressionStatement	'\\0'	30:25:1007:1011	579389	25	True				
ANR	579425	PrimaryExpression	'\\0'		579389	0					
ANR	579426	ExpressionStatement	"wcscpy ( dest , data )"	32:8:1144:1162	579389	26	True				
ANR	579427	CallExpression	"wcscpy ( dest , data )"		579389	0					
ANR	579428	Callee	wcscpy		579389	0					
ANR	579429	Identifier	wcscpy		579389	0					
ANR	579430	ArgumentList	dest		579389	1					
ANR	579431	Argument	dest		579389	0					
ANR	579432	Identifier	dest		579389	0					
ANR	579433	Argument	data		579389	1					
ANR	579434	Identifier	data		579389	0					
ANR	579435	ExpressionStatement	printWLine ( dest )	33:8:1173:1189	579389	27	True				
ANR	579436	CallExpression	printWLine ( dest )		579389	0					
ANR	579437	Callee	printWLine		579389	0					
ANR	579438	Identifier	printWLine		579389	0					
ANR	579439	ArgumentList	dest		579389	1					
ANR	579440	Argument	dest		579389	0					
ANR	579441	Identifier	dest		579389	0					
ANR	579442	ReturnType	void		579389	1					
ANR	579443	Identifier	CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e_badSink		579389	2					
ANR	579444	ParameterList	wchar_t * data		579389	3					
ANR	579445	Parameter	wchar_t * data	25:61:865:878	579389	0	True				
ANR	579446	ParameterType	wchar_t *		579389	0					
ANR	579447	Identifier	data		579389	1					
ANR	579448	CFGEntryNode	ENTRY		579389		True				
ANR	579449	CFGExitNode	EXIT		579389		True				
ANR	579450	Symbol	data		579389						
ANR	579451	Symbol	dest		579389						
ANR	579452	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e_goodG2BSink	44:0:1447:1993							
ANR	579453	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_54e_goodG2BSink (wchar_t * data)		579452	0					
ANR	579454	CompoundStatement		45:0:1529:1993	579452	0					
ANR	579455	CompoundStatement		3:8:17:36	579452	0					
ANR	579456	IdentifierDeclStatement	wchar_t dest [ 100 * 2 ] ;	47:8:1547:1566	579452	0	True				
ANR	579457	IdentifierDecl	dest [ 100 * 2 ]		579452	0					
ANR	579458	IdentifierDeclType	wchar_t [ 100 * 2 ]		579452	0					
ANR	579459	Identifier	dest		579452	1					
ANR	579460	MultiplicativeExpression	100 * 2		579452	2		*			
ANR	579461	PrimaryExpression	100		579452	0					
ANR	579462	PrimaryExpression	2		579452	1					
ANR	579463	Statement	wmemset	48:8:1577:1583	579452	1	True				
ANR	579464	Statement	(	48:15:1584:1584	579452	2	True				
ANR	579465	Statement	dest	48:16:1585:1588	579452	3	True				
ANR	579466	Statement	","	48:20:1589:1589	579452	4	True				
ANR	579467	Statement	L	48:22:1591:1591	579452	5	True				
ANR	579468	Statement	'C'	48:23:1592:1594	579452	6	True				
ANR	579469	Statement	","	48:26:1595:1595	579452	7	True				
ANR	579470	Statement	100	48:28:1597:1599	579452	8	True				
ANR	579471	Statement	*	48:31:1600:1600	579452	9	True				
ANR	579472	Statement	2	48:32:1601:1601	579452	10	True				
ANR	579473	Statement	-	48:33:1602:1602	579452	11	True				
ANR	579474	Statement	1	48:34:1603:1603	579452	12	True				
ANR	579475	Statement	)	48:35:1604:1604	579452	13	True				
ANR	579476	ExpressionStatement		48:36:1605:1605	579452	14	True				
ANR	579477	Statement	dest	49:8:1637:1640	579452	15	True				
ANR	579478	Statement	[	49:12:1641:1641	579452	16	True				
ANR	579479	Statement	100	49:13:1642:1644	579452	17	True				
ANR	579480	Statement	*	49:16:1645:1645	579452	18	True				
ANR	579481	Statement	2	49:17:1646:1646	579452	19	True				
ANR	579482	Statement	-	49:18:1647:1647	579452	20	True				
ANR	579483	Statement	1	49:19:1648:1648	579452	21	True				
ANR	579484	Statement	]	49:20:1649:1649	579452	22	True				
ANR	579485	Statement	=	49:22:1651:1651	579452	23	True				
ANR	579486	Statement	L	49:24:1653:1653	579452	24	True				
ANR	579487	ExpressionStatement	'\\0'	49:25:1654:1658	579452	25	True				
ANR	579488	PrimaryExpression	'\\0'		579452	0					
ANR	579489	ExpressionStatement	"wcscpy ( dest , data )"	51:8:1791:1809	579452	26	True				
ANR	579490	CallExpression	"wcscpy ( dest , data )"		579452	0					
ANR	579491	Callee	wcscpy		579452	0					
ANR	579492	Identifier	wcscpy		579452	0					
ANR	579493	ArgumentList	dest		579452	1					
ANR	579494	Argument	dest		579452	0					
ANR	579495	Identifier	dest		579452	0					
ANR	579496	Argument	data		579452	1					
ANR	579497	Identifier	data		579452	0					
