command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	582054	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/078/024/CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B.cpp								
ANR	582055	Function	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B :: CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B	23:0:783:1201							
ANR	582056	FunctionDef	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B :: CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B (wchar_t * dataCopy)		582055	0					
ANR	582057	CompoundStatement		24:0:915:1201	582055	0					
ANR	582058	ExpressionStatement	data = dataCopy	25:4:922:937	582055	0	True				
ANR	582059	AssignmentExpression	data = dataCopy		582055	0		=			
ANR	582060	Identifier	data		582055	0					
ANR	582061	Identifier	dataCopy		582055	1					
ANR	582062	CompoundStatement		4:8:39:100	582055	1					
ANR	582063	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	27:8:955:1016	582055	0	True				
ANR	582064	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		582055	0					
ANR	582065	IdentifierDeclType	wchar_t *		582055	0					
ANR	582066	Identifier	dataBuffer		582055	1					
ANR	582067	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		582055	2		=			
ANR	582068	Identifier	dataBuffer		582055	0					
ANR	582069	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		582055	1					
ANR	582070	CastTarget	wchar_t *		582055	0					
ANR	582071	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		582055	1					
ANR	582072	Callee	malloc		582055	0					
ANR	582073	Identifier	malloc		582055	0					
ANR	582074	ArgumentList	100 * sizeof ( wchar_t )		582055	1					
ANR	582075	Argument	100 * sizeof ( wchar_t )		582055	0					
ANR	582076	MultiplicativeExpression	100 * sizeof ( wchar_t )		582055	0		*			
ANR	582077	PrimaryExpression	100		582055	0					
ANR	582078	SizeofExpression	sizeof ( wchar_t )		582055	1					
ANR	582079	Sizeof	sizeof		582055	0					
ANR	582080	SizeofOperand	wchar_t		582055	1					
ANR	582081	Statement	wmemset	28:8:1027:1033	582055	1	True				
ANR	582082	Statement	(	28:15:1034:1034	582055	2	True				
ANR	582083	Statement	dataBuffer	28:16:1035:1044	582055	3	True				
ANR	582084	Statement	","	28:26:1045:1045	582055	4	True				
ANR	582085	Statement	L	28:28:1047:1047	582055	5	True				
ANR	582086	Statement	'A'	28:29:1048:1050	582055	6	True				
ANR	582087	Statement	","	28:32:1051:1051	582055	7	True				
ANR	582088	Statement	100	28:34:1053:1055	582055	8	True				
ANR	582089	Statement	-	28:37:1056:1056	582055	9	True				
ANR	582090	Statement	1	28:38:1057:1057	582055	10	True				
ANR	582091	Statement	)	28:39:1058:1058	582055	11	True				
ANR	582092	ExpressionStatement		28:40:1059:1059	582055	12	True				
ANR	582093	Statement	dataBuffer	29:8:1070:1079	582055	13	True				
