command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	582177	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-4900-c/testcases/000/078/024/CWE127_Buffer_Underread__malloc_wchar_t_cpy_83a.cpp								
ANR	582178	Function	bad	25:0:772:899							
ANR	582179	FunctionDef	bad ()		582178	0					
ANR	582180	CompoundStatement		26:0:784:899	582178	0					
ANR	582181	IdentifierDeclStatement	wchar_t * data ;	27:4:791:805	582178	0	True				
ANR	582182	IdentifierDecl	* data		582178	0					
ANR	582183	IdentifierDeclType	wchar_t *		582178	0					
ANR	582184	Identifier	data		582178	1					
ANR	582185	ExpressionStatement	data = NULL	28:4:812:823	582178	1	True				
ANR	582186	AssignmentExpression	data = NULL		582178	0		=			
ANR	582187	Identifier	data		582178	0					
ANR	582188	Identifier	NULL		582178	1					
ANR	582189	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_bad badObject ( data ) ;	29:4:830:896	582178	2	True				
ANR	582190	IdentifierDecl	badObject ( data )		582178	0					
ANR	582191	IdentifierDeclType	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_bad		582178	0					
ANR	582192	Identifier	badObject		582178	1					
ANR	582193	Identifier	data		582178	2					
ANR	582194	ReturnType	void		582178	1					
ANR	582195	Identifier	bad		582178	2					
ANR	582196	ParameterList			582178	3					
ANR	582197	CFGEntryNode	ENTRY		582178		True				
ANR	582198	CFGExitNode	EXIT		582178		True				
ANR	582199	Symbol	NULL		582178						
ANR	582200	Symbol	data		582178						
ANR	582201	Symbol	badObject		582178						
ANR	582202	Function	goodG2B	37:0:1000:1146							
ANR	582203	FunctionDef	goodG2B ()		582202	0					
ANR	582204	CompoundStatement		38:0:1023:1146	582202	0					
ANR	582205	IdentifierDeclStatement	wchar_t * data ;	39:4:1030:1044	582202	0	True				
ANR	582206	IdentifierDecl	* data		582202	0					
ANR	582207	IdentifierDeclType	wchar_t *		582202	0					
ANR	582208	Identifier	data		582202	1					
ANR	582209	ExpressionStatement	data = NULL	40:4:1051:1062	582202	1	True				
ANR	582210	AssignmentExpression	data = NULL		582202	0		=			
ANR	582211	Identifier	data		582202	0					
ANR	582212	Identifier	NULL		582202	1					
ANR	582213	IdentifierDeclStatement	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B goodG2BObject ( data ) ;	41:4:1069:1143	582202	2	True				
ANR	582214	IdentifierDecl	goodG2BObject ( data )		582202	0					
ANR	582215	IdentifierDeclType	CWE127_Buffer_Underread__malloc_wchar_t_cpy_83_goodG2B		582202	0					
ANR	582216	Identifier	goodG2BObject		582202	1					
ANR	582217	Identifier	data		582202	2					
