start	end	type	var
582572	582573	IS_AST_PARENT	
582572	582574	IS_AST_PARENT	
582571	582572	IS_AST_PARENT	
582570	582571	IS_AST_PARENT	
582576	582577	IS_AST_PARENT	
582576	582578	IS_AST_PARENT	
582575	582576	IS_AST_PARENT	
582570	582575	IS_AST_PARENT	
582580	582581	IS_AST_PARENT	
582580	582582	IS_AST_PARENT	
582583	582584	IS_AST_PARENT	
582583	582585	IS_AST_PARENT	
582580	582583	IS_AST_PARENT	
582579	582580	IS_AST_PARENT	
582570	582579	IS_AST_PARENT	
582570	582586	IS_AST_PARENT	
582587	582588	IS_AST_PARENT	
582570	582587	IS_AST_PARENT	
582569	582570	IS_AST_PARENT	
582569	582589	IS_AST_PARENT	
582569	582590	IS_AST_PARENT	
582569	582591	IS_AST_PARENT	
582592	582571	FLOWS_TO	
582571	582575	FLOWS_TO	
582575	582579	FLOWS_TO	
582579	582586	FLOWS_TO	
582586	582587	FLOWS_TO	
582587	582593	FLOWS_TO	
582575	582594	USE	
582576	582594	USE	
582571	582595	DEF	
582572	582595	DEF	
582575	582595	DEF	
582576	582595	DEF	
582579	582595	USE	
582583	582595	USE	
582579	582595	DEF	
582583	582595	DEF	
582579	582596	DEF	
582580	582596	DEF	
582575	582579	REACHES	data
582592	582571	CONTROLS	
582592	582575	CONTROLS	
582592	582579	CONTROLS	
582592	582586	CONTROLS	
582592	582587	CONTROLS	
582579	582586	DOM	
582592	582571	DOM	
582586	582587	DOM	
582587	582593	DOM	
582592	582592	DOM	
582575	582579	DOM	
582571	582575	DOM	
582587	582586	POST_DOM	
582575	582571	POST_DOM	
582593	582587	POST_DOM	
582593	582593	POST_DOM	
582571	582592	POST_DOM	
582586	582579	POST_DOM	
582579	582575	POST_DOM	
582568	582569	IS_FUNCTION_OF_AST	
582568	582592	IS_FUNCTION_OF_CFG	
582567	582568	IS_FILE_OF	
582601	582602	IS_AST_PARENT	
582601	582603	IS_AST_PARENT	
582600	582601	IS_AST_PARENT	
582599	582600	IS_AST_PARENT	
582605	582606	IS_AST_PARENT	
582605	582607	IS_AST_PARENT	
582604	582605	IS_AST_PARENT	
582599	582604	IS_AST_PARENT	
582609	582610	IS_AST_PARENT	
582609	582611	IS_AST_PARENT	
582612	582613	IS_AST_PARENT	
582612	582614	IS_AST_PARENT	
582609	582612	IS_AST_PARENT	
