command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	584438	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/763/CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45.c								
ANR	584439	DeclStmt									
ANR	584440	Decl							wchar_t	wchar_t *	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData
ANR	584441	DeclStmt									
ANR	584442	Decl							wchar_t	wchar_t *	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_goodG2BData
ANR	584443	Function	badSink	26:0:762:1281							
ANR	584444	FunctionDef	badSink ()		584443	0					
ANR	584445	CompoundStatement		27:0:785:1281	584443	0					
ANR	584446	IdentifierDeclStatement	wchar_t * data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData ;	28:4:792:865	584443	0	True				
ANR	584447	IdentifierDecl	* data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData		584443	0					
ANR	584448	IdentifierDeclType	wchar_t *		584443	0					
ANR	584449	Identifier	data		584443	1					
ANR	584450	AssignmentExpression	* data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData		584443	2		=			
ANR	584451	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData		584443	0					
ANR	584452	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData		584443	1					
ANR	584453	CompoundStatement		4:8:97:114	584443	1					
ANR	584454	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	30:8:883:900	584443	0	True				
ANR	584455	IdentifierDecl	dest [ 100 ]		584443	0					
ANR	584456	IdentifierDeclType	wchar_t [ 100 ]		584443	0					
ANR	584457	Identifier	dest		584443	1					
ANR	584458	PrimaryExpression	100		584443	2					
ANR	584459	Statement	wmemset	31:8:911:917	584443	1	True				
ANR	584460	Statement	(	31:15:918:918	584443	2	True				
ANR	584461	Statement	dest	31:16:919:922	584443	3	True				
ANR	584462	Statement	","	31:20:923:923	584443	4	True				
ANR	584463	Statement	L	31:22:925:925	584443	5	True				
ANR	584464	Statement	'C'	31:23:926:928	584443	6	True				
ANR	584465	Statement	","	31:26:929:929	584443	7	True				
ANR	584466	Statement	100	31:28:931:933	584443	8	True				
ANR	584467	Statement	-	31:31:934:934	584443	9	True				
ANR	584468	Statement	1	31:32:935:935	584443	10	True				
ANR	584469	Statement	)	31:33:936:936	584443	11	True				
ANR	584470	ExpressionStatement		31:34:937:937	584443	12	True				
ANR	584471	Statement	dest	32:8:948:951	584443	13	True				
ANR	584472	Statement	[	32:12:952:952	584443	14	True				
ANR	584473	Statement	100	32:13:953:955	584443	15	True				
ANR	584474	Statement	-	32:16:956:956	584443	16	True				
ANR	584475	Statement	1	32:17:957:957	584443	17	True				
ANR	584476	Statement	]	32:18:958:958	584443	18	True				
ANR	584477	Statement	=	32:20:960:960	584443	19	True				
ANR	584478	Statement	L	32:22:962:962	584443	20	True				
ANR	584479	ExpressionStatement	'\\0'	32:23:963:967	584443	21	True				
ANR	584480	PrimaryExpression	'\\0'		584443	0					
ANR	584481	ExpressionStatement	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"	35:8:1145:1193	584443	22	True				
ANR	584482	CallExpression	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"		584443	0					
ANR	584483	Callee	memcpy		584443	0					
ANR	584484	Identifier	memcpy		584443	0					
ANR	584485	ArgumentList	dest		584443	1					
ANR	584486	Argument	dest		584443	0					
ANR	584487	Identifier	dest		584443	0					
ANR	584488	Argument	data		584443	1					
ANR	584489	Identifier	data		584443	0					
ANR	584490	Argument	wcslen ( dest ) * sizeof ( wchar_t )		584443	2					
ANR	584491	MultiplicativeExpression	wcslen ( dest ) * sizeof ( wchar_t )		584443	0		*			
ANR	584492	CallExpression	wcslen ( dest )		584443	0					
ANR	584493	Callee	wcslen		584443	0					
ANR	584494	Identifier	wcslen		584443	0					
ANR	584495	ArgumentList	dest		584443	1					
ANR	584496	Argument	dest		584443	0					
ANR	584497	Identifier	dest		584443	0					
ANR	584498	SizeofExpression	sizeof ( wchar_t )		584443	1					
ANR	584499	Sizeof	sizeof		584443	0					
ANR	584500	SizeofOperand	wchar_t		584443	1					
ANR	584501	Statement	dest	36:8:1204:1207	584443	23	True				
ANR	584502	Statement	[	36:12:1208:1208	584443	24	True				
ANR	584503	Statement	100	36:13:1209:1211	584443	25	True				
ANR	584504	Statement	-	36:16:1212:1212	584443	26	True				
ANR	584505	Statement	1	36:17:1213:1213	584443	27	True				
ANR	584506	Statement	]	36:18:1214:1214	584443	28	True				
ANR	584507	Statement	=	36:20:1216:1216	584443	29	True				
ANR	584508	Statement	L	36:22:1218:1218	584443	30	True				
ANR	584509	ExpressionStatement	'\\0'	36:23:1219:1223	584443	31	True				
ANR	584510	PrimaryExpression	'\\0'		584443	0					
ANR	584511	ExpressionStatement	printWLine ( dest )	37:8:1234:1250	584443	32	True				
ANR	584512	CallExpression	printWLine ( dest )		584443	0					
ANR	584513	Callee	printWLine		584443	0					
ANR	584514	Identifier	printWLine		584443	0					
ANR	584515	ArgumentList	dest		584443	1					
ANR	584516	Argument	dest		584443	0					
ANR	584517	Identifier	dest		584443	0					
ANR	584518	ExpressionStatement	free ( data )	38:8:1261:1271	584443	33	True				
ANR	584519	CallExpression	free ( data )		584443	0					
ANR	584520	Callee	free		584443	0					
ANR	584521	Identifier	free		584443	0					
ANR	584522	ArgumentList	data		584443	1					
ANR	584523	Argument	data		584443	0					
ANR	584524	Identifier	data		584443	0					
ANR	584525	ReturnType	static void		584443	1					
ANR	584526	Identifier	badSink		584443	2					
ANR	584527	ParameterList			584443	3					
ANR	584528	CFGEntryNode	ENTRY		584443		True				
ANR	584529	CFGExitNode	EXIT		584443		True				
ANR	584530	Symbol	data		584443						
ANR	584531	Symbol	wcslen		584443						
ANR	584532	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_badData		584443						
ANR	584533	Symbol	dest		584443						
ANR	584534	Function	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_bad	42:0:1286:1695							
ANR	584535	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_45_bad ()		584534	0					
ANR	584536	CompoundStatement		43:0:1347:1695	584534	0					
ANR	584537	IdentifierDeclStatement	wchar_t * data ;	44:4:1354:1368	584534	0	True				
ANR	584538	IdentifierDecl	* data		584534	0					
ANR	584539	IdentifierDeclType	wchar_t *		584534	0					
ANR	584540	Identifier	data		584534	1					
ANR	584541	ExpressionStatement	data = NULL	45:4:1375:1386	584534	1	True				
ANR	584542	AssignmentExpression	data = NULL		584534	0		=			
ANR	584543	Identifier	data		584534	0					
ANR	584544	Identifier	NULL		584534	1					
ANR	584545	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	47:4:1429:1473	584534	2	True				
ANR	584546	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		584534	0		=			
ANR	584547	Identifier	data		584534	0					
ANR	584548	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		584534	1					
ANR	584549	CastTarget	wchar_t *		584534	0					
ANR	584550	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		584534	1					
ANR	584551	Callee	malloc		584534	0					
ANR	584552	Identifier	malloc		584534	0					
ANR	584553	ArgumentList	50 * sizeof ( wchar_t )		584534	1					
ANR	584554	Argument	50 * sizeof ( wchar_t )		584534	0					
ANR	584555	MultiplicativeExpression	50 * sizeof ( wchar_t )		584534	0		*			
ANR	584556	PrimaryExpression	50		584534	0					
ANR	584557	SizeofExpression	sizeof ( wchar_t )		584534	1					
ANR	584558	Sizeof	sizeof		584534	0					
ANR	584559	SizeofOperand	wchar_t		584534	1					
ANR	584560	IfStatement	if ( data == NULL )		584534	3					
ANR	584561	Condition	data == NULL	48:8:1484:1495	584534	0	True				
ANR	584562	EqualityExpression	data == NULL		584534	0		==			
ANR	584563	Identifier	data		584534	0					
ANR	584564	Identifier	NULL		584534	1					
ANR	584565	CompoundStatement		6:22:150:150	584534	1					
ANR	584566	ExpressionStatement	exit ( - 1 )	48:23:1499:1507	584534	0	True				
ANR	584567	CallExpression	exit ( - 1 )		584534	0					
ANR	584568	Callee	exit		584534	0					
ANR	584569	Identifier	exit		584534	0					
ANR	584570	ArgumentList	- 1		584534	1					
ANR	584571	Argument	- 1		584534	0					
ANR	584572	UnaryOperationExpression	- 1		584534	0					
ANR	584573	UnaryOperator	-		584534	0					
ANR	584574	PrimaryExpression	1		584534	1					
ANR	584575	Statement	wmemset	49:4:1514:1520	584534	4	True				
ANR	584576	Statement	(	49:11:1521:1521	584534	5	True				
ANR	584577	Statement	data	49:12:1522:1525	584534	6	True				
ANR	584578	Statement	","	49:16:1526:1526	584534	7	True				
ANR	584579	Statement	L	49:18:1528:1528	584534	8	True				
ANR	584580	Statement	'A'	49:19:1529:1531	584534	9	True				
ANR	584581	Statement	","	49:22:1532:1532	584534	10	True				
ANR	584582	Statement	50	49:24:1534:1535	584534	11	True				
ANR	584583	Statement	-	49:26:1536:1536	584534	12	True				
ANR	584584	Statement	1	49:27:1537:1537	584534	13	True				
ANR	584585	Statement	)	49:28:1538:1538	584534	14	True				
ANR	584586	ExpressionStatement		49:29:1539:1539	584534	15	True				
ANR	584587	Statement	data	50:4:1567:1570	584534	16	True				
ANR	584588	Statement	[	50:8:1571:1571	584534	17	True				
ANR	584589	Statement	50	50:9:1572:1573	584534	18	True				
ANR	584590	Statement	-	50:11:1574:1574	584534	19	True				
ANR	584591	Statement	1	50:12:1575:1575	584534	20	True				
