command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	594629	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/786/CWE126_Buffer_Overread__malloc_wchar_t_memmove_21.c								
ANR	594630	DeclStmt									
ANR	594631	Decl							int	int	badStatic
ANR	594632	Function	badSource	26:0:722:1060							
ANR	594633	FunctionDef	badSource (wchar_t * data)		594632	0					
ANR	594634	CompoundStatement		27:0:766:1060	594632	0					
ANR	594635	IfStatement	if ( badStatic )		594632	0					
ANR	594636	Condition	badStatic	28:7:776:784	594632	0	True				
ANR	594637	Identifier	badStatic		594632	0					
ANR	594638	CompoundStatement		3:4:25:25	594632	1					
ANR	594639	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	31:8:843:887	594632	0	True				
ANR	594640	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		594632	0		=			
ANR	594641	Identifier	data		594632	0					
ANR	594642	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		594632	1					
ANR	594643	CastTarget	wchar_t *		594632	0					
ANR	594644	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		594632	1					
ANR	594645	Callee	malloc		594632	0					
ANR	594646	Identifier	malloc		594632	0					
ANR	594647	ArgumentList	50 * sizeof ( wchar_t )		594632	1					
ANR	594648	Argument	50 * sizeof ( wchar_t )		594632	0					
ANR	594649	MultiplicativeExpression	50 * sizeof ( wchar_t )		594632	0		*			
ANR	594650	PrimaryExpression	50		594632	0					
ANR	594651	SizeofExpression	sizeof ( wchar_t )		594632	1					
ANR	594652	Sizeof	sizeof		594632	0					
ANR	594653	SizeofOperand	wchar_t		594632	1					
ANR	594654	IfStatement	if ( data == NULL )		594632	1					
ANR	594655	Condition	data == NULL	32:12:902:913	594632	0	True				
ANR	594656	EqualityExpression	data == NULL		594632	0		==			
ANR	594657	Identifier	data		594632	0					
ANR	594658	Identifier	NULL		594632	1					
ANR	594659	CompoundStatement		6:26:149:149	594632	1					
ANR	594660	ExpressionStatement	exit ( - 1 )	32:27:917:925	594632	0	True				
ANR	594661	CallExpression	exit ( - 1 )		594632	0					
ANR	594662	Callee	exit		594632	0					
ANR	594663	Identifier	exit		594632	0					
ANR	594664	ArgumentList	- 1		594632	1					
ANR	594665	Argument	- 1		594632	0					
ANR	594666	UnaryOperationExpression	- 1		594632	0					
ANR	594667	UnaryOperator	-		594632	0					
ANR	594668	PrimaryExpression	1		594632	1					
ANR	594669	Statement	wmemset	33:8:936:942	594632	2	True				
ANR	594670	Statement	(	33:15:943:943	594632	3	True				
ANR	594671	Statement	data	33:16:944:947	594632	4	True				
ANR	594672	Statement	","	33:20:948:948	594632	5	True				
ANR	594673	Statement	L	33:22:950:950	594632	6	True				
ANR	594674	Statement	'A'	33:23:951:953	594632	7	True				
ANR	594675	Statement	","	33:26:954:954	594632	8	True				
ANR	594676	Statement	50	33:28:956:957	594632	9	True				
ANR	594677	Statement	-	33:30:958:958	594632	10	True				
ANR	594678	Statement	1	33:31:959:959	594632	11	True				
ANR	594679	Statement	)	33:32:960:960	594632	12	True				
ANR	594680	ExpressionStatement		33:33:961:961	594632	13	True				
ANR	594681	Statement	data	34:8:993:996	594632	14	True				
ANR	594682	Statement	[	34:12:997:997	594632	15	True				
ANR	594683	Statement	50	34:13:998:999	594632	16	True				
ANR	594684	Statement	-	34:15:1000:1000	594632	17	True				
ANR	594685	Statement	1	34:16:1001:1001	594632	18	True				
ANR	594686	Statement	]	34:17:1002:1002	594632	19	True				
ANR	594687	Statement	=	34:19:1004:1004	594632	20	True				
ANR	594688	Statement	L	34:21:1006:1006	594632	21	True				
ANR	594689	ExpressionStatement	'\\0'	34:22:1007:1011	594632	22	True				
ANR	594690	PrimaryExpression	'\\0'		594632	0					
ANR	594691	ReturnStatement	return data ;	36:4:1046:1057	594632	1	True				
ANR	594692	Identifier	data		594632	0					
ANR	594693	ReturnType	static wchar_t *		594632	1					
ANR	594694	Identifier	badSource		594632	2					
ANR	594695	ParameterList	wchar_t * data		594632	3					
