command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	595700	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/787/CWE126_Buffer_Overread__malloc_wchar_t_memmove_22b.c								
ANR	595701	DeclStmt									
ANR	595702	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badGlobal
ANR	595703	Function	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badSource	26:0:778:1209							
ANR	595704	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badSource (wchar_t * data)		595703	0					
ANR	595705	CompoundStatement		27:0:865:1209	595703	0					
ANR	595706	IfStatement	if ( CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badGlobal )		595703	0					
ANR	595707	Condition	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badGlobal	28:7:875:933	595703	0	True				
ANR	595708	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badGlobal		595703	0					
ANR	595709	CompoundStatement		3:4:75:75	595703	1					
ANR	595710	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	31:8:992:1036	595703	0	True				
ANR	595711	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		595703	0		=			
ANR	595712	Identifier	data		595703	0					
ANR	595713	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		595703	1					
ANR	595714	CastTarget	wchar_t *		595703	0					
ANR	595715	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		595703	1					
ANR	595716	Callee	malloc		595703	0					
ANR	595717	Identifier	malloc		595703	0					
ANR	595718	ArgumentList	50 * sizeof ( wchar_t )		595703	1					
ANR	595719	Argument	50 * sizeof ( wchar_t )		595703	0					
ANR	595720	MultiplicativeExpression	50 * sizeof ( wchar_t )		595703	0		*			
ANR	595721	PrimaryExpression	50		595703	0					
ANR	595722	SizeofExpression	sizeof ( wchar_t )		595703	1					
ANR	595723	Sizeof	sizeof		595703	0					
ANR	595724	SizeofOperand	wchar_t		595703	1					
ANR	595725	IfStatement	if ( data == NULL )		595703	1					
ANR	595726	Condition	data == NULL	32:12:1051:1062	595703	0	True				
ANR	595727	EqualityExpression	data == NULL		595703	0		==			
ANR	595728	Identifier	data		595703	0					
ANR	595729	Identifier	NULL		595703	1					
ANR	595730	CompoundStatement		6:26:199:199	595703	1					
ANR	595731	ExpressionStatement	exit ( - 1 )	32:27:1066:1074	595703	0	True				
ANR	595732	CallExpression	exit ( - 1 )		595703	0					
ANR	595733	Callee	exit		595703	0					
ANR	595734	Identifier	exit		595703	0					
ANR	595735	ArgumentList	- 1		595703	1					
ANR	595736	Argument	- 1		595703	0					
ANR	595737	UnaryOperationExpression	- 1		595703	0					
ANR	595738	UnaryOperator	-		595703	0					
ANR	595739	PrimaryExpression	1		595703	1					
ANR	595740	Statement	wmemset	33:8:1085:1091	595703	2	True				
ANR	595741	Statement	(	33:15:1092:1092	595703	3	True				
ANR	595742	Statement	data	33:16:1093:1096	595703	4	True				
ANR	595743	Statement	","	33:20:1097:1097	595703	5	True				
ANR	595744	Statement	L	33:22:1099:1099	595703	6	True				
ANR	595745	Statement	'A'	33:23:1100:1102	595703	7	True				
ANR	595746	Statement	","	33:26:1103:1103	595703	8	True				
ANR	595747	Statement	50	33:28:1105:1106	595703	9	True				
ANR	595748	Statement	-	33:30:1107:1107	595703	10	True				
ANR	595749	Statement	1	33:31:1108:1108	595703	11	True				
ANR	595750	Statement	)	33:32:1109:1109	595703	12	True				
ANR	595751	ExpressionStatement		33:33:1110:1110	595703	13	True				
ANR	595752	Statement	data	34:8:1142:1145	595703	14	True				
ANR	595753	Statement	[	34:12:1146:1146	595703	15	True				
ANR	595754	Statement	50	34:13:1147:1148	595703	16	True				
ANR	595755	Statement	-	34:15:1149:1149	595703	17	True				
ANR	595756	Statement	1	34:16:1150:1150	595703	18	True				
ANR	595757	Statement	]	34:17:1151:1151	595703	19	True				
ANR	595758	Statement	=	34:19:1153:1153	595703	20	True				
ANR	595759	Statement	L	34:21:1155:1155	595703	21	True				
ANR	595760	ExpressionStatement	'\\0'	34:22:1156:1160	595703	22	True				
ANR	595761	PrimaryExpression	'\\0'		595703	0					
ANR	595762	ReturnStatement	return data ;	36:4:1195:1206	595703	1	True				
ANR	595763	Identifier	data		595703	0					
ANR	595764	ReturnType	wchar_t *		595703	1					
ANR	595765	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badSource		595703	2					
ANR	595766	ParameterList	wchar_t * data		595703	3					
ANR	595767	Parameter	wchar_t * data	26:70:848:861	595703	0	True				
ANR	595768	ParameterType	wchar_t *		595703	0					
ANR	595769	Identifier	data		595703	1					
ANR	595770	CFGEntryNode	ENTRY		595703		True				
ANR	595771	CFGExitNode	EXIT		595703		True				
ANR	595772	Symbol	malloc		595703						
ANR	595773	Symbol	NULL		595703						
ANR	595774	Symbol	data		595703						
ANR	595775	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_badGlobal		595703						
ANR	595776	DeclStmt									
ANR	595777	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Global
ANR	595778	DeclStmt									
ANR	595779	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B2Global
ANR	595780	Function	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Source	48:0:1609:2196							
ANR	595781	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Source (wchar_t * data)		595780	0					
ANR	595782	CompoundStatement		49:0:1701:2196	595780	0					
ANR	595783	IfStatement	if ( CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Global )		595780	0					
ANR	595784	Condition	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Global	50:7:1711:1774	595780	0	True				
ANR	595785	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memmove_22_goodG2B1Global		595780	0					
ANR	595786	CompoundStatement		3:4:80:80	595780	1					
ANR	595787	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	53:8:1869:1902	595780	0	True				
ANR	595788	CallExpression	"printLine ( ""Benign, fixed string"" )"		595780	0					
ANR	595789	Callee	printLine		595780	0					
ANR	595790	Identifier	printLine		595780	0					
ANR	595791	ArgumentList	"""Benign, fixed string"""		595780	1					
ANR	595792	Argument	"""Benign, fixed string"""		595780	0					
ANR	595793	PrimaryExpression	"""Benign, fixed string"""		595780	0					
ANR	595794	ElseStatement	else		595780	0					
ANR	595795	CompoundStatement		8:4:224:224	595780	0					
ANR	595796	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	58:8:1976:2021	595780	0	True				
ANR	595797	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		595780	0		=			
ANR	595798	Identifier	data		595780	0					
ANR	595799	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		595780	1					
ANR	595800	CastTarget	wchar_t *		595780	0					
ANR	595801	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		595780	1					
ANR	595802	Callee	malloc		595780	0					
ANR	595803	Identifier	malloc		595780	0					
ANR	595804	ArgumentList	100 * sizeof ( wchar_t )		595780	1					
ANR	595805	Argument	100 * sizeof ( wchar_t )		595780	0					
ANR	595806	MultiplicativeExpression	100 * sizeof ( wchar_t )		595780	0		*			
ANR	595807	PrimaryExpression	100		595780	0					
ANR	595808	SizeofExpression	sizeof ( wchar_t )		595780	1					
ANR	595809	Sizeof	sizeof		595780	0					
ANR	595810	SizeofOperand	wchar_t		595780	1					
ANR	595811	IfStatement	if ( data == NULL )		595780	1					
ANR	595812	Condition	data == NULL	59:12:2036:2047	595780	0	True				
ANR	595813	EqualityExpression	data == NULL		595780	0		==			
ANR	595814	Identifier	data		595780	0					
ANR	595815	Identifier	NULL		595780	1					
ANR	595816	CompoundStatement		11:26:348:348	595780	1					
ANR	595817	ExpressionStatement	exit ( - 1 )	59:27:2051:2059	595780	0	True				
ANR	595818	CallExpression	exit ( - 1 )		595780	0					
