command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	598960	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/797/CWE126_Buffer_Overread__malloc_wchar_t_memmove_61a.c								
ANR	598961	DeclStmt									
ANR	598962	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource
ANR	598963	Function	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61_bad	26:0:708:1307							
ANR	598964	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61_bad ()		598963	0					
ANR	598965	CompoundStatement		27:0:770:1307	598963	0					
ANR	598966	IdentifierDeclStatement	wchar_t * data ;	28:4:777:791	598963	0	True				
ANR	598967	IdentifierDecl	* data		598963	0					
ANR	598968	IdentifierDeclType	wchar_t *		598963	0					
ANR	598969	Identifier	data		598963	1					
ANR	598970	ExpressionStatement	data = NULL	29:4:798:809	598963	1	True				
ANR	598971	AssignmentExpression	data = NULL		598963	0		=			
ANR	598972	Identifier	data		598963	0					
ANR	598973	Identifier	NULL		598963	1					
ANR	598974	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource ( data )	30:4:816:889	598963	2	True				
ANR	598975	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource ( data )		598963	0		=			
ANR	598976	Identifier	data		598963	0					
ANR	598977	CallExpression	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource ( data )		598963	1					
ANR	598978	Callee	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource		598963	0					
ANR	598979	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memmove_61b_badSource		598963	0					
ANR	598980	ArgumentList	data		598963	1					
ANR	598981	Argument	data		598963	0					
ANR	598982	Identifier	data		598963	0					
ANR	598983	CompoundStatement		6:8:136:153	598963	3					
ANR	598984	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	32:8:907:924	598963	0	True				
ANR	598985	IdentifierDecl	dest [ 100 ]		598963	0					
ANR	598986	IdentifierDeclType	wchar_t [ 100 ]		598963	0					
ANR	598987	Identifier	dest		598963	1					
ANR	598988	PrimaryExpression	100		598963	2					
ANR	598989	Statement	wmemset	33:8:935:941	598963	1	True				
ANR	598990	Statement	(	33:15:942:942	598963	2	True				
ANR	598991	Statement	dest	33:16:943:946	598963	3	True				
ANR	598992	Statement	","	33:20:947:947	598963	4	True				
ANR	598993	Statement	L	33:22:949:949	598963	5	True				
ANR	598994	Statement	'C'	33:23:950:952	598963	6	True				
ANR	598995	Statement	","	33:26:953:953	598963	7	True				
ANR	598996	Statement	100	33:28:955:957	598963	8	True				
ANR	598997	Statement	-	33:31:958:958	598963	9	True				
ANR	598998	Statement	1	33:32:959:959	598963	10	True				
ANR	598999	Statement	)	33:33:960:960	598963	11	True				
ANR	599000	ExpressionStatement		33:34:961:961	598963	12	True				
ANR	599001	Statement	dest	34:8:972:975	598963	13	True				
ANR	599002	Statement	[	34:12:976:976	598963	14	True				
ANR	599003	Statement	100	34:13:977:979	598963	15	True				
ANR	599004	Statement	-	34:16:980:980	598963	16	True				
ANR	599005	Statement	1	34:17:981:981	598963	17	True				
ANR	599006	Statement	]	34:18:982:982	598963	18	True				
ANR	599007	Statement	=	34:20:984:984	598963	19	True				
ANR	599008	Statement	L	34:22:986:986	598963	20	True				
ANR	599009	ExpressionStatement	'\\0'	34:23:987:991	598963	21	True				
ANR	599010	PrimaryExpression	'\\0'		598963	0					
ANR	599011	ExpressionStatement	"memmove ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"	37:8:1170:1219	598963	22	True				
ANR	599012	CallExpression	"memmove ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"		598963	0					
ANR	599013	Callee	memmove		598963	0					
ANR	599014	Identifier	memmove		598963	0					
ANR	599015	ArgumentList	dest		598963	1					
ANR	599016	Argument	dest		598963	0					
ANR	599017	Identifier	dest		598963	0					
ANR	599018	Argument	data		598963	1					
ANR	599019	Identifier	data		598963	0					
ANR	599020	Argument	wcslen ( dest ) * sizeof ( wchar_t )		598963	2					
ANR	599021	MultiplicativeExpression	wcslen ( dest ) * sizeof ( wchar_t )		598963	0		*			
