command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	599392	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/801/CWE127_Buffer_Underread__malloc_char_cpy_01.c								
ANR	599393	Function	CWE127_Buffer_Underread__malloc_char_cpy_01_bad	23:0:567:1421							
ANR	599394	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_01_bad ()		599393	0					
ANR	599395	CompoundStatement		24:0:623:1421	599393	0					
ANR	599396	IdentifierDeclStatement	char * data ;	25:4:630:641	599393	0	True				
ANR	599397	IdentifierDecl	* data		599393	0					
ANR	599398	IdentifierDeclType	char *		599393	0					
ANR	599399	Identifier	data		599393	1					
ANR	599400	ExpressionStatement	data = NULL	26:4:648:659	599393	1	True				
ANR	599401	AssignmentExpression	data = NULL		599393	0		=			
ANR	599402	Identifier	data		599393	0					
ANR	599403	Identifier	NULL		599393	1					
ANR	599404	CompoundStatement		5:8:53:105	599393	2					
ANR	599405	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	28:8:677:729	599393	0	True				
ANR	599406	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		599393	0					
ANR	599407	IdentifierDeclType	char *		599393	0					
ANR	599408	Identifier	dataBuffer		599393	1					
ANR	599409	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		599393	2		=			
ANR	599410	Identifier	dataBuffer		599393	0					
ANR	599411	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		599393	1					
ANR	599412	CastTarget	char *		599393	0					
ANR	599413	CallExpression	malloc ( 100 * sizeof ( char ) )		599393	1					
ANR	599414	Callee	malloc		599393	0					
ANR	599415	Identifier	malloc		599393	0					
ANR	599416	ArgumentList	100 * sizeof ( char )		599393	1					
ANR	599417	Argument	100 * sizeof ( char )		599393	0					
ANR	599418	MultiplicativeExpression	100 * sizeof ( char )		599393	0		*			
ANR	599419	PrimaryExpression	100		599393	0					
ANR	599420	SizeofExpression	sizeof ( char )		599393	1					
ANR	599421	Sizeof	sizeof		599393	0					
ANR	599422	SizeofOperand	char		599393	1					
ANR	599423	IfStatement	if ( dataBuffer == NULL )		599393	1					
ANR	599424	Condition	dataBuffer == NULL	29:12:744:761	599393	0	True				
ANR	599425	EqualityExpression	dataBuffer == NULL		599393	0		==			
ANR	599426	Identifier	dataBuffer		599393	0					
ANR	599427	Identifier	NULL		599393	1					
