command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	609042	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/820/CWE127_Buffer_Underread__malloc_char_cpy_22b.c								
ANR	609043	DeclStmt									
ANR	609044	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_char_cpy_22_badGlobal
ANR	609045	Function	CWE127_Buffer_Underread__malloc_char_cpy_22_badSource	26:0:828:1338							
ANR	609046	FunctionDef	CWE127_Buffer_Underread__malloc_char_cpy_22_badSource (char * data)		609045	0					
ANR	609047	CompoundStatement		27:0:903:1338	609045	0					
ANR	609048	IfStatement	if ( CWE127_Buffer_Underread__malloc_char_cpy_22_badGlobal )		609045	0					
ANR	609049	Condition	CWE127_Buffer_Underread__malloc_char_cpy_22_badGlobal	28:7:913:965	609045	0	True				
ANR	609050	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_22_badGlobal		609045	0					
ANR	609051	CompoundStatement		3:4:69:69	609045	1					
ANR	609052	CompoundStatement		5:12:95:147	609045	0					
ANR	609053	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:12:999:1051	609045	0	True				
ANR	609054	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		609045	0					
ANR	609055	IdentifierDeclType	char *		609045	0					
ANR	609056	Identifier	dataBuffer		609045	1					
ANR	609057	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		609045	2		=			
ANR	609058	Identifier	dataBuffer		609045	0					
ANR	609059	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		609045	1					
ANR	609060	CastTarget	char *		609045	0					
ANR	609061	CallExpression	malloc ( 100 * sizeof ( char ) )		609045	1					
ANR	609062	Callee	malloc		609045	0					
ANR	609063	Identifier	malloc		609045	0					
ANR	609064	ArgumentList	100 * sizeof ( char )		609045	1					
ANR	609065	Argument	100 * sizeof ( char )		609045	0					
ANR	609066	MultiplicativeExpression	100 * sizeof ( char )		609045	0		*			
ANR	609067	PrimaryExpression	100		609045	0					
ANR	609068	SizeofExpression	sizeof ( char )		609045	1					
ANR	609069	Sizeof	sizeof		609045	0					
ANR	609070	SizeofOperand	char		609045	1					
ANR	609071	IfStatement	if ( dataBuffer == NULL )		609045	1					
ANR	609072	Condition	dataBuffer == NULL	32:16:1070:1087	609045	0	True				
ANR	609073	EqualityExpression	dataBuffer == NULL		609045	0		==			
ANR	609074	Identifier	dataBuffer		609045	0					
ANR	609075	Identifier	NULL		609045	1					
ANR	609076	CompoundStatement		6:36:186:186	609045	1					
ANR	609077	ExpressionStatement	exit ( - 1 )	32:37:1091:1099	609045	0	True				
ANR	609078	CallExpression	exit ( - 1 )		609045	0					
ANR	609079	Callee	exit		609045	0					
ANR	609080	Identifier	exit		609045	0					
ANR	609081	ArgumentList	- 1		609045	1					
ANR	609082	Argument	- 1		609045	0					
ANR	609083	UnaryOperationExpression	- 1		609045	0					
ANR	609084	UnaryOperator	-		609045	0					
ANR	609085	PrimaryExpression	1		609045	1					
ANR	609086	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	33:12:1114:1144	609045	2	True				
ANR	609087	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		609045	0					
ANR	609088	Callee	memset		609045	0					
ANR	609089	Identifier	memset		609045	0					
ANR	609090	ArgumentList	dataBuffer		609045	1					
ANR	609091	Argument	dataBuffer		609045	0					
ANR	609092	Identifier	dataBuffer		609045	0					
ANR	609093	Argument	'A'		609045	1					
ANR	609094	PrimaryExpression	'A'		609045	0					
ANR	609095	Argument	100 - 1		609045	2					
ANR	609096	AdditiveExpression	100 - 1		609045	0		-			
ANR	609097	PrimaryExpression	100		609045	0					
ANR	609098	PrimaryExpression	1		609045	1					
ANR	609099	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	34:12:1159:1183	609045	3	True				
ANR	609100	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		609045	0		=			
ANR	609101	ArrayIndexing	dataBuffer [ 100 - 1 ]		609045	0					
ANR	609102	Identifier	dataBuffer		609045	0					
ANR	609103	AdditiveExpression	100 - 1		609045	1		-			
ANR	609104	PrimaryExpression	100		609045	0					
ANR	609105	PrimaryExpression	1		609045	1					
ANR	609106	PrimaryExpression	'\\0'		609045	1					
ANR	609107	ExpressionStatement	data = dataBuffer - 8	36:12:1278:1299	609045	4	True				
ANR	609108	AssignmentExpression	data = dataBuffer - 8		609045	0		=			
ANR	609109	Identifier	data		609045	0					
ANR	609110	AdditiveExpression	dataBuffer - 8		609045	1		-			
ANR	609111	Identifier	dataBuffer		609045	0					
ANR	609112	PrimaryExpression	8		609045	1					
ANR	609113	ReturnStatement	return data ;	39:4:1324:1335	609045	1	True				
ANR	609114	Identifier	data		609045	0					
ANR	609115	ReturnType	char *		609045	1					
ANR	609116	Identifier	CWE127_Buffer_Underread__malloc_char_cpy_22_badSource		609045	2					
ANR	609117	ParameterList	char * data		609045	3					
ANR	609118	Parameter	char * data	26:61:889:899	609045	0	True				
ANR	609119	ParameterType	char *		609045	0					
ANR	609120	Identifier	data		609045	1					
