start	end	type	var
612403	612404	IS_AST_PARENT	
612403	612405	IS_AST_PARENT	
612406	612407	IS_AST_PARENT	
612408	612409	IS_AST_PARENT	
612411	612412	IS_AST_PARENT	
612410	612411	IS_AST_PARENT	
612415	612416	IS_AST_PARENT	
612417	612418	IS_AST_PARENT	
612417	612419	IS_AST_PARENT	
612415	612417	IS_AST_PARENT	
612414	612415	IS_AST_PARENT	
612413	612414	IS_AST_PARENT	
612410	612413	IS_AST_PARENT	
612408	612410	IS_AST_PARENT	
612406	612408	IS_AST_PARENT	
612403	612406	IS_AST_PARENT	
612402	612403	IS_AST_PARENT	
612401	612402	IS_AST_PARENT	
612422	612423	IS_AST_PARENT	
612422	612424	IS_AST_PARENT	
612421	612422	IS_AST_PARENT	
612420	612421	IS_AST_PARENT	
612428	612429	IS_AST_PARENT	
612427	612428	IS_AST_PARENT	
612432	612433	IS_AST_PARENT	
612432	612434	IS_AST_PARENT	
612431	612432	IS_AST_PARENT	
612430	612431	IS_AST_PARENT	
612427	612430	IS_AST_PARENT	
612426	612427	IS_AST_PARENT	
612425	612426	IS_AST_PARENT	
612420	612425	IS_AST_PARENT	
612401	612420	IS_AST_PARENT	
612437	612438	IS_AST_PARENT	
612436	612437	IS_AST_PARENT	
612440	612441	IS_AST_PARENT	
612439	612440	IS_AST_PARENT	
612442	612443	IS_AST_PARENT	
612439	612442	IS_AST_PARENT	
612445	612446	IS_AST_PARENT	
612445	612447	IS_AST_PARENT	
612444	612445	IS_AST_PARENT	
612439	612444	IS_AST_PARENT	
612436	612439	IS_AST_PARENT	
612435	612436	IS_AST_PARENT	
612401	612435	IS_AST_PARENT	
612450	612451	IS_AST_PARENT	
612452	612453	IS_AST_PARENT	
612452	612454	IS_AST_PARENT	
612450	612452	IS_AST_PARENT	
612449	612450	IS_AST_PARENT	
612449	612455	IS_AST_PARENT	
612448	612449	IS_AST_PARENT	
612401	612448	IS_AST_PARENT	
612457	612458	IS_AST_PARENT	
612459	612460	IS_AST_PARENT	
612459	612461	IS_AST_PARENT	
612457	612459	IS_AST_PARENT	
612456	612457	IS_AST_PARENT	
612401	612456	IS_AST_PARENT	
612400	612401	IS_AST_PARENT	
