command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	620441	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/848/CWE127_Buffer_Underread__malloc_char_loop_15.c								
ANR	620442	Function	CWE127_Buffer_Underread__malloc_char_loop_15_bad	23:0:584:1784							
ANR	620443	FunctionDef	CWE127_Buffer_Underread__malloc_char_loop_15_bad ()		620442	0					
ANR	620444	CompoundStatement		24:0:641:1784	620442	0					
ANR	620445	IdentifierDeclStatement	char * data ;	25:4:648:659	620442	0	True				
ANR	620446	IdentifierDecl	* data		620442	0					
ANR	620447	IdentifierDeclType	char *		620442	0					
ANR	620448	Identifier	data		620442	1					
ANR	620449	ExpressionStatement	data = NULL	26:4:666:677	620442	1	True				
ANR	620450	AssignmentExpression	data = NULL		620442	0		=			
ANR	620451	Identifier	data		620442	0					
ANR	620452	Identifier	NULL		620442	1					
ANR	620453	SwitchStatement	switch ( 6 )		620442	2					
ANR	620454	Condition	6	27:11:691:691	620442	0	True				
ANR	620455	PrimaryExpression	6		620442	0					
ANR	620456	CompoundStatement		5:4:57:57	620442	1					
ANR	620457	Label	case 6 :	29:4:706:712	620442	0	True				
ANR	620458	CompoundStatement		8:8:88:140	620442	1					
ANR	620459	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:8:730:782	620442	0	True				
ANR	620460	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		620442	0					
ANR	620461	IdentifierDeclType	char *		620442	0					
ANR	620462	Identifier	dataBuffer		620442	1					
ANR	620463	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		620442	2		=			
ANR	620464	Identifier	dataBuffer		620442	0					
ANR	620465	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		620442	1					
ANR	620466	CastTarget	char *		620442	0					
ANR	620467	CallExpression	malloc ( 100 * sizeof ( char ) )		620442	1					
ANR	620468	Callee	malloc		620442	0					
ANR	620469	Identifier	malloc		620442	0					
ANR	620470	ArgumentList	100 * sizeof ( char )		620442	1					
ANR	620471	Argument	100 * sizeof ( char )		620442	0					
ANR	620472	MultiplicativeExpression	100 * sizeof ( char )		620442	0		*			
ANR	620473	PrimaryExpression	100		620442	0					
ANR	620474	SizeofExpression	sizeof ( char )		620442	1					
ANR	620475	Sizeof	sizeof		620442	0					
ANR	620476	SizeofOperand	char		620442	1					
ANR	620477	IfStatement	if ( dataBuffer == NULL )		620442	1					
ANR	620478	Condition	dataBuffer == NULL	32:12:797:814	620442	0	True				
ANR	620479	EqualityExpression	dataBuffer == NULL		620442	0		==			
ANR	620480	Identifier	dataBuffer		620442	0					
ANR	620481	Identifier	NULL		620442	1					
ANR	620482	CompoundStatement		9:32:175:175	620442	1					
ANR	620483	ExpressionStatement	exit ( - 1 )	32:33:818:826	620442	0	True				
ANR	620484	CallExpression	exit ( - 1 )		620442	0					
ANR	620485	Callee	exit		620442	0					
ANR	620486	Identifier	exit		620442	0					
ANR	620487	ArgumentList	- 1		620442	1					
ANR	620488	Argument	- 1		620442	0					
ANR	620489	UnaryOperationExpression	- 1		620442	0					
ANR	620490	UnaryOperator	-		620442	0					
ANR	620491	PrimaryExpression	1		620442	1					
ANR	620492	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	33:8:837:867	620442	2	True				
ANR	620493	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		620442	0					
ANR	620494	Callee	memset		620442	0					
ANR	620495	Identifier	memset		620442	0					
ANR	620496	ArgumentList	dataBuffer		620442	1					
ANR	620497	Argument	dataBuffer		620442	0					
ANR	620498	Identifier	dataBuffer		620442	0					
ANR	620499	Argument	'A'		620442	1					
ANR	620500	PrimaryExpression	'A'		620442	0					
ANR	620501	Argument	100 - 1		620442	2					
ANR	620502	AdditiveExpression	100 - 1		620442	0		-			
ANR	620503	PrimaryExpression	100		620442	0					
ANR	620504	PrimaryExpression	1		620442	1					
ANR	620505	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	34:8:878:902	620442	3	True				
ANR	620506	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		620442	0		=			
ANR	620507	ArrayIndexing	dataBuffer [ 100 - 1 ]		620442	0					
ANR	620508	Identifier	dataBuffer		620442	0					
ANR	620509	AdditiveExpression	100 - 1		620442	1		-			
ANR	620510	PrimaryExpression	100		620442	0					
ANR	620511	PrimaryExpression	1		620442	1					
ANR	620512	PrimaryExpression	'\\0'		620442	1					
ANR	620513	ExpressionStatement	data = dataBuffer - 8	36:8:989:1010	620442	4	True				
ANR	620514	AssignmentExpression	data = dataBuffer - 8		620442	0		=			
ANR	620515	Identifier	data		620442	0					
ANR	620516	AdditiveExpression	dataBuffer - 8		620442	1		-			
ANR	620517	Identifier	dataBuffer		620442	0					
ANR	620518	PrimaryExpression	8		620442	1					
ANR	620519	BreakStatement	break ;	38:4:1024:1029	620442	2	True				
ANR	620520	Label	default :	39:4:1036:1043	620442	3	True				
ANR	620521	Identifier	default		620442	0					
ANR	620522	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	41:8:1130:1163	620442	4	True				
ANR	620523	CallExpression	"printLine ( ""Benign, fixed string"" )"		620442	0					
ANR	620524	Callee	printLine		620442	0					
ANR	620525	Identifier	printLine		620442	0					
ANR	620526	ArgumentList	"""Benign, fixed string"""		620442	1					
ANR	620527	Argument	"""Benign, fixed string"""		620442	0					
ANR	620528	PrimaryExpression	"""Benign, fixed string"""		620442	0					
ANR	620529	BreakStatement	break ;	42:8:1174:1179	620442	5	True				
ANR	620530	CompoundStatement		23:8:581:595	620442	3					
ANR	620531	IdentifierDeclStatement	size_t i ;	45:8:1204:1212	620442	0	True				
ANR	620532	IdentifierDecl	i		620442	0					
ANR	620533	IdentifierDeclType	size_t		620442	0					
ANR	620534	Identifier	i		620442	1					
ANR	620535	IdentifierDeclStatement	char dest [ 100 ] ;	46:8:1223:1237	620442	1	True				
ANR	620536	IdentifierDecl	dest [ 100 ]		620442	0					
ANR	620537	IdentifierDeclType	char [ 100 ]		620442	0					
ANR	620538	Identifier	dest		620442	1					
ANR	620539	PrimaryExpression	100		620442	2					
ANR	620540	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	47:8:1248:1272	620442	2	True				
ANR	620541	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		620442	0					
ANR	620542	Callee	memset		620442	0					
ANR	620543	Identifier	memset		620442	0					
ANR	620544	ArgumentList	dest		620442	1					
ANR	620545	Argument	dest		620442	0					
ANR	620546	Identifier	dest		620442	0					
ANR	620547	Argument	'C'		620442	1					
ANR	620548	PrimaryExpression	'C'		620442	0					
ANR	620549	Argument	100 - 1		620442	2					
ANR	620550	AdditiveExpression	100 - 1		620442	0		-			
ANR	620551	PrimaryExpression	100		620442	0					
ANR	620552	PrimaryExpression	1		620442	1					
ANR	620553	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	48:8:1304:1322	620442	3	True				
ANR	620554	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		620442	0		=			
ANR	620555	ArrayIndexing	dest [ 100 - 1 ]		620442	0					
ANR	620556	Identifier	dest		620442	0					
ANR	620557	AdditiveExpression	100 - 1		620442	1		-			
ANR	620558	PrimaryExpression	100		620442	0					
ANR	620559	PrimaryExpression	1		620442	1					
ANR	620560	PrimaryExpression	'\\0'		620442	1					
ANR	620561	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		620442	4					
ANR	620562	ForInit	i = 0 ;	50:13:1460:1465	620442	0	True				
ANR	620563	AssignmentExpression	i = 0		620442	0		=			
ANR	620564	Identifier	i		620442	0					
ANR	620565	PrimaryExpression	0		620442	1					
ANR	620566	Condition	i < 100	50:20:1467:1473	620442	1	True				
ANR	620567	RelationalExpression	i < 100		620442	0		<			
ANR	620568	Identifier	i		620442	0					
ANR	620569	PrimaryExpression	100		620442	1					
ANR	620570	PostIncDecOperationExpression	i ++	50:29:1476:1478	620442	2	True				
ANR	620571	Identifier	i		620442	0					
ANR	620572	IncDec	++		620442	1					
ANR	620573	CompoundStatement		28:8:848:848	620442	3					
ANR	620574	ExpressionStatement	dest [ i ] = data [ i ]	52:12:1505:1522	620442	0	True				
ANR	620575	AssignmentExpression	dest [ i ] = data [ i ]		620442	0		=			
ANR	620576	ArrayIndexing	dest [ i ]		620442	0					
ANR	620577	Identifier	dest		620442	0					
ANR	620578	Identifier	i		620442	1					
ANR	620579	ArrayIndexing	data [ i ]		620442	1					
ANR	620580	Identifier	data		620442	0					
ANR	620581	Identifier	i		620442	1					
ANR	620582	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	55:8:1583:1601	620442	5	True				
ANR	620583	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		620442	0		=			
ANR	620584	ArrayIndexing	dest [ 100 - 1 ]		620442	0					
ANR	620585	Identifier	dest		620442	0					
ANR	620586	AdditiveExpression	100 - 1		620442	1		-			
ANR	620587	PrimaryExpression	100		620442	0					
ANR	620588	PrimaryExpression	1		620442	1					
ANR	620589	PrimaryExpression	'\\0'		620442	1					
ANR	620590	ExpressionStatement	printLine ( dest )	56:8:1612:1627	620442	6	True				
ANR	620591	CallExpression	printLine ( dest )		620442	0					
ANR	620592	Callee	printLine		620442	0					
ANR	620593	Identifier	printLine		620442	0					
ANR	620594	ArgumentList	dest		620442	1					
ANR	620595	Argument	dest		620442	0					
ANR	620596	Identifier	dest		620442	0					
ANR	620597	ReturnType	void		620442	1					
ANR	620598	Identifier	CWE127_Buffer_Underread__malloc_char_loop_15_bad		620442	2					
ANR	620599	ParameterList			620442	3					
ANR	620600	CFGEntryNode	ENTRY		620442		True				
ANR	620601	CFGExitNode	EXIT		620442		True				
ANR	620602	Symbol	malloc		620442						
ANR	620603	Symbol	NULL		620442						
ANR	620604	Symbol	* i		620442						
ANR	620605	Symbol	data		620442						
ANR	620606	Symbol	* dest		620442						
ANR	620607	Symbol	dataBuffer		620442						
ANR	620608	Symbol	i		620442						
ANR	620609	Symbol	dest		620442						
ANR	620610	Symbol	* data		620442						
ANR	620611	Symbol	* dataBuffer		620442						
ANR	620612	Function	goodG2B1	67:0:1916:3071							
ANR	620613	FunctionDef	goodG2B1 ()		620612	0					
ANR	620614	CompoundStatement		68:0:1940:3071	620612	0					
ANR	620615	IdentifierDeclStatement	char * data ;	69:4:1947:1958	620612	0	True				
ANR	620616	IdentifierDecl	* data		620612	0					
ANR	620617	IdentifierDeclType	char *		620612	0					
ANR	620618	Identifier	data		620612	1					
ANR	620619	ExpressionStatement	data = NULL	70:4:1965:1976	620612	1	True				
ANR	620620	AssignmentExpression	data = NULL		620612	0		=			
ANR	620621	Identifier	data		620612	0					
ANR	620622	Identifier	NULL		620612	1					
ANR	620623	SwitchStatement	switch ( 5 )		620612	2					
ANR	620624	Condition	5	71:11:1990:1990	620612	0	True				
ANR	620625	PrimaryExpression	5		620612	0					
ANR	620626	CompoundStatement		5:4:57:57	620612	1					
ANR	620627	Label	case 6 :	73:4:2005:2011	620612	0	True				
ANR	620628	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	75:8:2098:2131	620612	1	True				
ANR	620629	CallExpression	"printLine ( ""Benign, fixed string"" )"		620612	0					
ANR	620630	Callee	printLine		620612	0					
ANR	620631	Identifier	printLine		620612	0					
ANR	620632	ArgumentList	"""Benign, fixed string"""		620612	1					
ANR	620633	Argument	"""Benign, fixed string"""		620612	0					
ANR	620634	PrimaryExpression	"""Benign, fixed string"""		620612	0					
ANR	620635	BreakStatement	break ;	76:8:2142:2147	620612	2	True				
ANR	620636	Label	default :	77:4:2154:2161	620612	3	True				
ANR	620637	Identifier	default		620612	0					
ANR	620638	CompoundStatement		12:8:238:290	620612	4					
ANR	620639	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	79:8:2179:2231	620612	0	True				
ANR	620640	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		620612	0					
ANR	620641	IdentifierDeclType	char *		620612	0					
ANR	620642	Identifier	dataBuffer		620612	1					
ANR	620643	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		620612	2		=			
ANR	620644	Identifier	dataBuffer		620612	0					
ANR	620645	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		620612	1					
ANR	620646	CastTarget	char *		620612	0					
ANR	620647	CallExpression	malloc ( 100 * sizeof ( char ) )		620612	1					
ANR	620648	Callee	malloc		620612	0					
ANR	620649	Identifier	malloc		620612	0					
ANR	620650	ArgumentList	100 * sizeof ( char )		620612	1					
ANR	620651	Argument	100 * sizeof ( char )		620612	0					
ANR	620652	MultiplicativeExpression	100 * sizeof ( char )		620612	0		*			
ANR	620653	PrimaryExpression	100		620612	0					
ANR	620654	SizeofExpression	sizeof ( char )		620612	1					
ANR	620655	Sizeof	sizeof		620612	0					
ANR	620656	SizeofOperand	char		620612	1					
ANR	620657	IfStatement	if ( dataBuffer == NULL )		620612	1					
ANR	620658	Condition	dataBuffer == NULL	80:12:2246:2263	620612	0	True				
ANR	620659	EqualityExpression	dataBuffer == NULL		620612	0		==			
ANR	620660	Identifier	dataBuffer		620612	0					
ANR	620661	Identifier	NULL		620612	1					
ANR	620662	CompoundStatement		13:32:325:325	620612	1					
ANR	620663	ExpressionStatement	exit ( - 1 )	80:33:2267:2275	620612	0	True				
ANR	620664	CallExpression	exit ( - 1 )		620612	0					
ANR	620665	Callee	exit		620612	0					
ANR	620666	Identifier	exit		620612	0					
ANR	620667	ArgumentList	- 1		620612	1					
ANR	620668	Argument	- 1		620612	0					
ANR	620669	UnaryOperationExpression	- 1		620612	0					
ANR	620670	UnaryOperator	-		620612	0					
ANR	620671	PrimaryExpression	1		620612	1					
ANR	620672	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	81:8:2286:2316	620612	2	True				
ANR	620673	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		620612	0					
ANR	620674	Callee	memset		620612	0					
ANR	620675	Identifier	memset		620612	0					
ANR	620676	ArgumentList	dataBuffer		620612	1					
ANR	620677	Argument	dataBuffer		620612	0					
ANR	620678	Identifier	dataBuffer		620612	0					
ANR	620679	Argument	'A'		620612	1					
ANR	620680	PrimaryExpression	'A'		620612	0					
ANR	620681	Argument	100 - 1		620612	2					
ANR	620682	AdditiveExpression	100 - 1		620612	0		-			
ANR	620683	PrimaryExpression	100		620612	0					
ANR	620684	PrimaryExpression	1		620612	1					
ANR	620685	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	82:8:2327:2351	620612	3	True				
ANR	620686	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		620612	0		=			
ANR	620687	ArrayIndexing	dataBuffer [ 100 - 1 ]		620612	0					
ANR	620688	Identifier	dataBuffer		620612	0					
ANR	620689	AdditiveExpression	100 - 1		620612	1		-			
ANR	620690	PrimaryExpression	100		620612	0					
ANR	620691	PrimaryExpression	1		620612	1					
ANR	620692	PrimaryExpression	'\\0'		620612	1					
ANR	620693	ExpressionStatement	data = dataBuffer	84:8:2430:2447	620612	4	True				
ANR	620694	AssignmentExpression	data = dataBuffer		620612	0		=			
ANR	620695	Identifier	data		620612	0					
ANR	620696	Identifier	dataBuffer		620612	1					
ANR	620697	BreakStatement	break ;	86:4:2461:2466	620612	5	True				
ANR	620698	CompoundStatement		23:8:569:583	620612	3					
ANR	620699	IdentifierDeclStatement	size_t i ;	89:8:2491:2499	620612	0	True				
ANR	620700	IdentifierDecl	i		620612	0					
ANR	620701	IdentifierDeclType	size_t		620612	0					
ANR	620702	Identifier	i		620612	1					
ANR	620703	IdentifierDeclStatement	char dest [ 100 ] ;	90:8:2510:2524	620612	1	True				
ANR	620704	IdentifierDecl	dest [ 100 ]		620612	0					
ANR	620705	IdentifierDeclType	char [ 100 ]		620612	0					
ANR	620706	Identifier	dest		620612	1					
ANR	620707	PrimaryExpression	100		620612	2					
ANR	620708	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	91:8:2535:2559	620612	2	True				
ANR	620709	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		620612	0					
ANR	620710	Callee	memset		620612	0					
ANR	620711	Identifier	memset		620612	0					
ANR	620712	ArgumentList	dest		620612	1					
ANR	620713	Argument	dest		620612	0					
ANR	620714	Identifier	dest		620612	0					
ANR	620715	Argument	'C'		620612	1					
ANR	620716	PrimaryExpression	'C'		620612	0					
ANR	620717	Argument	100 - 1		620612	2					
ANR	620718	AdditiveExpression	100 - 1		620612	0		-			
ANR	620719	PrimaryExpression	100		620612	0					
ANR	620720	PrimaryExpression	1		620612	1					
ANR	620721	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	92:8:2591:2609	620612	3	True				
ANR	620722	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		620612	0		=			
ANR	620723	ArrayIndexing	dest [ 100 - 1 ]		620612	0					
ANR	620724	Identifier	dest		620612	0					
ANR	620725	AdditiveExpression	100 - 1		620612	1		-			
ANR	620726	PrimaryExpression	100		620612	0					
ANR	620727	PrimaryExpression	1		620612	1					
ANR	620728	PrimaryExpression	'\\0'		620612	1					
ANR	620729	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		620612	4					
ANR	620730	ForInit	i = 0 ;	94:13:2747:2752	620612	0	True				
ANR	620731	AssignmentExpression	i = 0		620612	0		=			
ANR	620732	Identifier	i		620612	0					
ANR	620733	PrimaryExpression	0		620612	1					
ANR	620734	Condition	i < 100	94:20:2754:2760	620612	1	True				
ANR	620735	RelationalExpression	i < 100		620612	0		<			
ANR	620736	Identifier	i		620612	0					
ANR	620737	PrimaryExpression	100		620612	1					
ANR	620738	PostIncDecOperationExpression	i ++	94:29:2763:2765	620612	2	True				
ANR	620739	Identifier	i		620612	0					
ANR	620740	IncDec	++		620612	1					
ANR	620741	CompoundStatement		28:8:836:836	620612	3					
ANR	620742	ExpressionStatement	dest [ i ] = data [ i ]	96:12:2792:2809	620612	0	True				
ANR	620743	AssignmentExpression	dest [ i ] = data [ i ]		620612	0		=			
ANR	620744	ArrayIndexing	dest [ i ]		620612	0					
ANR	620745	Identifier	dest		620612	0					
ANR	620746	Identifier	i		620612	1					
ANR	620747	ArrayIndexing	data [ i ]		620612	1					
ANR	620748	Identifier	data		620612	0					
ANR	620749	Identifier	i		620612	1					
ANR	620750	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	99:8:2870:2888	620612	5	True				
ANR	620751	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		620612	0		=			
ANR	620752	ArrayIndexing	dest [ 100 - 1 ]		620612	0					
ANR	620753	Identifier	dest		620612	0					
ANR	620754	AdditiveExpression	100 - 1		620612	1		-			
ANR	620755	PrimaryExpression	100		620612	0					
ANR	620756	PrimaryExpression	1		620612	1					
ANR	620757	PrimaryExpression	'\\0'		620612	1					
ANR	620758	ExpressionStatement	printLine ( dest )	100:8:2899:2914	620612	6	True				
ANR	620759	CallExpression	printLine ( dest )		620612	0					
ANR	620760	Callee	printLine		620612	0					
ANR	620761	Identifier	printLine		620612	0					
ANR	620762	ArgumentList	dest		620612	1					
ANR	620763	Argument	dest		620612	0					
ANR	620764	Identifier	dest		620612	0					
ANR	620765	ReturnType	static void		620612	1					
ANR	620766	Identifier	goodG2B1		620612	2					
ANR	620767	ParameterList			620612	3					
ANR	620768	CFGEntryNode	ENTRY		620612		True				
ANR	620769	CFGExitNode	EXIT		620612		True				
ANR	620770	Symbol	malloc		620612						
ANR	620771	Symbol	NULL		620612						
ANR	620772	Symbol	* i		620612						
ANR	620773	Symbol	data		620612						
ANR	620774	Symbol	* dest		620612						
ANR	620775	Symbol	dataBuffer		620612						
ANR	620776	Symbol	i		620612						
ANR	620777	Symbol	dest		620612						
ANR	620778	Symbol	* data		620612						
ANR	620779	Symbol	* dataBuffer		620612						
ANR	620780	Function	goodG2B2	107:0:3161:4316							
ANR	620781	FunctionDef	goodG2B2 ()		620780	0					
ANR	620782	CompoundStatement		108:0:3185:4316	620780	0					
ANR	620783	IdentifierDeclStatement	char * data ;	109:4:3192:3203	620780	0	True				
ANR	620784	IdentifierDecl	* data		620780	0					
ANR	620785	IdentifierDeclType	char *		620780	0					
ANR	620786	Identifier	data		620780	1					
ANR	620787	ExpressionStatement	data = NULL	110:4:3210:3221	620780	1	True				
