command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	623359	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/853/CWE127_Buffer_Underread__malloc_char_loop_22b.c								
ANR	623360	DeclStmt									
ANR	623361	Decl							extern int	extern int	CWE127_Buffer_Underread__malloc_char_loop_22_badGlobal
ANR	623362	Function	CWE127_Buffer_Underread__malloc_char_loop_22_badSource	26:0:831:1343							
ANR	623363	FunctionDef	CWE127_Buffer_Underread__malloc_char_loop_22_badSource (char * data)		623362	0					
ANR	623364	CompoundStatement		27:0:907:1343	623362	0					
ANR	623365	IfStatement	if ( CWE127_Buffer_Underread__malloc_char_loop_22_badGlobal )		623362	0					
ANR	623366	Condition	CWE127_Buffer_Underread__malloc_char_loop_22_badGlobal	28:7:917:970	623362	0	True				
ANR	623367	Identifier	CWE127_Buffer_Underread__malloc_char_loop_22_badGlobal		623362	0					
ANR	623368	CompoundStatement		3:4:70:70	623362	1					
ANR	623369	CompoundStatement		5:12:96:148	623362	0					
ANR	623370	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:12:1004:1056	623362	0	True				
ANR	623371	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		623362	0					
ANR	623372	IdentifierDeclType	char *		623362	0					
ANR	623373	Identifier	dataBuffer		623362	1					
ANR	623374	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		623362	2		=			
ANR	623375	Identifier	dataBuffer		623362	0					
ANR	623376	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		623362	1					
ANR	623377	CastTarget	char *		623362	0					
ANR	623378	CallExpression	malloc ( 100 * sizeof ( char ) )		623362	1					
ANR	623379	Callee	malloc		623362	0					
ANR	623380	Identifier	malloc		623362	0					
ANR	623381	ArgumentList	100 * sizeof ( char )		623362	1					
ANR	623382	Argument	100 * sizeof ( char )		623362	0					
ANR	623383	MultiplicativeExpression	100 * sizeof ( char )		623362	0		*			
ANR	623384	PrimaryExpression	100		623362	0					
ANR	623385	SizeofExpression	sizeof ( char )		623362	1					
