command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	630266	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-500-c/testcases/000/234/873/CWE127_Buffer_Underread__malloc_char_memcpy_07.c								
ANR	630267	DeclStmt									
ANR	630268	Decl							int	int	staticFive
ANR	630269	Function	CWE127_Buffer_Underread__malloc_char_memcpy_07_bad	29:0:843:1849							
ANR	630270	FunctionDef	CWE127_Buffer_Underread__malloc_char_memcpy_07_bad ()		630269	0					
ANR	630271	CompoundStatement		30:0:902:1849	630269	0					
ANR	630272	IdentifierDeclStatement	char * data ;	31:4:909:920	630269	0	True				
ANR	630273	IdentifierDecl	* data		630269	0					
ANR	630274	IdentifierDeclType	char *		630269	0					
ANR	630275	Identifier	data		630269	1					
ANR	630276	ExpressionStatement	data = NULL	32:4:927:938	630269	1	True				
ANR	630277	AssignmentExpression	data = NULL		630269	0		=			
ANR	630278	Identifier	data		630269	0					
ANR	630279	Identifier	NULL		630269	1					
ANR	630280	IfStatement	if ( staticFive == 5 )		630269	2					
ANR	630281	Condition	staticFive == 5	33:7:948:960	630269	0	True				
ANR	630282	EqualityExpression	staticFive == 5		630269	0		==			
ANR	630283	Identifier	staticFive		630269	0					
ANR	630284	PrimaryExpression	5		630269	1					
ANR	630285	CompoundStatement		5:4:65:65	630269	1					
ANR	630286	CompoundStatement		7:12:91:143	630269	0					
ANR	630287	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	36:12:994:1046	630269	0	True				
ANR	630288	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		630269	0					
ANR	630289	IdentifierDeclType	char *		630269	0					
ANR	630290	Identifier	dataBuffer		630269	1					
ANR	630291	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		630269	2		=			
ANR	630292	Identifier	dataBuffer		630269	0					
ANR	630293	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		630269	1					
ANR	630294	CastTarget	char *		630269	0					
ANR	630295	CallExpression	malloc ( 100 * sizeof ( char ) )		630269	1					
ANR	630296	Callee	malloc		630269	0					
ANR	630297	Identifier	malloc		630269	0					
ANR	630298	ArgumentList	100 * sizeof ( char )		630269	1					
ANR	630299	Argument	100 * sizeof ( char )		630269	0					
ANR	630300	MultiplicativeExpression	100 * sizeof ( char )		630269	0		*			
ANR	630301	PrimaryExpression	100		630269	0					
ANR	630302	SizeofExpression	sizeof ( char )		630269	1					
ANR	630303	Sizeof	sizeof		630269	0					
ANR	630304	SizeofOperand	char		630269	1					
ANR	630305	IfStatement	if ( dataBuffer == NULL )		630269	1					
ANR	630306	Condition	dataBuffer == NULL	37:16:1065:1082	630269	0	True				
ANR	630307	EqualityExpression	dataBuffer == NULL		630269	0		==			
ANR	630308	Identifier	dataBuffer		630269	0					
ANR	630309	Identifier	NULL		630269	1					
ANR	630310	CompoundStatement		8:36:182:182	630269	1					
ANR	630311	ExpressionStatement	exit ( - 1 )	37:37:1086:1094	630269	0	True				
ANR	630312	CallExpression	exit ( - 1 )		630269	0					
ANR	630313	Callee	exit		630269	0					
ANR	630314	Identifier	exit		630269	0					
ANR	630315	ArgumentList	- 1		630269	1					
ANR	630316	Argument	- 1		630269	0					
ANR	630317	UnaryOperationExpression	- 1		630269	0					
ANR	630318	UnaryOperator	-		630269	0					
ANR	630319	PrimaryExpression	1		630269	1					
ANR	630320	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	38:12:1109:1139	630269	2	True				
ANR	630321	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		630269	0					
ANR	630322	Callee	memset		630269	0					
ANR	630323	Identifier	memset		630269	0					
ANR	630324	ArgumentList	dataBuffer		630269	1					
ANR	630325	Argument	dataBuffer		630269	0					
ANR	630326	Identifier	dataBuffer		630269	0					
ANR	630327	Argument	'A'		630269	1					
ANR	630328	PrimaryExpression	'A'		630269	0					
ANR	630329	Argument	100 - 1		630269	2					
ANR	630330	AdditiveExpression	100 - 1		630269	0		-			
ANR	630331	PrimaryExpression	100		630269	0					
ANR	630332	PrimaryExpression	1		630269	1					
ANR	630333	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	39:12:1154:1178	630269	3	True				
ANR	630334	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		630269	0		=			
ANR	630335	ArrayIndexing	dataBuffer [ 100 - 1 ]		630269	0					
ANR	630336	Identifier	dataBuffer		630269	0					
ANR	630337	AdditiveExpression	100 - 1		630269	1		-			
ANR	630338	PrimaryExpression	100		630269	0					
ANR	630339	PrimaryExpression	1		630269	1					
ANR	630340	PrimaryExpression	'\\0'		630269	1					
ANR	630341	ExpressionStatement	data = dataBuffer - 8	41:12:1273:1294	630269	4	True				
ANR	630342	AssignmentExpression	data = dataBuffer - 8		630269	0		=			
ANR	630343	Identifier	data		630269	0					
ANR	630344	AdditiveExpression	dataBuffer - 8		630269	1		-			
ANR	630345	Identifier	dataBuffer		630269	0					
ANR	630346	PrimaryExpression	8		630269	1					
ANR	630347	CompoundStatement		16:8:427:441	630269	3					
ANR	630348	IdentifierDeclStatement	char dest [ 100 ] ;	45:8:1330:1344	630269	0	True				
ANR	630349	IdentifierDecl	dest [ 100 ]		630269	0					
ANR	630350	IdentifierDeclType	char [ 100 ]		630269	0					
ANR	630351	Identifier	dest		630269	1					
ANR	630352	PrimaryExpression	100		630269	2					
ANR	630353	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	46:8:1355:1379	630269	1	True				
ANR	630354	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		630269	0					
ANR	630355	Callee	memset		630269	0					
ANR	630356	Identifier	memset		630269	0					
ANR	630357	ArgumentList	dest		630269	1					
ANR	630358	Argument	dest		630269	0					
ANR	630359	Identifier	dest		630269	0					
ANR	630360	Argument	'C'		630269	1					
ANR	630361	PrimaryExpression	'C'		630269	0					
ANR	630362	Argument	100 - 1		630269	2					
ANR	630363	AdditiveExpression	100 - 1		630269	0		-			
ANR	630364	PrimaryExpression	100		630269	0					
ANR	630365	PrimaryExpression	1		630269	1					
ANR	630366	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	47:8:1411:1429	630269	2	True				
ANR	630367	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		630269	0		=			
ANR	630368	ArrayIndexing	dest [ 100 - 1 ]		630269	0					
ANR	630369	Identifier	dest		630269	0					
ANR	630370	AdditiveExpression	100 - 1		630269	1		-			
