command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	639982	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/655/CWE126_Buffer_Overread__malloc_char_memcpy_22a.c								
ANR	639983	DeclStmt									
ANR	639984	Decl							int	int	CWE126_Buffer_Overread__malloc_char_memcpy_22_badGlobal
ANR	639985	DeclStmt									
ANR	639986	Decl							char	char * ( char * data )	CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource
ANR	639987	Function	CWE126_Buffer_Overread__malloc_char_memcpy_22_bad	28:0:845:1496							
ANR	639988	FunctionDef	CWE126_Buffer_Overread__malloc_char_memcpy_22_bad ()		639987	0					
ANR	639989	CompoundStatement		29:0:903:1496	639987	0					
ANR	639990	IdentifierDeclStatement	char * data ;	30:4:910:921	639987	0	True				
ANR	639991	IdentifierDecl	* data		639987	0					
ANR	639992	IdentifierDeclType	char *		639987	0					
ANR	639993	Identifier	data		639987	1					
ANR	639994	ExpressionStatement	data = NULL	31:4:928:939	639987	1	True				
ANR	639995	AssignmentExpression	data = NULL		639987	0		=			
ANR	639996	Identifier	data		639987	0					
ANR	639997	Identifier	NULL		639987	1					
ANR	639998	ExpressionStatement	CWE126_Buffer_Overread__malloc_char_memcpy_22_badGlobal = 1	32:4:946:1005	639987	2	True				
ANR	639999	AssignmentExpression	CWE126_Buffer_Overread__malloc_char_memcpy_22_badGlobal = 1		639987	0		=			
ANR	640000	Identifier	CWE126_Buffer_Overread__malloc_char_memcpy_22_badGlobal		639987	0					
ANR	640001	PrimaryExpression	1		639987	1					
ANR	640002	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource ( data )	33:4:1023:1091	639987	3	True				
ANR	640003	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource ( data )		639987	0		=			
ANR	640004	Identifier	data		639987	0					
ANR	640005	CallExpression	CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource ( data )		639987	1					
ANR	640006	Callee	CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource		639987	0					
ANR	640007	Identifier	CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource		639987	0					
ANR	640008	ArgumentList	data		639987	1					
ANR	640009	Argument	data		639987	0					
ANR	640010	Identifier	data		639987	0					
ANR	640011	CompoundStatement		7:8:205:219	639987	4					
ANR	640012	IdentifierDeclStatement	char dest [ 100 ] ;	35:8:1109:1123	639987	0	True				
ANR	640013	IdentifierDecl	dest [ 100 ]		639987	0					
ANR	640014	IdentifierDeclType	char [ 100 ]		639987	0					
ANR	640015	Identifier	dest		639987	1					
ANR	640016	PrimaryExpression	100		639987	2					
ANR	640017	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	36:8:1134:1158	639987	1	True				
ANR	640018	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		639987	0					
ANR	640019	Callee	memset		639987	0					
ANR	640020	Identifier	memset		639987	0					
ANR	640021	ArgumentList	dest		639987	1					
ANR	640022	Argument	dest		639987	0					
ANR	640023	Identifier	dest		639987	0					
ANR	640024	Argument	'C'		639987	1					
ANR	640025	PrimaryExpression	'C'		639987	0					
ANR	640026	Argument	100 - 1		639987	2					
ANR	640027	AdditiveExpression	100 - 1		639987	0		-			
ANR	640028	PrimaryExpression	100		639987	0					
ANR	640029	PrimaryExpression	1		639987	1					
ANR	640030	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	37:8:1169:1187	639987	2	True				
ANR	640031	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		639987	0		=			
ANR	640032	ArrayIndexing	dest [ 100 - 1 ]		639987	0					
ANR	640033	Identifier	dest		639987	0					
ANR	640034	AdditiveExpression	100 - 1		639987	1		-			
ANR	640035	PrimaryExpression	100		639987	0					
ANR	640036	PrimaryExpression	1		639987	1					
ANR	640037	PrimaryExpression	'\\0'		639987	1					
ANR	640038	ExpressionStatement	"memcpy ( dest , data , strlen ( dest ) * sizeof ( char ) )"	40:8:1365:1410	639987	3	True				
ANR	640039	CallExpression	"memcpy ( dest , data , strlen ( dest ) * sizeof ( char ) )"		639987	0					
ANR	640040	Callee	memcpy		639987	0					
ANR	640041	Identifier	memcpy		639987	0					
ANR	640042	ArgumentList	dest		639987	1					
ANR	640043	Argument	dest		639987	0					
ANR	640044	Identifier	dest		639987	0					
ANR	640045	Argument	data		639987	1					
ANR	640046	Identifier	data		639987	0					
ANR	640047	Argument	strlen ( dest ) * sizeof ( char )		639987	2					
ANR	640048	MultiplicativeExpression	strlen ( dest ) * sizeof ( char )		639987	0		*			
ANR	640049	CallExpression	strlen ( dest )		639987	0					
ANR	640050	Callee	strlen		639987	0					
ANR	640051	Identifier	strlen		639987	0					
ANR	640052	ArgumentList	dest		639987	1					
ANR	640053	Argument	dest		639987	0					
ANR	640054	Identifier	dest		639987	0					
ANR	640055	SizeofExpression	sizeof ( char )		639987	1					
ANR	640056	Sizeof	sizeof		639987	0					
ANR	640057	SizeofOperand	char		639987	1					
ANR	640058	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	41:8:1421:1439	639987	4	True				
ANR	640059	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		639987	0		=			
ANR	640060	ArrayIndexing	dest [ 100 - 1 ]		639987	0					
ANR	640061	Identifier	dest		639987	0					
ANR	640062	AdditiveExpression	100 - 1		639987	1		-			
ANR	640063	PrimaryExpression	100		639987	0					
ANR	640064	PrimaryExpression	1		639987	1					
ANR	640065	PrimaryExpression	'\\0'		639987	1					
ANR	640066	ExpressionStatement	printLine ( dest )	42:8:1450:1465	639987	5	True				
ANR	640067	CallExpression	printLine ( dest )		639987	0					
ANR	640068	Callee	printLine		639987	0					
ANR	640069	Identifier	printLine		639987	0					
ANR	640070	ArgumentList	dest		639987	1					
ANR	640071	Argument	dest		639987	0					
ANR	640072	Identifier	dest		639987	0					
ANR	640073	ExpressionStatement	free ( data )	43:8:1476:1486	639987	6	True				
ANR	640074	CallExpression	free ( data )		639987	0					
ANR	640075	Callee	free		639987	0					
ANR	640076	Identifier	free		639987	0					
ANR	640077	ArgumentList	data		639987	1					
ANR	640078	Argument	data		639987	0					
ANR	640079	Identifier	data		639987	0					
ANR	640080	ReturnType	void		639987	1					
ANR	640081	Identifier	CWE126_Buffer_Overread__malloc_char_memcpy_22_bad		639987	2					
ANR	640082	ParameterList			639987	3					
ANR	640083	CFGEntryNode	ENTRY		639987		True				
ANR	640084	CFGExitNode	EXIT		639987		True				
ANR	640085	Symbol	strlen		639987						
ANR	640086	Symbol	NULL		639987						
ANR	640087	Symbol	data		639987						
ANR	640088	Symbol	* dest		639987						
ANR	640089	Symbol	CWE126_Buffer_Overread__malloc_char_memcpy_22_badSource		639987						
ANR	640090	Symbol	dest		639987						
ANR	640091	Symbol	CWE126_Buffer_Overread__malloc_char_memcpy_22_badGlobal		639987						
ANR	640092	DeclStmt									
ANR	640093	Decl							int	int	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Global
ANR	640094	DeclStmt									
ANR	640095	Decl							int	int	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B2Global
ANR	640096	DeclStmt									
ANR	640097	Decl							char	char * ( char * data )	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Source
ANR	640098	Function	goodG2B1	58:0:1967:2595							
ANR	640099	FunctionDef	goodG2B1 ()		640098	0					
ANR	640100	CompoundStatement		59:0:1991:2595	640098	0					
ANR	640101	IdentifierDeclStatement	char * data ;	60:4:1998:2009	640098	0	True				
ANR	640102	IdentifierDecl	* data		640098	0					
ANR	640103	IdentifierDeclType	char *		640098	0					
ANR	640104	Identifier	data		640098	1					
ANR	640105	ExpressionStatement	data = NULL	61:4:2016:2027	640098	1	True				
ANR	640106	AssignmentExpression	data = NULL		640098	0		=			
ANR	640107	Identifier	data		640098	0					
ANR	640108	Identifier	NULL		640098	1					
ANR	640109	ExpressionStatement	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Global = 0	62:4:2034:2098	640098	2	True				
ANR	640110	AssignmentExpression	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Global = 0		640098	0		=			
ANR	640111	Identifier	CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Global		640098	0					
ANR	640112	PrimaryExpression	0		640098	1					
ANR	640113	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Source ( data )	63:4:2117:2190	640098	3	True				
ANR	640114	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_char_memcpy_22_goodG2B1Source ( data )		640098	0		=			
