start	end	type	var
641046	641047	IS_AST_PARENT	
641046	641048	IS_AST_PARENT	
641045	641046	IS_AST_PARENT	
641044	641045	IS_AST_PARENT	
641050	641051	IS_AST_PARENT	
641050	641052	IS_AST_PARENT	
641053	641054	IS_AST_PARENT	
641055	641056	IS_AST_PARENT	
641055	641057	IS_AST_PARENT	
641053	641055	IS_AST_PARENT	
641050	641053	IS_AST_PARENT	
641049	641050	IS_AST_PARENT	
641044	641049	IS_AST_PARENT	
641059	641060	IS_AST_PARENT	
641059	641061	IS_AST_PARENT	
641062	641063	IS_AST_PARENT	
641064	641065	IS_AST_PARENT	
641064	641066	IS_AST_PARENT	
641062	641064	IS_AST_PARENT	
641059	641062	IS_AST_PARENT	
641058	641059	IS_AST_PARENT	
641044	641058	IS_AST_PARENT	
641068	641069	IS_AST_PARENT	
641068	641070	IS_AST_PARENT	
641067	641068	IS_AST_PARENT	
641044	641067	IS_AST_PARENT	
641073	641074	IS_AST_PARENT	
641073	641075	IS_AST_PARENT	
641076	641077	IS_AST_PARENT	
641078	641079	IS_AST_PARENT	
641078	641080	IS_AST_PARENT	
641076	641078	IS_AST_PARENT	
641073	641076	IS_AST_PARENT	
641072	641073	IS_AST_PARENT	
641071	641072	IS_AST_PARENT	
641082	641083	IS_AST_PARENT	
641084	641085	IS_AST_PARENT	
641087	641088	IS_AST_PARENT	
641086	641087	IS_AST_PARENT	
641091	641092	IS_AST_PARENT	
641093	641094	IS_AST_PARENT	
641093	641095	IS_AST_PARENT	
641091	641093	IS_AST_PARENT	
641090	641091	IS_AST_PARENT	
641089	641090	IS_AST_PARENT	
641086	641089	IS_AST_PARENT	
641084	641086	IS_AST_PARENT	
641082	641084	IS_AST_PARENT	
641081	641082	IS_AST_PARENT	
641071	641081	IS_AST_PARENT	
641098	641099	IS_AST_PARENT	
641098	641100	IS_AST_PARENT	
641097	641098	IS_AST_PARENT	
641096	641097	IS_AST_PARENT	
641104	641105	IS_AST_PARENT	
641103	641104	IS_AST_PARENT	
641108	641109	IS_AST_PARENT	
641108	641110	IS_AST_PARENT	
641107	641108	IS_AST_PARENT	
641106	641107	IS_AST_PARENT	
641103	641106	IS_AST_PARENT	
641102	641103	IS_AST_PARENT	
641101	641102	IS_AST_PARENT	
641096	641101	IS_AST_PARENT	
641071	641096	IS_AST_PARENT	
641113	641114	IS_AST_PARENT	
