command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	644433	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/670/CWE126_Buffer_Overread__malloc_char_memmove_02.c								
ANR	644434	Function	CWE126_Buffer_Overread__malloc_char_memmove_02_bad	23:0:529:1287							
ANR	644435	FunctionDef	CWE126_Buffer_Overread__malloc_char_memmove_02_bad ()		644434	0					
ANR	644436	CompoundStatement		24:0:588:1287	644434	0					
ANR	644437	IdentifierDeclStatement	char * data ;	25:4:595:606	644434	0	True				
ANR	644438	IdentifierDecl	* data		644434	0					
ANR	644439	IdentifierDeclType	char *		644434	0					
ANR	644440	Identifier	data		644434	1					
ANR	644441	ExpressionStatement	data = NULL	26:4:613:624	644434	1	True				
ANR	644442	AssignmentExpression	data = NULL		644434	0		=			
ANR	644443	Identifier	data		644434	0					
ANR	644444	Identifier	NULL		644434	1					
ANR	644445	IfStatement	if ( 1 )		644434	2					
ANR	644446	Condition	1	27:7:634:634	644434	0	True				
ANR	644447	PrimaryExpression	1		644434	0					
ANR	644448	CompoundStatement		5:4:53:53	644434	1					
ANR	644449	ExpressionStatement	data = ( char * ) malloc ( 50 * sizeof ( char ) )	30:8:693:731	644434	0	True				
ANR	644450	AssignmentExpression	data = ( char * ) malloc ( 50 * sizeof ( char ) )		644434	0		=			
ANR	644451	Identifier	data		644434	0					
ANR	644452	CastExpression	( char * ) malloc ( 50 * sizeof ( char ) )		644434	1					
ANR	644453	CastTarget	char *		644434	0					
ANR	644454	CallExpression	malloc ( 50 * sizeof ( char ) )		644434	1					
ANR	644455	Callee	malloc		644434	0					
ANR	644456	Identifier	malloc		644434	0					
ANR	644457	ArgumentList	50 * sizeof ( char )		644434	1					
ANR	644458	Argument	50 * sizeof ( char )		644434	0					
ANR	644459	MultiplicativeExpression	50 * sizeof ( char )		644434	0		*			
ANR	644460	PrimaryExpression	50		644434	0					
ANR	644461	SizeofExpression	sizeof ( char )		644434	1					
ANR	644462	Sizeof	sizeof		644434	0					
ANR	644463	SizeofOperand	char		644434	1					
ANR	644464	IfStatement	if ( data == NULL )		644434	1					
ANR	644465	Condition	data == NULL	31:12:746:757	644434	0	True				
ANR	644466	EqualityExpression	data == NULL		644434	0		==			
ANR	644467	Identifier	data		644434	0					
ANR	644468	Identifier	NULL		644434	1					
ANR	644469	CompoundStatement		8:26:171:171	644434	1					
ANR	644470	ExpressionStatement	exit ( - 1 )	31:27:761:769	644434	0	True				
ANR	644471	CallExpression	exit ( - 1 )		644434	0					
ANR	644472	Callee	exit		644434	0					
ANR	644473	Identifier	exit		644434	0					
ANR	644474	ArgumentList	- 1		644434	1					
ANR	644475	Argument	- 1		644434	0					
ANR	644476	UnaryOperationExpression	- 1		644434	0					
ANR	644477	UnaryOperator	-		644434	0					
ANR	644478	PrimaryExpression	1		644434	1					
ANR	644479	ExpressionStatement	"memset ( data , 'A' , 50 - 1 )"	32:8:780:803	644434	2	True				
ANR	644480	CallExpression	"memset ( data , 'A' , 50 - 1 )"		644434	0					
ANR	644481	Callee	memset		644434	0					
ANR	644482	Identifier	memset		644434	0					
ANR	644483	ArgumentList	data		644434	1					
ANR	644484	Argument	data		644434	0					
ANR	644485	Identifier	data		644434	0					
ANR	644486	Argument	'A'		644434	1					
ANR	644487	PrimaryExpression	'A'		644434	0					
ANR	644488	Argument	50 - 1		644434	2					
ANR	644489	AdditiveExpression	50 - 1		644434	0		-			
