start	end	type	var
652116	652117	IS_AST_PARENT	
652116	652118	IS_AST_PARENT	
652115	652116	IS_AST_PARENT	
652114	652115	IS_AST_PARENT	
652120	652121	IS_AST_PARENT	
652120	652122	IS_AST_PARENT	
652119	652120	IS_AST_PARENT	
652114	652119	IS_AST_PARENT	
652124	652125	IS_AST_PARENT	
652123	652124	IS_AST_PARENT	
652128	652129	IS_AST_PARENT	
652130	652131	IS_AST_PARENT	
652133	652134	IS_AST_PARENT	
652132	652133	IS_AST_PARENT	
652137	652138	IS_AST_PARENT	
652139	652140	IS_AST_PARENT	
652139	652141	IS_AST_PARENT	
652137	652139	IS_AST_PARENT	
652136	652137	IS_AST_PARENT	
652135	652136	IS_AST_PARENT	
652132	652135	IS_AST_PARENT	
652130	652132	IS_AST_PARENT	
652128	652130	IS_AST_PARENT	
652127	652128	IS_AST_PARENT	
652126	652127	IS_AST_PARENT	
652144	652145	IS_AST_PARENT	
652144	652146	IS_AST_PARENT	
652143	652144	IS_AST_PARENT	
652142	652143	IS_AST_PARENT	
652150	652151	IS_AST_PARENT	
652149	652150	IS_AST_PARENT	
652154	652155	IS_AST_PARENT	
652154	652156	IS_AST_PARENT	
652153	652154	IS_AST_PARENT	
652152	652153	IS_AST_PARENT	
652149	652152	IS_AST_PARENT	
652148	652149	IS_AST_PARENT	
652147	652148	IS_AST_PARENT	
652142	652147	IS_AST_PARENT	
652126	652142	IS_AST_PARENT	
652159	652160	IS_AST_PARENT	
652158	652159	IS_AST_PARENT	
652162	652163	IS_AST_PARENT	
652161	652162	IS_AST_PARENT	
652164	652165	IS_AST_PARENT	
652161	652164	IS_AST_PARENT	
652167	652168	IS_AST_PARENT	
652167	652169	IS_AST_PARENT	
652166	652167	IS_AST_PARENT	
652161	652166	IS_AST_PARENT	
652158	652161	IS_AST_PARENT	
652157	652158	IS_AST_PARENT	
652126	652157	IS_AST_PARENT	
652172	652173	IS_AST_PARENT	
652174	652175	IS_AST_PARENT	
652174	652176	IS_AST_PARENT	
652172	652174	IS_AST_PARENT	
652171	652172	IS_AST_PARENT	
652171	652177	IS_AST_PARENT	
652170	652171	IS_AST_PARENT	
652126	652170	IS_AST_PARENT	
652126	652178	IS_AST_PARENT	
652123	652126	IS_AST_PARENT	
652114	652123	IS_AST_PARENT	
652181	652182	IS_AST_PARENT	
652181	652183	IS_AST_PARENT	
652181	652184	IS_AST_PARENT	
