start	end	type	var
662801	662802	IS_AST_PARENT	
662801	662803	IS_AST_PARENT	
662800	662801	IS_AST_PARENT	
662799	662800	IS_AST_PARENT	
662805	662806	IS_AST_PARENT	
662805	662807	IS_AST_PARENT	
662804	662805	IS_AST_PARENT	
662799	662804	IS_AST_PARENT	
662809	662810	IS_AST_PARENT	
662808	662809	IS_AST_PARENT	
662813	662814	IS_AST_PARENT	
662815	662816	IS_AST_PARENT	
662818	662819	IS_AST_PARENT	
662817	662818	IS_AST_PARENT	
662822	662823	IS_AST_PARENT	
662824	662825	IS_AST_PARENT	
662824	662826	IS_AST_PARENT	
662822	662824	IS_AST_PARENT	
662821	662822	IS_AST_PARENT	
662820	662821	IS_AST_PARENT	
662817	662820	IS_AST_PARENT	
662815	662817	IS_AST_PARENT	
662813	662815	IS_AST_PARENT	
662812	662813	IS_AST_PARENT	
662811	662812	IS_AST_PARENT	
662829	662830	IS_AST_PARENT	
662829	662831	IS_AST_PARENT	
662828	662829	IS_AST_PARENT	
662827	662828	IS_AST_PARENT	
662835	662836	IS_AST_PARENT	
662834	662835	IS_AST_PARENT	
662839	662840	IS_AST_PARENT	
662839	662841	IS_AST_PARENT	
662838	662839	IS_AST_PARENT	
662837	662838	IS_AST_PARENT	
662834	662837	IS_AST_PARENT	
662833	662834	IS_AST_PARENT	
662832	662833	IS_AST_PARENT	
662827	662832	IS_AST_PARENT	
662811	662827	IS_AST_PARENT	
662811	662842	IS_AST_PARENT	
662811	662843	IS_AST_PARENT	
662811	662844	IS_AST_PARENT	
662811	662845	IS_AST_PARENT	
662811	662846	IS_AST_PARENT	
662811	662847	IS_AST_PARENT	
662811	662848	IS_AST_PARENT	
662811	662849	IS_AST_PARENT	
662811	662850	IS_AST_PARENT	
662811	662851	IS_AST_PARENT	
662811	662852	IS_AST_PARENT	
662811	662853	IS_AST_PARENT	
662811	662854	IS_AST_PARENT	
662811	662855	IS_AST_PARENT	
662811	662856	IS_AST_PARENT	
662811	662857	IS_AST_PARENT	
662811	662858	IS_AST_PARENT	
662811	662859	IS_AST_PARENT	
662811	662860	IS_AST_PARENT	
662811	662861	IS_AST_PARENT	
