command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	669607	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/721/CWE126_Buffer_Overread__malloc_wchar_t_loop_22b.c								
ANR	669608	DeclStmt									
ANR	669609	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badGlobal
ANR	669610	Function	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badSource	26:0:768:1193							
ANR	669611	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badSource (wchar_t * data)		669610	0					
ANR	669612	CompoundStatement		27:0:852:1193	669610	0					
ANR	669613	IfStatement	if ( CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badGlobal )		669610	0					
ANR	669614	Condition	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badGlobal	28:7:862:917	669610	0	True				
ANR	669615	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badGlobal		669610	0					
ANR	669616	CompoundStatement		3:4:72:72	669610	1					
ANR	669617	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	31:8:976:1020	669610	0	True				
ANR	669618	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		669610	0		=			
ANR	669619	Identifier	data		669610	0					
ANR	669620	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		669610	1					
ANR	669621	CastTarget	wchar_t *		669610	0					
ANR	669622	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		669610	1					
ANR	669623	Callee	malloc		669610	0					
ANR	669624	Identifier	malloc		669610	0					
ANR	669625	ArgumentList	50 * sizeof ( wchar_t )		669610	1					
ANR	669626	Argument	50 * sizeof ( wchar_t )		669610	0					
ANR	669627	MultiplicativeExpression	50 * sizeof ( wchar_t )		669610	0		*			
ANR	669628	PrimaryExpression	50		669610	0					
ANR	669629	SizeofExpression	sizeof ( wchar_t )		669610	1					
ANR	669630	Sizeof	sizeof		669610	0					
ANR	669631	SizeofOperand	wchar_t		669610	1					
ANR	669632	IfStatement	if ( data == NULL )		669610	1					
ANR	669633	Condition	data == NULL	32:12:1035:1046	669610	0	True				
ANR	669634	EqualityExpression	data == NULL		669610	0		==			
ANR	669635	Identifier	data		669610	0					
ANR	669636	Identifier	NULL		669610	1					
ANR	669637	CompoundStatement		6:26:196:196	669610	1					
ANR	669638	ExpressionStatement	exit ( - 1 )	32:27:1050:1058	669610	0	True				
ANR	669639	CallExpression	exit ( - 1 )		669610	0					
ANR	669640	Callee	exit		669610	0					
ANR	669641	Identifier	exit		669610	0					
ANR	669642	ArgumentList	- 1		669610	1					
ANR	669643	Argument	- 1		669610	0					
ANR	669644	UnaryOperationExpression	- 1		669610	0					
ANR	669645	UnaryOperator	-		669610	0					
ANR	669646	PrimaryExpression	1		669610	1					
ANR	669647	Statement	wmemset	33:8:1069:1075	669610	2	True				
ANR	669648	Statement	(	33:15:1076:1076	669610	3	True				
ANR	669649	Statement	data	33:16:1077:1080	669610	4	True				
ANR	669650	Statement	","	33:20:1081:1081	669610	5	True				
ANR	669651	Statement	L	33:22:1083:1083	669610	6	True				
ANR	669652	Statement	'A'	33:23:1084:1086	669610	7	True				
ANR	669653	Statement	","	33:26:1087:1087	669610	8	True				
ANR	669654	Statement	50	33:28:1089:1090	669610	9	True				
ANR	669655	Statement	-	33:30:1091:1091	669610	10	True				
ANR	669656	Statement	1	33:31:1092:1092	669610	11	True				
ANR	669657	Statement	)	33:32:1093:1093	669610	12	True				
ANR	669658	ExpressionStatement		33:33:1094:1094	669610	13	True				
ANR	669659	Statement	data	34:8:1126:1129	669610	14	True				
ANR	669660	Statement	[	34:12:1130:1130	669610	15	True				
ANR	669661	Statement	50	34:13:1131:1132	669610	16	True				
ANR	669662	Statement	-	34:15:1133:1133	669610	17	True				
ANR	669663	Statement	1	34:16:1134:1134	669610	18	True				
ANR	669664	Statement	]	34:17:1135:1135	669610	19	True				
ANR	669665	Statement	=	34:19:1137:1137	669610	20	True				
ANR	669666	Statement	L	34:21:1139:1139	669610	21	True				
ANR	669667	ExpressionStatement	'\\0'	34:22:1140:1144	669610	22	True				
ANR	669668	PrimaryExpression	'\\0'		669610	0					
ANR	669669	ReturnStatement	return data ;	36:4:1179:1190	669610	1	True				
ANR	669670	Identifier	data		669610	0					
ANR	669671	ReturnType	wchar_t *		669610	1					
ANR	669672	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badSource		669610	2					
ANR	669673	ParameterList	wchar_t * data		669610	3					
ANR	669674	Parameter	wchar_t * data	26:67:835:848	669610	0	True				
ANR	669675	ParameterType	wchar_t *		669610	0					
ANR	669676	Identifier	data		669610	1					
ANR	669677	CFGEntryNode	ENTRY		669610		True				
ANR	669678	CFGExitNode	EXIT		669610		True				
ANR	669679	Symbol	malloc		669610						
ANR	669680	Symbol	NULL		669610						
ANR	669681	Symbol	data		669610						
ANR	669682	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_badGlobal		669610						
ANR	669683	DeclStmt									
ANR	669684	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_goodG2B1Global
ANR	669685	DeclStmt									
ANR	669686	Decl							extern int	extern int	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_goodG2B2Global
ANR	669687	Function	CWE126_Buffer_Overread__malloc_wchar_t_loop_22_goodG2B1Source	48:0:1587:2168							
