command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	671748	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/727/CWE126_Buffer_Overread__malloc_wchar_t_loop_42.c								
ANR	671749	Function	badSource	23:0:573:858							
ANR	671750	FunctionDef	badSource (wchar_t * data)		671749	0					
ANR	671751	CompoundStatement		24:0:617:858	671749	0					
ANR	671752	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	26:4:660:704	671749	0	True				
ANR	671753	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		671749	0		=			
ANR	671754	Identifier	data		671749	0					
ANR	671755	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		671749	1					
ANR	671756	CastTarget	wchar_t *		671749	0					
ANR	671757	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		671749	1					
ANR	671758	Callee	malloc		671749	0					
ANR	671759	Identifier	malloc		671749	0					
ANR	671760	ArgumentList	50 * sizeof ( wchar_t )		671749	1					
ANR	671761	Argument	50 * sizeof ( wchar_t )		671749	0					
ANR	671762	MultiplicativeExpression	50 * sizeof ( wchar_t )		671749	0		*			
ANR	671763	PrimaryExpression	50		671749	0					
ANR	671764	SizeofExpression	sizeof ( wchar_t )		671749	1					
ANR	671765	Sizeof	sizeof		671749	0					
ANR	671766	SizeofOperand	wchar_t		671749	1					
ANR	671767	IfStatement	if ( data == NULL )		671749	1					
ANR	671768	Condition	data == NULL	27:8:715:726	671749	0	True				
ANR	671769	EqualityExpression	data == NULL		671749	0		==			
ANR	671770	Identifier	data		671749	0					
ANR	671771	Identifier	NULL		671749	1					
ANR	671772	CompoundStatement		4:22:111:111	671749	1					
ANR	671773	ExpressionStatement	exit ( - 1 )	27:23:730:738	671749	0	True				
ANR	671774	CallExpression	exit ( - 1 )		671749	0					
ANR	671775	Callee	exit		671749	0					
ANR	671776	Identifier	exit		671749	0					
ANR	671777	ArgumentList	- 1		671749	1					
ANR	671778	Argument	- 1		671749	0					
ANR	671779	UnaryOperationExpression	- 1		671749	0					
ANR	671780	UnaryOperator	-		671749	0					
ANR	671781	PrimaryExpression	1		671749	1					
ANR	671782	Statement	wmemset	28:4:745:751	671749	2	True				
ANR	671783	Statement	(	28:11:752:752	671749	3	True				
ANR	671784	Statement	data	28:12:753:756	671749	4	True				
ANR	671785	Statement	","	28:16:757:757	671749	5	True				
ANR	671786	Statement	L	28:18:759:759	671749	6	True				
ANR	671787	Statement	'A'	28:19:760:762	671749	7	True				
ANR	671788	Statement	","	28:22:763:763	671749	8	True				
ANR	671789	Statement	50	28:24:765:766	671749	9	True				
ANR	671790	Statement	-	28:26:767:767	671749	10	True				
ANR	671791	Statement	1	28:27:768:768	671749	11	True				
ANR	671792	Statement	)	28:28:769:769	671749	12	True				
ANR	671793	ExpressionStatement		28:29:770:770	671749	13	True				
ANR	671794	Statement	data	29:4:798:801	671749	14	True				
ANR	671795	Statement	[	29:8:802:802	671749	15	True				
ANR	671796	Statement	50	29:9:803:804	671749	16	True				
ANR	671797	Statement	-	29:11:805:805	671749	17	True				
ANR	671798	Statement	1	29:12:806:806	671749	18	True				
ANR	671799	Statement	]	29:13:807:807	671749	19	True				
ANR	671800	Statement	=	29:15:809:809	671749	20	True				
ANR	671801	Statement	L	29:17:811:811	671749	21	True				
ANR	671802	ExpressionStatement	'\\0'	29:18:812:816	671749	22	True				
ANR	671803	PrimaryExpression	'\\0'		671749	0					
ANR	671804	ReturnStatement	return data ;	30:4:844:855	671749	23	True				
ANR	671805	Identifier	data		671749	0					
ANR	671806	ReturnType	static wchar_t *		671749	1					
ANR	671807	Identifier	badSource		671749	2					
ANR	671808	ParameterList	wchar_t * data		671749	3					
ANR	671809	Parameter	wchar_t * data	23:27:600:613	671749	0	True				
ANR	671810	ParameterType	wchar_t *		671749	0					
ANR	671811	Identifier	data		671749	1					
ANR	671812	CFGEntryNode	ENTRY		671749		True				
ANR	671813	CFGExitNode	EXIT		671749		True				
ANR	671814	Symbol	malloc		671749						
ANR	671815	Symbol	NULL		671749						
ANR	671816	Symbol	data		671749						
ANR	671817	Function	CWE126_Buffer_Overread__malloc_wchar_t_loop_42_bad	33:0:863:1485							
ANR	671818	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_loop_42_bad ()		671817	0					
ANR	671819	CompoundStatement		34:0:922:1485	671817	0					
ANR	671820	IdentifierDeclStatement	wchar_t * data ;	35:4:929:943	671817	0	True				
ANR	671821	IdentifierDecl	* data		671817	0					
ANR	671822	IdentifierDeclType	wchar_t *		671817	0					
ANR	671823	Identifier	data		671817	1					
ANR	671824	ExpressionStatement	data = NULL	36:4:950:961	671817	1	True				
ANR	671825	AssignmentExpression	data = NULL		671817	0		=			
ANR	671826	Identifier	data		671817	0					
ANR	671827	Identifier	NULL		671817	1					
ANR	671828	ExpressionStatement	data = badSource ( data )	37:4:968:990	671817	2	True				
ANR	671829	AssignmentExpression	data = badSource ( data )		671817	0		=			
ANR	671830	Identifier	data		671817	0					
ANR	671831	CallExpression	badSource ( data )		671817	1					
ANR	671832	Callee	badSource		671817	0					
ANR	671833	Identifier	badSource		671817	0					
ANR	671834	ArgumentList	data		671817	1					
ANR	671835	Argument	data		671817	0					
ANR	671836	Identifier	data		671817	0					
ANR	671837	CompoundStatement		7:8:113:130	671817	3					
ANR	671838	IdentifierDeclStatement	"size_t i , destLen ;"	39:8:1008:1025	671817	0	True				
ANR	671839	IdentifierDecl	i		671817	0					
ANR	671840	IdentifierDeclType	size_t		671817	0					
ANR	671841	Identifier	i		671817	1					
ANR	671842	IdentifierDecl	destLen		671817	1					
ANR	671843	IdentifierDeclType	size_t		671817	0					
ANR	671844	Identifier	destLen		671817	1					
ANR	671845	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	40:8:1036:1053	671817	1	True				
ANR	671846	IdentifierDecl	dest [ 100 ]		671817	0					
ANR	671847	IdentifierDeclType	wchar_t [ 100 ]		671817	0					
ANR	671848	Identifier	dest		671817	1					
ANR	671849	PrimaryExpression	100		671817	2					
ANR	671850	Statement	wmemset	41:8:1064:1070	671817	2	True				
ANR	671851	Statement	(	41:15:1071:1071	671817	3	True				
ANR	671852	Statement	dest	41:16:1072:1075	671817	4	True				
ANR	671853	Statement	","	41:20:1076:1076	671817	5	True				
ANR	671854	Statement	L	41:22:1078:1078	671817	6	True				
ANR	671855	Statement	'C'	41:23:1079:1081	671817	7	True				
ANR	671856	Statement	","	41:26:1082:1082	671817	8	True				
ANR	671857	Statement	100	41:28:1084:1086	671817	9	True				
ANR	671858	Statement	-	41:31:1087:1087	671817	10	True				
ANR	671859	Statement	1	41:32:1088:1088	671817	11	True				
ANR	671860	Statement	)	41:33:1089:1089	671817	12	True				
ANR	671861	ExpressionStatement		41:34:1090:1090	671817	13	True				
ANR	671862	Statement	dest	42:8:1101:1104	671817	14	True				
ANR	671863	Statement	[	42:12:1105:1105	671817	15	True				
ANR	671864	Statement	100	42:13:1106:1108	671817	16	True				
ANR	671865	Statement	-	42:16:1109:1109	671817	17	True				
ANR	671866	Statement	1	42:17:1110:1110	671817	18	True				
ANR	671867	Statement	]	42:18:1111:1111	671817	19	True				
ANR	671868	Statement	=	42:20:1113:1113	671817	20	True				
ANR	671869	Statement	L	42:22:1115:1115	671817	21	True				
ANR	671870	ExpressionStatement	'\\0'	42:23:1116:1120	671817	22	True				
ANR	671871	PrimaryExpression	'\\0'		671817	0					
ANR	671872	ExpressionStatement	destLen = wcslen ( dest )	43:8:1152:1174	671817	23	True				
ANR	671873	AssignmentExpression	destLen = wcslen ( dest )		671817	0		=			
ANR	671874	Identifier	destLen		671817	0					
ANR	671875	CallExpression	wcslen ( dest )		671817	1					
ANR	671876	Callee	wcslen		671817	0					
ANR	671877	Identifier	wcslen		671817	0					
ANR	671878	ArgumentList	dest		671817	1					
ANR	671879	Argument	dest		671817	0					
ANR	671880	Identifier	dest		671817	0					
ANR	671881	ForStatement	for ( i = 0 ; i < destLen ; i ++ )		671817	24					
ANR	671882	ForInit	i = 0 ;	46:13:1320:1325	671817	0	True				
ANR	671883	AssignmentExpression	i = 0		671817	0		=			
ANR	671884	Identifier	i		671817	0					
ANR	671885	PrimaryExpression	0		671817	1					
