command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	673175	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/731/CWE126_Buffer_Overread__malloc_wchar_t_loop_61a.c								
ANR	673176	DeclStmt									
ANR	673177	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource
ANR	673178	Function	CWE126_Buffer_Overread__malloc_wchar_t_loop_61_bad	26:0:698:1368							
ANR	673179	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_loop_61_bad ()		673178	0					
ANR	673180	CompoundStatement		27:0:757:1368	673178	0					
ANR	673181	IdentifierDeclStatement	wchar_t * data ;	28:4:764:778	673178	0	True				
ANR	673182	IdentifierDecl	* data		673178	0					
ANR	673183	IdentifierDeclType	wchar_t *		673178	0					
ANR	673184	Identifier	data		673178	1					
ANR	673185	ExpressionStatement	data = NULL	29:4:785:796	673178	1	True				
ANR	673186	AssignmentExpression	data = NULL		673178	0		=			
ANR	673187	Identifier	data		673178	0					
ANR	673188	Identifier	NULL		673178	1					
ANR	673189	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource ( data )	30:4:803:873	673178	2	True				
ANR	673190	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource ( data )		673178	0		=			
ANR	673191	Identifier	data		673178	0					
ANR	673192	CallExpression	CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource ( data )		673178	1					
ANR	673193	Callee	CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource		673178	0					
ANR	673194	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_loop_61b_badSource		673178	0					
ANR	673195	ArgumentList	data		673178	1					
ANR	673196	Argument	data		673178	0					
ANR	673197	Identifier	data		673178	0					
ANR	673198	CompoundStatement		7:8:161:178	673178	3					
ANR	673199	IdentifierDeclStatement	"size_t i , destLen ;"	32:8:891:908	673178	0	True				
ANR	673200	IdentifierDecl	i		673178	0					
ANR	673201	IdentifierDeclType	size_t		673178	0					
ANR	673202	Identifier	i		673178	1					
ANR	673203	IdentifierDecl	destLen		673178	1					
ANR	673204	IdentifierDeclType	size_t		673178	0					
ANR	673205	Identifier	destLen		673178	1					
ANR	673206	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	33:8:919:936	673178	1	True				
ANR	673207	IdentifierDecl	dest [ 100 ]		673178	0					
ANR	673208	IdentifierDeclType	wchar_t [ 100 ]		673178	0					
ANR	673209	Identifier	dest		673178	1					
ANR	673210	PrimaryExpression	100		673178	2					
ANR	673211	Statement	wmemset	34:8:947:953	673178	2	True				
ANR	673212	Statement	(	34:15:954:954	673178	3	True				
ANR	673213	Statement	dest	34:16:955:958	673178	4	True				
ANR	673214	Statement	","	34:20:959:959	673178	5	True				
ANR	673215	Statement	L	34:22:961:961	673178	6	True				
ANR	673216	Statement	'C'	34:23:962:964	673178	7	True				
ANR	673217	Statement	","	34:26:965:965	673178	8	True				
ANR	673218	Statement	100	34:28:967:969	673178	9	True				
ANR	673219	Statement	-	34:31:970:970	673178	10	True				
ANR	673220	Statement	1	34:32:971:971	673178	11	True				
ANR	673221	Statement	)	34:33:972:972	673178	12	True				
ANR	673222	ExpressionStatement		34:34:973:973	673178	13	True				
ANR	673223	Statement	dest	35:8:984:987	673178	14	True				
ANR	673224	Statement	[	35:12:988:988	673178	15	True				
ANR	673225	Statement	100	35:13:989:991	673178	16	True				
ANR	673226	Statement	-	35:16:992:992	673178	17	True				
ANR	673227	Statement	1	35:17:993:993	673178	18	True				
ANR	673228	Statement	]	35:18:994:994	673178	19	True				
ANR	673229	Statement	=	35:20:996:996	673178	20	True				
ANR	673230	Statement	L	35:22:998:998	673178	21	True				
ANR	673231	ExpressionStatement	'\\0'	35:23:999:1003	673178	22	True				
ANR	673232	PrimaryExpression	'\\0'		673178	0					
ANR	673233	ExpressionStatement	destLen = wcslen ( dest )	36:8:1035:1057	673178	23	True				
ANR	673234	AssignmentExpression	destLen = wcslen ( dest )		673178	0		=			
ANR	673235	Identifier	destLen		673178	0					
ANR	673236	CallExpression	wcslen ( dest )		673178	1					
ANR	673237	Callee	wcslen		673178	0					
ANR	673238	Identifier	wcslen		673178	0					
ANR	673239	ArgumentList	dest		673178	1					
ANR	673240	Argument	dest		673178	0					
ANR	673241	Identifier	dest		673178	0					
ANR	673242	ForStatement	for ( i = 0 ; i < destLen ; i ++ )		673178	24					
ANR	673243	ForInit	i = 0 ;	39:13:1203:1208	673178	0	True				
ANR	673244	AssignmentExpression	i = 0		673178	0		=			
ANR	673245	Identifier	i		673178	0					
ANR	673246	PrimaryExpression	0		673178	1					
ANR	673247	Condition	i < destLen	39:20:1210:1220	673178	1	True				
ANR	673248	RelationalExpression	i < destLen		673178	0		<			
ANR	673249	Identifier	i		673178	0					
ANR	673250	Identifier	destLen		673178	1					
ANR	673251	PostIncDecOperationExpression	i ++	39:33:1223:1225	673178	2	True				
ANR	673252	Identifier	i		673178	0					
ANR	673253	IncDec	++		673178	1					
ANR	673254	CompoundStatement		14:8:479:479	673178	3					
ANR	673255	ExpressionStatement	dest [ i ] = data [ i ]	41:12:1252:1269	673178	0	True				
ANR	673256	AssignmentExpression	dest [ i ] = data [ i ]		673178	0		=			
ANR	673257	ArrayIndexing	dest [ i ]		673178	0					
ANR	673258	Identifier	dest		673178	0					
ANR	673259	Identifier	i		673178	1					
ANR	673260	ArrayIndexing	data [ i ]		673178	1					
ANR	673261	Identifier	data		673178	0					
ANR	673262	Identifier	i		673178	1					
ANR	673263	Statement	dest	43:8:1291:1294	673178	25	True				
ANR	673264	Statement	[	43:12:1295:1295	673178	26	True				
ANR	673265	Statement	100	43:13:1296:1298	673178	27	True				
ANR	673266	Statement	-	43:16:1299:1299	673178	28	True				
ANR	673267	Statement	1	43:17:1300:1300	673178	29	True				
ANR	673268	Statement	]	43:18:1301:1301	673178	30	True				
ANR	673269	Statement	=	43:20:1303:1303	673178	31	True				
ANR	673270	Statement	L	43:22:1305:1305	673178	32	True				
ANR	673271	ExpressionStatement	'\\0'	43:23:1306:1310	673178	33	True				
ANR	673272	PrimaryExpression	'\\0'		673178	0					
ANR	673273	ExpressionStatement	printWLine ( dest )	44:8:1321:1337	673178	34	True				
ANR	673274	CallExpression	printWLine ( dest )		673178	0					
ANR	673275	Callee	printWLine		673178	0					
ANR	673276	Identifier	printWLine		673178	0					
ANR	673277	ArgumentList	dest		673178	1					
ANR	673278	Argument	dest		673178	0					
ANR	673279	Identifier	dest		673178	0					
ANR	673280	ExpressionStatement	free ( data )	45:8:1348:1358	673178	35	True				
ANR	673281	CallExpression	free ( data )		673178	0					
ANR	673282	Callee	free		673178	0					
ANR	673283	Identifier	free		673178	0					
ANR	673284	ArgumentList	data		673178	1					
ANR	673285	Argument	data		673178	0					
ANR	673286	Identifier	data		673178	0					
ANR	673287	ReturnType	void		673178	1					
ANR	673288	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_loop_61_bad		673178	2					
ANR	673289	ParameterList			673178	3					
ANR	673290	CFGEntryNode	ENTRY		673178		True				
ANR	673291	CFGExitNode	EXIT		673178		True				
ANR	673292	Symbol	destLen		673178						
ANR	673293	Symbol	NULL		673178						
ANR	673294	Symbol	* i		673178						
ANR	673295	Symbol	data		673178						
ANR	673296	Symbol	* dest		673178						
ANR	673297	Symbol	wcslen		673178						
