command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	683622	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-600-c/testcases/000/234/754/CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22a.c								
ANR	683623	DeclStmt									
ANR	683624	Decl							int	int	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badGlobal
ANR	683625	DeclStmt									
ANR	683626	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource
ANR	683627	Function	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_bad	28:0:860:1534							
ANR	683628	FunctionDef	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_bad ()		683627	0					
ANR	683629	CompoundStatement		29:0:921:1534	683627	0					
ANR	683630	IdentifierDeclStatement	wchar_t * data ;	30:4:928:942	683627	0	True				
ANR	683631	IdentifierDecl	* data		683627	0					
ANR	683632	IdentifierDeclType	wchar_t *		683627	0					
ANR	683633	Identifier	data		683627	1					
ANR	683634	ExpressionStatement	data = NULL	31:4:949:960	683627	1	True				
ANR	683635	AssignmentExpression	data = NULL		683627	0		=			
ANR	683636	Identifier	data		683627	0					
ANR	683637	Identifier	NULL		683627	1					
ANR	683638	ExpressionStatement	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badGlobal = 1	32:4:967:1029	683627	2	True				
ANR	683639	AssignmentExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badGlobal = 1		683627	0		=			
ANR	683640	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badGlobal		683627	0					
ANR	683641	PrimaryExpression	1		683627	1					
ANR	683642	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource ( data )	33:4:1047:1118	683627	3	True				
ANR	683643	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource ( data )		683627	0		=			
ANR	683644	Identifier	data		683627	0					
ANR	683645	CallExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource ( data )		683627	1					
ANR	683646	Callee	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource		683627	0					
ANR	683647	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource		683627	0					
ANR	683648	ArgumentList	data		683627	1					
ANR	683649	Argument	data		683627	0					
ANR	683650	Identifier	data		683627	0					
ANR	683651	CompoundStatement		7:8:214:231	683627	4					
ANR	683652	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	35:8:1136:1153	683627	0	True				
ANR	683653	IdentifierDecl	dest [ 100 ]		683627	0					
ANR	683654	IdentifierDeclType	wchar_t [ 100 ]		683627	0					
ANR	683655	Identifier	dest		683627	1					
ANR	683656	PrimaryExpression	100		683627	2					
ANR	683657	Statement	wmemset	36:8:1164:1170	683627	1	True				
ANR	683658	Statement	(	36:15:1171:1171	683627	2	True				
ANR	683659	Statement	dest	36:16:1172:1175	683627	3	True				
ANR	683660	Statement	","	36:20:1176:1176	683627	4	True				
ANR	683661	Statement	L	36:22:1178:1178	683627	5	True				
ANR	683662	Statement	'C'	36:23:1179:1181	683627	6	True				
ANR	683663	Statement	","	36:26:1182:1182	683627	7	True				
ANR	683664	Statement	100	36:28:1184:1186	683627	8	True				
ANR	683665	Statement	-	36:31:1187:1187	683627	9	True				
ANR	683666	Statement	1	36:32:1188:1188	683627	10	True				
ANR	683667	Statement	)	36:33:1189:1189	683627	11	True				
ANR	683668	ExpressionStatement		36:34:1190:1190	683627	12	True				
ANR	683669	Statement	dest	37:8:1201:1204	683627	13	True				
ANR	683670	Statement	[	37:12:1205:1205	683627	14	True				
ANR	683671	Statement	100	37:13:1206:1208	683627	15	True				
ANR	683672	Statement	-	37:16:1209:1209	683627	16	True				
ANR	683673	Statement	1	37:17:1210:1210	683627	17	True				
ANR	683674	Statement	]	37:18:1211:1211	683627	18	True				
ANR	683675	Statement	=	37:20:1213:1213	683627	19	True				
ANR	683676	Statement	L	37:22:1215:1215	683627	20	True				
ANR	683677	ExpressionStatement	'\\0'	37:23:1216:1220	683627	21	True				
ANR	683678	PrimaryExpression	'\\0'		683627	0					
ANR	683679	ExpressionStatement	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"	40:8:1398:1446	683627	22	True				
ANR	683680	CallExpression	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"		683627	0					
ANR	683681	Callee	memcpy		683627	0					
ANR	683682	Identifier	memcpy		683627	0					
ANR	683683	ArgumentList	dest		683627	1					
ANR	683684	Argument	dest		683627	0					
ANR	683685	Identifier	dest		683627	0					
ANR	683686	Argument	data		683627	1					
ANR	683687	Identifier	data		683627	0					
ANR	683688	Argument	wcslen ( dest ) * sizeof ( wchar_t )		683627	2					
ANR	683689	MultiplicativeExpression	wcslen ( dest ) * sizeof ( wchar_t )		683627	0		*			
ANR	683690	CallExpression	wcslen ( dest )		683627	0					
ANR	683691	Callee	wcslen		683627	0					
ANR	683692	Identifier	wcslen		683627	0					
ANR	683693	ArgumentList	dest		683627	1					
ANR	683694	Argument	dest		683627	0					
ANR	683695	Identifier	dest		683627	0					
ANR	683696	SizeofExpression	sizeof ( wchar_t )		683627	1					
ANR	683697	Sizeof	sizeof		683627	0					
ANR	683698	SizeofOperand	wchar_t		683627	1					
ANR	683699	Statement	dest	41:8:1457:1460	683627	23	True				
ANR	683700	Statement	[	41:12:1461:1461	683627	24	True				
ANR	683701	Statement	100	41:13:1462:1464	683627	25	True				
ANR	683702	Statement	-	41:16:1465:1465	683627	26	True				
ANR	683703	Statement	1	41:17:1466:1466	683627	27	True				
ANR	683704	Statement	]	41:18:1467:1467	683627	28	True				
ANR	683705	Statement	=	41:20:1469:1469	683627	29	True				
ANR	683706	Statement	L	41:22:1471:1471	683627	30	True				
ANR	683707	ExpressionStatement	'\\0'	41:23:1472:1476	683627	31	True				
ANR	683708	PrimaryExpression	'\\0'		683627	0					
ANR	683709	ExpressionStatement	printWLine ( dest )	42:8:1487:1503	683627	32	True				
ANR	683710	CallExpression	printWLine ( dest )		683627	0					
ANR	683711	Callee	printWLine		683627	0					
ANR	683712	Identifier	printWLine		683627	0					
ANR	683713	ArgumentList	dest		683627	1					
ANR	683714	Argument	dest		683627	0					
ANR	683715	Identifier	dest		683627	0					
ANR	683716	ExpressionStatement	free ( data )	43:8:1514:1524	683627	33	True				
ANR	683717	CallExpression	free ( data )		683627	0					
ANR	683718	Callee	free		683627	0					
ANR	683719	Identifier	free		683627	0					
ANR	683720	ArgumentList	data		683627	1					
ANR	683721	Argument	data		683627	0					
ANR	683722	Identifier	data		683627	0					
ANR	683723	ReturnType	void		683627	1					
ANR	683724	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_bad		683627	2					
ANR	683725	ParameterList			683627	3					
ANR	683726	CFGEntryNode	ENTRY		683627		True				
ANR	683727	CFGExitNode	EXIT		683627		True				
ANR	683728	Symbol	NULL		683627						
ANR	683729	Symbol	data		683627						
ANR	683730	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badGlobal		683627						
ANR	683731	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_badSource		683627						
ANR	683732	Symbol	wcslen		683627						
ANR	683733	Symbol	dest		683627						
ANR	683734	DeclStmt									
ANR	683735	Decl							int	int	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Global
ANR	683736	DeclStmt									
ANR	683737	Decl							int	int	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Global
ANR	683738	DeclStmt									
ANR	683739	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source
ANR	683740	Function	goodG2B1	58:0:2020:2668							
ANR	683741	FunctionDef	goodG2B1 ()		683740	0					
ANR	683742	CompoundStatement		59:0:2044:2668	683740	0					
ANR	683743	IdentifierDeclStatement	wchar_t * data ;	60:4:2051:2065	683740	0	True				
ANR	683744	IdentifierDecl	* data		683740	0					
ANR	683745	IdentifierDeclType	wchar_t *		683740	0					
ANR	683746	Identifier	data		683740	1					
ANR	683747	ExpressionStatement	data = NULL	61:4:2072:2083	683740	1	True				
ANR	683748	AssignmentExpression	data = NULL		683740	0		=			
ANR	683749	Identifier	data		683740	0					
ANR	683750	Identifier	NULL		683740	1					
ANR	683751	ExpressionStatement	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Global = 0	62:4:2090:2157	683740	2	True				
ANR	683752	AssignmentExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Global = 0		683740	0		=			
ANR	683753	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Global		683740	0					
ANR	683754	PrimaryExpression	0		683740	1					
ANR	683755	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source ( data )	63:4:2176:2252	683740	3	True				
ANR	683756	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source ( data )		683740	0		=			
ANR	683757	Identifier	data		683740	0					
ANR	683758	CallExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source ( data )		683740	1					
ANR	683759	Callee	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source		683740	0					
ANR	683760	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source		683740	0					
ANR	683761	ArgumentList	data		683740	1					
ANR	683762	Argument	data		683740	0					
ANR	683763	Identifier	data		683740	0					
ANR	683764	CompoundStatement		7:8:225:242	683740	4					
ANR	683765	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	65:8:2270:2287	683740	0	True				
ANR	683766	IdentifierDecl	dest [ 100 ]		683740	0					
ANR	683767	IdentifierDeclType	wchar_t [ 100 ]		683740	0					
ANR	683768	Identifier	dest		683740	1					
ANR	683769	PrimaryExpression	100		683740	2					
ANR	683770	Statement	wmemset	66:8:2298:2304	683740	1	True				
ANR	683771	Statement	(	66:15:2305:2305	683740	2	True				
ANR	683772	Statement	dest	66:16:2306:2309	683740	3	True				
ANR	683773	Statement	","	66:20:2310:2310	683740	4	True				
ANR	683774	Statement	L	66:22:2312:2312	683740	5	True				
ANR	683775	Statement	'C'	66:23:2313:2315	683740	6	True				
ANR	683776	Statement	","	66:26:2316:2316	683740	7	True				
ANR	683777	Statement	100	66:28:2318:2320	683740	8	True				
ANR	683778	Statement	-	66:31:2321:2321	683740	9	True				
ANR	683779	Statement	1	66:32:2322:2322	683740	10	True				
ANR	683780	Statement	)	66:33:2323:2323	683740	11	True				
ANR	683781	ExpressionStatement		66:34:2324:2324	683740	12	True				
ANR	683782	Statement	dest	67:8:2335:2338	683740	13	True				
ANR	683783	Statement	[	67:12:2339:2339	683740	14	True				
ANR	683784	Statement	100	67:13:2340:2342	683740	15	True				
ANR	683785	Statement	-	67:16:2343:2343	683740	16	True				
ANR	683786	Statement	1	67:17:2344:2344	683740	17	True				
ANR	683787	Statement	]	67:18:2345:2345	683740	18	True				
ANR	683788	Statement	=	67:20:2347:2347	683740	19	True				
ANR	683789	Statement	L	67:22:2349:2349	683740	20	True				
ANR	683790	ExpressionStatement	'\\0'	67:23:2350:2354	683740	21	True				
ANR	683791	PrimaryExpression	'\\0'		683740	0					
ANR	683792	ExpressionStatement	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"	70:8:2532:2580	683740	22	True				
ANR	683793	CallExpression	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"		683740	0					
ANR	683794	Callee	memcpy		683740	0					
ANR	683795	Identifier	memcpy		683740	0					
ANR	683796	ArgumentList	dest		683740	1					
ANR	683797	Argument	dest		683740	0					
ANR	683798	Identifier	dest		683740	0					
ANR	683799	Argument	data		683740	1					
ANR	683800	Identifier	data		683740	0					
ANR	683801	Argument	wcslen ( dest ) * sizeof ( wchar_t )		683740	2					
ANR	683802	MultiplicativeExpression	wcslen ( dest ) * sizeof ( wchar_t )		683740	0		*			
ANR	683803	CallExpression	wcslen ( dest )		683740	0					
ANR	683804	Callee	wcslen		683740	0					
ANR	683805	Identifier	wcslen		683740	0					
ANR	683806	ArgumentList	dest		683740	1					
ANR	683807	Argument	dest		683740	0					
ANR	683808	Identifier	dest		683740	0					
ANR	683809	SizeofExpression	sizeof ( wchar_t )		683740	1					
ANR	683810	Sizeof	sizeof		683740	0					
ANR	683811	SizeofOperand	wchar_t		683740	1					
ANR	683812	Statement	dest	71:8:2591:2594	683740	23	True				
ANR	683813	Statement	[	71:12:2595:2595	683740	24	True				
ANR	683814	Statement	100	71:13:2596:2598	683740	25	True				
ANR	683815	Statement	-	71:16:2599:2599	683740	26	True				
ANR	683816	Statement	1	71:17:2600:2600	683740	27	True				
ANR	683817	Statement	]	71:18:2601:2601	683740	28	True				
ANR	683818	Statement	=	71:20:2603:2603	683740	29	True				
ANR	683819	Statement	L	71:22:2605:2605	683740	30	True				
ANR	683820	ExpressionStatement	'\\0'	71:23:2606:2610	683740	31	True				
ANR	683821	PrimaryExpression	'\\0'		683740	0					
ANR	683822	ExpressionStatement	printWLine ( dest )	72:8:2621:2637	683740	32	True				
ANR	683823	CallExpression	printWLine ( dest )		683740	0					
ANR	683824	Callee	printWLine		683740	0					
ANR	683825	Identifier	printWLine		683740	0					
ANR	683826	ArgumentList	dest		683740	1					
ANR	683827	Argument	dest		683740	0					
ANR	683828	Identifier	dest		683740	0					
ANR	683829	ExpressionStatement	free ( data )	73:8:2648:2658	683740	33	True				
ANR	683830	CallExpression	free ( data )		683740	0					
ANR	683831	Callee	free		683740	0					
ANR	683832	Identifier	free		683740	0					
ANR	683833	ArgumentList	data		683740	1					
ANR	683834	Argument	data		683740	0					
ANR	683835	Identifier	data		683740	0					
ANR	683836	ReturnType	static void		683740	1					
ANR	683837	Identifier	goodG2B1		683740	2					
ANR	683838	ParameterList			683740	3					
ANR	683839	CFGEntryNode	ENTRY		683740		True				
ANR	683840	CFGExitNode	EXIT		683740		True				
ANR	683841	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Global		683740						
ANR	683842	Symbol	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B1Source		683740						
ANR	683843	Symbol	NULL		683740						
ANR	683844	Symbol	data		683740						
ANR	683845	Symbol	wcslen		683740						
ANR	683846	Symbol	dest		683740						
ANR	683847	DeclStmt									
ANR	683848	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source
ANR	683849	Function	goodG2B2	80:0:2871:3518							
ANR	683850	FunctionDef	goodG2B2 ()		683849	0					
ANR	683851	CompoundStatement		81:0:2895:3518	683849	0					
ANR	683852	IdentifierDeclStatement	wchar_t * data ;	82:4:2902:2916	683849	0	True				
ANR	683853	IdentifierDecl	* data		683849	0					
ANR	683854	IdentifierDeclType	wchar_t *		683849	0					
ANR	683855	Identifier	data		683849	1					
ANR	683856	ExpressionStatement	data = NULL	83:4:2923:2934	683849	1	True				
ANR	683857	AssignmentExpression	data = NULL		683849	0		=			
ANR	683858	Identifier	data		683849	0					
ANR	683859	Identifier	NULL		683849	1					
ANR	683860	ExpressionStatement	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Global = 1	84:4:2941:3008	683849	2	True				
ANR	683861	AssignmentExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Global = 1		683849	0		=			
ANR	683862	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Global		683849	0					
ANR	683863	PrimaryExpression	1		683849	1					
ANR	683864	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source ( data )	85:4:3026:3102	683849	3	True				
ANR	683865	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source ( data )		683849	0		=			
ANR	683866	Identifier	data		683849	0					
ANR	683867	CallExpression	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source ( data )		683849	1					
ANR	683868	Callee	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source		683849	0					
ANR	683869	Identifier	CWE126_Buffer_Overread__malloc_wchar_t_memcpy_22_goodG2B2Source		683849	0					
ANR	683870	ArgumentList	data		683849	1					
ANR	683871	Argument	data		683849	0					
ANR	683872	Identifier	data		683849	0					
ANR	683873	CompoundStatement		7:8:224:241	683849	4					
ANR	683874	IdentifierDeclStatement	wchar_t dest [ 100 ] ;	87:8:3120:3137	683849	0	True				
ANR	683875	IdentifierDecl	dest [ 100 ]		683849	0					
ANR	683876	IdentifierDeclType	wchar_t [ 100 ]		683849	0					
ANR	683877	Identifier	dest		683849	1					
ANR	683878	PrimaryExpression	100		683849	2					
ANR	683879	Statement	wmemset	88:8:3148:3154	683849	1	True				
ANR	683880	Statement	(	88:15:3155:3155	683849	2	True				
ANR	683881	Statement	dest	88:16:3156:3159	683849	3	True				
ANR	683882	Statement	","	88:20:3160:3160	683849	4	True				
ANR	683883	Statement	L	88:22:3162:3162	683849	5	True				
ANR	683884	Statement	'C'	88:23:3163:3165	683849	6	True				
ANR	683885	Statement	","	88:26:3166:3166	683849	7	True				
ANR	683886	Statement	100	88:28:3168:3170	683849	8	True				
ANR	683887	Statement	-	88:31:3171:3171	683849	9	True				
ANR	683888	Statement	1	88:32:3172:3172	683849	10	True				
ANR	683889	Statement	)	88:33:3173:3173	683849	11	True				
ANR	683890	ExpressionStatement		88:34:3174:3174	683849	12	True				
ANR	683891	Statement	dest	89:8:3185:3188	683849	13	True				
ANR	683892	Statement	[	89:12:3189:3189	683849	14	True				
ANR	683893	Statement	100	89:13:3190:3192	683849	15	True				
ANR	683894	Statement	-	89:16:3193:3193	683849	16	True				
ANR	683895	Statement	1	89:17:3194:3194	683849	17	True				
ANR	683896	Statement	]	89:18:3195:3195	683849	18	True				
ANR	683897	Statement	=	89:20:3197:3197	683849	19	True				
ANR	683898	Statement	L	89:22:3199:3199	683849	20	True				
ANR	683899	ExpressionStatement	'\\0'	89:23:3200:3204	683849	21	True				
ANR	683900	PrimaryExpression	'\\0'		683849	0					
ANR	683901	ExpressionStatement	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"	92:8:3382:3430	683849	22	True				
ANR	683902	CallExpression	"memcpy ( dest , data , wcslen ( dest ) * sizeof ( wchar_t ) )"		683849	0					
ANR	683903	Callee	memcpy		683849	0					
ANR	683904	Identifier	memcpy		683849	0					
ANR	683905	ArgumentList	dest		683849	1					
ANR	683906	Argument	dest		683849	0					
ANR	683907	Identifier	dest		683849	0					
ANR	683908	Argument	data		683849	1					
ANR	683909	Identifier	data		683849	0					
ANR	683910	Argument	wcslen ( dest ) * sizeof ( wchar_t )		683849	2					
ANR	683911	MultiplicativeExpression	wcslen ( dest ) * sizeof ( wchar_t )		683849	0		*			
ANR	683912	CallExpression	wcslen ( dest )		683849	0					
ANR	683913	Callee	wcslen		683849	0					
ANR	683914	Identifier	wcslen		683849	0					
ANR	683915	ArgumentList	dest		683849	1					
ANR	683916	Argument	dest		683849	0					
ANR	683917	Identifier	dest		683849	0					
ANR	683918	SizeofExpression	sizeof ( wchar_t )		683849	1					
