start	end	type	var
684696	684697	IS_AST_PARENT	
684696	684698	IS_AST_PARENT	
684695	684696	IS_AST_PARENT	
684694	684695	IS_AST_PARENT	
684700	684701	IS_AST_PARENT	
684700	684702	IS_AST_PARENT	
684703	684704	IS_AST_PARENT	
684705	684706	IS_AST_PARENT	
684705	684707	IS_AST_PARENT	
684703	684705	IS_AST_PARENT	
684700	684703	IS_AST_PARENT	
684699	684700	IS_AST_PARENT	
684694	684699	IS_AST_PARENT	
684709	684710	IS_AST_PARENT	
684709	684711	IS_AST_PARENT	
684712	684713	IS_AST_PARENT	
684714	684715	IS_AST_PARENT	
684714	684716	IS_AST_PARENT	
684712	684714	IS_AST_PARENT	
684709	684712	IS_AST_PARENT	
684708	684709	IS_AST_PARENT	
684694	684708	IS_AST_PARENT	
684718	684719	IS_AST_PARENT	
684718	684720	IS_AST_PARENT	
684717	684718	IS_AST_PARENT	
684694	684717	IS_AST_PARENT	
684723	684724	IS_AST_PARENT	
684723	684725	IS_AST_PARENT	
684726	684727	IS_AST_PARENT	
684728	684729	IS_AST_PARENT	
684728	684730	IS_AST_PARENT	
684726	684728	IS_AST_PARENT	
684723	684726	IS_AST_PARENT	
684722	684723	IS_AST_PARENT	
684721	684722	IS_AST_PARENT	
684732	684733	IS_AST_PARENT	
684734	684735	IS_AST_PARENT	
684737	684738	IS_AST_PARENT	
684736	684737	IS_AST_PARENT	
684741	684742	IS_AST_PARENT	
684743	684744	IS_AST_PARENT	
684743	684745	IS_AST_PARENT	
684741	684743	IS_AST_PARENT	
684740	684741	IS_AST_PARENT	
684739	684740	IS_AST_PARENT	
684736	684739	IS_AST_PARENT	
684734	684736	IS_AST_PARENT	
684732	684734	IS_AST_PARENT	
684731	684732	IS_AST_PARENT	
684721	684731	IS_AST_PARENT	
684748	684749	IS_AST_PARENT	
684748	684750	IS_AST_PARENT	
684747	684748	IS_AST_PARENT	
684746	684747	IS_AST_PARENT	
684754	684755	IS_AST_PARENT	
684753	684754	IS_AST_PARENT	
684758	684759	IS_AST_PARENT	
684758	684760	IS_AST_PARENT	
684757	684758	IS_AST_PARENT	
684756	684757	IS_AST_PARENT	
684753	684756	IS_AST_PARENT	
684752	684753	IS_AST_PARENT	
684751	684752	IS_AST_PARENT	
684746	684751	IS_AST_PARENT	
684721	684746	IS_AST_PARENT	
684721	684761	IS_AST_PARENT	
684721	684762	IS_AST_PARENT	
684721	684763	IS_AST_PARENT	
684721	684764	IS_AST_PARENT	
684721	684765	IS_AST_PARENT	
684721	684766	IS_AST_PARENT	
684721	684767	IS_AST_PARENT	
684721	684768	IS_AST_PARENT	
684721	684769	IS_AST_PARENT	
684721	684770	IS_AST_PARENT	
684721	684771	IS_AST_PARENT	
684721	684772	IS_AST_PARENT	
684721	684773	IS_AST_PARENT	
684721	684774	IS_AST_PARENT	
684721	684775	IS_AST_PARENT	
684721	684776	IS_AST_PARENT	
684721	684777	IS_AST_PARENT	
684721	684778	IS_AST_PARENT	
684721	684779	IS_AST_PARENT	
684721	684780	IS_AST_PARENT	
684781	684782	IS_AST_PARENT	
684721	684781	IS_AST_PARENT	
684785	684786	IS_AST_PARENT	
684785	684787	IS_AST_PARENT	
684784	684785	IS_AST_PARENT	
684784	684788	IS_AST_PARENT	
684783	684784	IS_AST_PARENT	
684721	684783	IS_AST_PARENT	
684694	684721	IS_AST_PARENT	
684791	684792	IS_AST_PARENT	
684791	684793	IS_AST_PARENT	
684794	684795	IS_AST_PARENT	
684796	684797	IS_AST_PARENT	
684796	684798	IS_AST_PARENT	
684794	684796	IS_AST_PARENT	
684791	684794	IS_AST_PARENT	
684790	684791	IS_AST_PARENT	
684789	684790	IS_AST_PARENT	
684801	684802	IS_AST_PARENT	
684801	684803	IS_AST_PARENT	
684801	684804	IS_AST_PARENT	
684800	684801	IS_AST_PARENT	
684799	684800	IS_AST_PARENT	
684799	684805	IS_AST_PARENT	
684799	684806	IS_AST_PARENT	
684799	684807	IS_AST_PARENT	
684799	684808	IS_AST_PARENT	
684799	684809	IS_AST_PARENT	
684799	684810	IS_AST_PARENT	
684799	684811	IS_AST_PARENT	
684799	684812	IS_AST_PARENT	
684799	684813	IS_AST_PARENT	
684799	684814	IS_AST_PARENT	
684799	684815	IS_AST_PARENT	
684799	684816	IS_AST_PARENT	
684799	684817	IS_AST_PARENT	
684799	684818	IS_AST_PARENT	
684799	684819	IS_AST_PARENT	
684799	684820	IS_AST_PARENT	
684799	684821	IS_AST_PARENT	
684799	684822	IS_AST_PARENT	
684799	684823	IS_AST_PARENT	
684799	684824	IS_AST_PARENT	
684825	684826	IS_AST_PARENT	
684799	684825	IS_AST_PARENT	
684829	684830	IS_AST_PARENT	
684828	684829	IS_AST_PARENT	
684832	684833	IS_AST_PARENT	
684831	684832	IS_AST_PARENT	
684834	684835	IS_AST_PARENT	
684831	684834	IS_AST_PARENT	
684839	684840	IS_AST_PARENT	
684838	684839	IS_AST_PARENT	
684842	684843	IS_AST_PARENT	
684841	684842	IS_AST_PARENT	
684838	684841	IS_AST_PARENT	
684837	684838	IS_AST_PARENT	
684844	684845	IS_AST_PARENT	
684844	684846	IS_AST_PARENT	
684837	684844	IS_AST_PARENT	
684836	684837	IS_AST_PARENT	
684831	684836	IS_AST_PARENT	
684828	684831	IS_AST_PARENT	
684827	684828	IS_AST_PARENT	
684799	684827	IS_AST_PARENT	
684799	684847	IS_AST_PARENT	
684799	684848	IS_AST_PARENT	
684799	684849	IS_AST_PARENT	
684799	684850	IS_AST_PARENT	
684799	684851	IS_AST_PARENT	
684799	684852	IS_AST_PARENT	
684799	684853	IS_AST_PARENT	
684799	684854	IS_AST_PARENT	
684855	684856	IS_AST_PARENT	
684799	684855	IS_AST_PARENT	
684859	684860	IS_AST_PARENT	
684858	684859	IS_AST_PARENT	
684862	684863	IS_AST_PARENT	
684861	684862	IS_AST_PARENT	
684858	684861	IS_AST_PARENT	
684857	684858	IS_AST_PARENT	
684799	684857	IS_AST_PARENT	
684866	684867	IS_AST_PARENT	
684865	684866	IS_AST_PARENT	
684869	684870	IS_AST_PARENT	
684868	684869	IS_AST_PARENT	
684865	684868	IS_AST_PARENT	
684864	684865	IS_AST_PARENT	
684799	684864	IS_AST_PARENT	
684789	684799	IS_AST_PARENT	
684694	684789	IS_AST_PARENT	
684693	684694	IS_AST_PARENT	
684693	684871	IS_AST_PARENT	
684693	684872	IS_AST_PARENT	
684693	684873	IS_AST_PARENT	
684874	684695	FLOWS_TO	
684695	684699	FLOWS_TO	
684699	684708	FLOWS_TO	
684708	684717	FLOWS_TO	
684717	684722	FLOWS_TO	
684722	684731	FLOWS_TO	
684731	684747	FLOWS_TO	
684747	684752	FLOWS_TO	
684747	684761	FLOWS_TO	
684752	684761	FLOWS_TO	
684761	684762	FLOWS_TO	
684762	684763	FLOWS_TO	
684763	684764	FLOWS_TO	
684764	684765	FLOWS_TO	
684765	684766	FLOWS_TO	
684766	684767	FLOWS_TO	
684767	684768	FLOWS_TO	
684768	684769	FLOWS_TO	
684769	684770	FLOWS_TO	
684770	684771	FLOWS_TO	
684771	684772	FLOWS_TO	
684772	684773	FLOWS_TO	
684773	684774	FLOWS_TO	
684774	684775	FLOWS_TO	
684775	684776	FLOWS_TO	
684776	684777	FLOWS_TO	
684777	684778	FLOWS_TO	
684778	684779	FLOWS_TO	
684779	684780	FLOWS_TO	
684780	684781	FLOWS_TO	
684781	684783	FLOWS_TO	
684783	684790	FLOWS_TO	
684790	684800	FLOWS_TO	
684800	684805	FLOWS_TO	
684805	684806	FLOWS_TO	
684806	684807	FLOWS_TO	
684807	684808	FLOWS_TO	
684808	684809	FLOWS_TO	
684809	684810	FLOWS_TO	
684810	684811	FLOWS_TO	
684811	684812	FLOWS_TO	
684812	684813	FLOWS_TO	
684813	684814	FLOWS_TO	
684814	684815	FLOWS_TO	
684815	684816	FLOWS_TO	
684816	684817	FLOWS_TO	
684817	684818	FLOWS_TO	
684818	684819	FLOWS_TO	
684819	684820	FLOWS_TO	
684820	684821	FLOWS_TO	
684821	684822	FLOWS_TO	
684822	684823	FLOWS_TO	
684823	684824	FLOWS_TO	
684824	684825	FLOWS_TO	
