start	end	type	var
688588	688589	IS_AST_PARENT	
688588	688590	IS_AST_PARENT	
688591	688592	IS_AST_PARENT	
688593	688594	IS_AST_PARENT	
688596	688597	IS_AST_PARENT	
688595	688596	IS_AST_PARENT	
688600	688601	IS_AST_PARENT	
688602	688603	IS_AST_PARENT	
688602	688604	IS_AST_PARENT	
688600	688602	IS_AST_PARENT	
688599	688600	IS_AST_PARENT	
688598	688599	IS_AST_PARENT	
688595	688598	IS_AST_PARENT	
688593	688595	IS_AST_PARENT	
688591	688593	IS_AST_PARENT	
688588	688591	IS_AST_PARENT	
688587	688588	IS_AST_PARENT	
688586	688587	IS_AST_PARENT	
688607	688608	IS_AST_PARENT	
688607	688609	IS_AST_PARENT	
688606	688607	IS_AST_PARENT	
688605	688606	IS_AST_PARENT	
688613	688614	IS_AST_PARENT	
688612	688613	IS_AST_PARENT	
688617	688618	IS_AST_PARENT	
688617	688619	IS_AST_PARENT	
688616	688617	IS_AST_PARENT	
688615	688616	IS_AST_PARENT	
688612	688615	IS_AST_PARENT	
688611	688612	IS_AST_PARENT	
688610	688611	IS_AST_PARENT	
688605	688610	IS_AST_PARENT	
688586	688605	IS_AST_PARENT	
688586	688620	IS_AST_PARENT	
688586	688621	IS_AST_PARENT	
688586	688622	IS_AST_PARENT	
688586	688623	IS_AST_PARENT	
688586	688624	IS_AST_PARENT	
688586	688625	IS_AST_PARENT	
688586	688626	IS_AST_PARENT	
688586	688627	IS_AST_PARENT	
688586	688628	IS_AST_PARENT	
688586	688629	IS_AST_PARENT	
688586	688630	IS_AST_PARENT	
688586	688631	IS_AST_PARENT	
688586	688632	IS_AST_PARENT	
688586	688633	IS_AST_PARENT	
688586	688634	IS_AST_PARENT	
688586	688635	IS_AST_PARENT	
688586	688636	IS_AST_PARENT	
688586	688637	IS_AST_PARENT	
688586	688638	IS_AST_PARENT	
688586	688639	IS_AST_PARENT	
688640	688641	IS_AST_PARENT	
688586	688640	IS_AST_PARENT	
688643	688644	IS_AST_PARENT	
688645	688646	IS_AST_PARENT	
688645	688647	IS_AST_PARENT	
688643	688645	IS_AST_PARENT	
688642	688643	IS_AST_PARENT	
688586	688642	IS_AST_PARENT	
688585	688586	IS_AST_PARENT	
688648	688649	IS_AST_PARENT	
688585	688648	IS_AST_PARENT	
688584	688585	IS_AST_PARENT	
688584	688650	IS_AST_PARENT	
688584	688651	IS_AST_PARENT	
688653	688654	IS_AST_PARENT	
688653	688655	IS_AST_PARENT	
688652	688653	IS_AST_PARENT	
688584	688652	IS_AST_PARENT	
688656	688653	FLOWS_TO	
688653	688587	FLOWS_TO	
688587	688606	FLOWS_TO	
688606	688611	FLOWS_TO	
688606	688620	FLOWS_TO	
688611	688620	FLOWS_TO	
688620	688621	FLOWS_TO	
688621	688622	FLOWS_TO	
688622	688623	FLOWS_TO	
688623	688624	FLOWS_TO	
688624	688625	FLOWS_TO	
688625	688626	FLOWS_TO	
688626	688627	FLOWS_TO	
688627	688628	FLOWS_TO	
688628	688629	FLOWS_TO	
688629	688630	FLOWS_TO	
688630	688631	FLOWS_TO	
688631	688632	FLOWS_TO	
688632	688633	FLOWS_TO	
688633	688634	FLOWS_TO	
688634	688635	FLOWS_TO	
688635	688636	FLOWS_TO	
688636	688637	FLOWS_TO	
688637	688638	FLOWS_TO	
688638	688639	FLOWS_TO	
688639	688640	FLOWS_TO	
688640	688642	FLOWS_TO	
688642	688648	FLOWS_TO	
688648	688657	FLOWS_TO	
688587	688658	USE	
688591	688658	USE	
688606	688659	USE	
688653	688660	DEF	
688642	688660	DEF	
688643	688660	DEF	
688648	688660	USE	
688587	688661	DEF	
688588	688661	DEF	
688591	688661	DEF	
688606	688661	USE	
688642	688661	USE	
688643	688661	USE	
688642	688648	REACHES	data
688587	688606	REACHES	dataBuffer
688587	688642	REACHES	dataBuffer
688656	688653	CONTROLS	
688656	688587	CONTROLS	
688656	688606	CONTROLS	
688656	688620	CONTROLS	
688656	688621	CONTROLS	
688656	688622	CONTROLS	
688656	688623	CONTROLS	
688656	688624	CONTROLS	
688656	688625	CONTROLS	
688656	688626	CONTROLS	
688656	688627	CONTROLS	
688656	688628	CONTROLS	
688656	688629	CONTROLS	
688656	688630	CONTROLS	
688656	688631	CONTROLS	
688656	688632	CONTROLS	
688656	688633	CONTROLS	
688656	688634	CONTROLS	
688656	688635	CONTROLS	
688656	688636	CONTROLS	
688656	688637	CONTROLS	
688656	688638	CONTROLS	
688656	688639	CONTROLS	
688656	688640	CONTROLS	
688656	688642	CONTROLS	
688656	688648	CONTROLS	
688606	688611	CONTROLS	
688627	688628	DOM	
688636	688637	DOM	
688631	688632	DOM	
688629	688630	DOM	
688622	688623	DOM	
688639	688640	DOM	
688630	688631	DOM	
688656	688656	DOM	
688606	688611	DOM	
688642	688648	DOM	
688653	688587	DOM	
688635	688636	DOM	
688623	688624	DOM	
688633	688634	DOM	
688626	688627	DOM	
688634	688635	DOM	
688640	688642	DOM	
688606	688620	DOM	
688648	688657	DOM	
688637	688638	DOM	
688624	688625	DOM	
688587	688606	DOM	
688656	688653	DOM	
688621	688622	DOM	
688628	688629	DOM	
688625	688626	DOM	
688620	688621	DOM	
688632	688633	DOM	
688638	688639	DOM	
688629	688628	POST_DOM	
688638	688637	POST_DOM	
688633	688632	POST_DOM	
