start	end	type	var
700488	700489	DECLARES	
700494	700495	IS_AST_PARENT	
700493	700494	IS_AST_PARENT	
700499	700500	IS_AST_PARENT	
700499	700501	IS_AST_PARENT	
700502	700503	IS_AST_PARENT	
700504	700505	IS_AST_PARENT	
700507	700508	IS_AST_PARENT	
700506	700507	IS_AST_PARENT	
700511	700512	IS_AST_PARENT	
700513	700514	IS_AST_PARENT	
700513	700515	IS_AST_PARENT	
700511	700513	IS_AST_PARENT	
700510	700511	IS_AST_PARENT	
700509	700510	IS_AST_PARENT	
700506	700509	IS_AST_PARENT	
700504	700506	IS_AST_PARENT	
700502	700504	IS_AST_PARENT	
700499	700502	IS_AST_PARENT	
700498	700499	IS_AST_PARENT	
700497	700498	IS_AST_PARENT	
700518	700519	IS_AST_PARENT	
700518	700520	IS_AST_PARENT	
700517	700518	IS_AST_PARENT	
700516	700517	IS_AST_PARENT	
700524	700525	IS_AST_PARENT	
700523	700524	IS_AST_PARENT	
700528	700529	IS_AST_PARENT	
700528	700530	IS_AST_PARENT	
700527	700528	IS_AST_PARENT	
700526	700527	IS_AST_PARENT	
700523	700526	IS_AST_PARENT	
700522	700523	IS_AST_PARENT	
700521	700522	IS_AST_PARENT	
700516	700521	IS_AST_PARENT	
700497	700516	IS_AST_PARENT	
700497	700531	IS_AST_PARENT	
700497	700532	IS_AST_PARENT	
700497	700533	IS_AST_PARENT	
700497	700534	IS_AST_PARENT	
700497	700535	IS_AST_PARENT	
700497	700536	IS_AST_PARENT	
700497	700537	IS_AST_PARENT	
700497	700538	IS_AST_PARENT	
700497	700539	IS_AST_PARENT	
700497	700540	IS_AST_PARENT	
700497	700541	IS_AST_PARENT	
700497	700542	IS_AST_PARENT	
700497	700543	IS_AST_PARENT	
700497	700544	IS_AST_PARENT	
700497	700545	IS_AST_PARENT	
700497	700546	IS_AST_PARENT	
700497	700547	IS_AST_PARENT	
700497	700548	IS_AST_PARENT	
700497	700549	IS_AST_PARENT	
700497	700550	IS_AST_PARENT	
700551	700552	IS_AST_PARENT	
