start	end	type	var
702884	702885	IS_AST_PARENT	
702884	702886	IS_AST_PARENT	
702884	702887	IS_AST_PARENT	
702883	702884	IS_AST_PARENT	
702882	702883	IS_AST_PARENT	
702882	702888	IS_AST_PARENT	
702882	702889	IS_AST_PARENT	
702882	702890	IS_AST_PARENT	
702882	702891	IS_AST_PARENT	
702882	702892	IS_AST_PARENT	
702882	702893	IS_AST_PARENT	
702882	702894	IS_AST_PARENT	
702882	702895	IS_AST_PARENT	
702882	702896	IS_AST_PARENT	
702882	702897	IS_AST_PARENT	
702882	702898	IS_AST_PARENT	
702882	702899	IS_AST_PARENT	
702882	702900	IS_AST_PARENT	
702882	702901	IS_AST_PARENT	
702882	702902	IS_AST_PARENT	
702882	702903	IS_AST_PARENT	
702882	702904	IS_AST_PARENT	
702882	702905	IS_AST_PARENT	
702882	702906	IS_AST_PARENT	
702882	702907	IS_AST_PARENT	
702908	702909	IS_AST_PARENT	
702882	702908	IS_AST_PARENT	
702912	702913	IS_AST_PARENT	
702911	702912	IS_AST_PARENT	
702915	702916	IS_AST_PARENT	
702914	702915	IS_AST_PARENT	
702917	702918	IS_AST_PARENT	
702914	702917	IS_AST_PARENT	
702920	702921	IS_AST_PARENT	
702922	702923	IS_AST_PARENT	
702922	702924	IS_AST_PARENT	
702920	702922	IS_AST_PARENT	
702919	702920	IS_AST_PARENT	
702914	702919	IS_AST_PARENT	
702911	702914	IS_AST_PARENT	
702910	702911	IS_AST_PARENT	
702882	702910	IS_AST_PARENT	
702882	702925	IS_AST_PARENT	
702882	702926	IS_AST_PARENT	
702882	702927	IS_AST_PARENT	
702882	702928	IS_AST_PARENT	
702882	702929	IS_AST_PARENT	
702882	702930	IS_AST_PARENT	
702882	702931	IS_AST_PARENT	
702882	702932	IS_AST_PARENT	
702933	702934	IS_AST_PARENT	
702882	702933	IS_AST_PARENT	
702937	702938	IS_AST_PARENT	
702936	702937	IS_AST_PARENT	
702940	702941	IS_AST_PARENT	
702939	702940	IS_AST_PARENT	
702936	702939	IS_AST_PARENT	
702935	702936	IS_AST_PARENT	
702882	702935	IS_AST_PARENT	
702881	702882	IS_AST_PARENT	
702880	702881	IS_AST_PARENT	
702880	702942	IS_AST_PARENT	
702880	702943	IS_AST_PARENT	
702945	702946	IS_AST_PARENT	
702945	702947	IS_AST_PARENT	
702944	702945	IS_AST_PARENT	
702880	702944	IS_AST_PARENT	
702948	702945	FLOWS_TO	
702945	702883	FLOWS_TO	
702883	702888	FLOWS_TO	
702888	702889	FLOWS_TO	
702889	702890	FLOWS_TO	
702890	702891	FLOWS_TO	
702891	702892	FLOWS_TO	
702892	702893	FLOWS_TO	
702893	702894	FLOWS_TO	
702894	702895	FLOWS_TO	
702895	702896	FLOWS_TO	
702896	702897	FLOWS_TO	
702897	702898	FLOWS_TO	
702898	702899	FLOWS_TO	
702899	702900	FLOWS_TO	
702900	702901	FLOWS_TO	
702901	702902	FLOWS_TO	
702902	702903	FLOWS_TO	
702903	702904	FLOWS_TO	
702904	702905	FLOWS_TO	
702905	702906	FLOWS_TO	
702906	702907	FLOWS_TO	
702907	702908	FLOWS_TO	
702908	702910	FLOWS_TO	
702910	702925	FLOWS_TO	
702925	702926	FLOWS_TO	
