command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	704002	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/566/CWE124_Buffer_Underwrite__malloc_wchar_t_memmove_61b.c								
ANR	704003	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_memmove_61b_badSource	23:0:655:1083							
ANR	704004	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_memmove_61b_badSource (wchar_t * data)		704003	0					
ANR	704005	CompoundStatement		24:0:745:1083	704003	0					
ANR	704006	CompoundStatement		3:8:17:78	704003	0					
ANR	704007	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	26:8:763:824	704003	0	True				
ANR	704008	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		704003	0					
ANR	704009	IdentifierDeclType	wchar_t *		704003	0					
ANR	704010	Identifier	dataBuffer		704003	1					
ANR	704011	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		704003	2		=			
ANR	704012	Identifier	dataBuffer		704003	0					
ANR	704013	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		704003	1					
ANR	704014	CastTarget	wchar_t *		704003	0					
ANR	704015	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		704003	1					
ANR	704016	Callee	malloc		704003	0					
ANR	704017	Identifier	malloc		704003	0					
ANR	704018	ArgumentList	100 * sizeof ( wchar_t )		704003	1					
ANR	704019	Argument	100 * sizeof ( wchar_t )		704003	0					
ANR	704020	MultiplicativeExpression	100 * sizeof ( wchar_t )		704003	0		*			
ANR	704021	PrimaryExpression	100		704003	0					
ANR	704022	SizeofExpression	sizeof ( wchar_t )		704003	1					
ANR	704023	Sizeof	sizeof		704003	0					
ANR	704024	SizeofOperand	wchar_t		704003	1					
ANR	704025	IfStatement	if ( dataBuffer == NULL )		704003	1					
ANR	704026	Condition	dataBuffer == NULL	27:12:839:856	704003	0	True				
ANR	704027	EqualityExpression	dataBuffer == NULL		704003	0		==			
ANR	704028	Identifier	dataBuffer		704003	0					
ANR	704029	Identifier	NULL		704003	1					
ANR	704030	CompoundStatement		4:32:113:113	704003	1					
ANR	704031	ExpressionStatement	exit ( - 1 )	27:33:860:868	704003	0	True				
ANR	704032	CallExpression	exit ( - 1 )		704003	0					
ANR	704033	Callee	exit		704003	0					
ANR	704034	Identifier	exit		704003	0					
ANR	704035	ArgumentList	- 1		704003	1					
ANR	704036	Argument	- 1		704003	0					
ANR	704037	UnaryOperationExpression	- 1		704003	0					
ANR	704038	UnaryOperator	-		704003	0					
ANR	704039	PrimaryExpression	1		704003	1					
ANR	704040	Statement	wmemset	28:8:879:885	704003	2	True				
ANR	704041	Statement	(	28:15:886:886	704003	3	True				
ANR	704042	Statement	dataBuffer	28:16:887:896	704003	4	True				
ANR	704043	Statement	","	28:26:897:897	704003	5	True				
ANR	704044	Statement	L	28:28:899:899	704003	6	True				
ANR	704045	Statement	'A'	28:29:900:902	704003	7	True				
ANR	704046	Statement	","	28:32:903:903	704003	8	True				
ANR	704047	Statement	100	28:34:905:907	704003	9	True				
ANR	704048	Statement	-	28:37:908:908	704003	10	True				
ANR	704049	Statement	1	28:38:909:909	704003	11	True				
ANR	704050	Statement	)	28:39:910:910	704003	12	True				
ANR	704051	ExpressionStatement		28:40:911:911	704003	13	True				
ANR	704052	Statement	dataBuffer	29:8:922:931	704003	14	True				
