command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	706675	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/575/CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_06.c								
ANR	706676	DeclStmt									
ANR	706677	Decl							const int	const int	STATIC_CONST_FIVE
ANR	706678	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_06_bad	27:0:824:1877							
ANR	706679	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_06_bad ()		706678	0					
ANR	706680	CompoundStatement		28:0:885:1877	706678	0					
ANR	706681	IdentifierDeclStatement	wchar_t * data ;	29:4:892:906	706678	0	True				
ANR	706682	IdentifierDecl	* data		706678	0					
ANR	706683	IdentifierDeclType	wchar_t *		706678	0					
ANR	706684	Identifier	data		706678	1					
ANR	706685	ExpressionStatement	data = NULL	30:4:913:924	706678	1	True				
ANR	706686	AssignmentExpression	data = NULL		706678	0		=			
ANR	706687	Identifier	data		706678	0					
ANR	706688	Identifier	NULL		706678	1					
ANR	706689	IfStatement	if ( STATIC_CONST_FIVE == 5 )		706678	2					
ANR	706690	Condition	STATIC_CONST_FIVE == 5	31:7:934:953	706678	0	True				
ANR	706691	EqualityExpression	STATIC_CONST_FIVE == 5		706678	0		==			
ANR	706692	Identifier	STATIC_CONST_FIVE		706678	0					
ANR	706693	PrimaryExpression	5		706678	1					
ANR	706694	CompoundStatement		5:4:75:75	706678	1					
ANR	706695	CompoundStatement		7:12:101:162	706678	0					
ANR	706696	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	34:12:987:1048	706678	0	True				
ANR	706697	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		706678	0					
ANR	706698	IdentifierDeclType	wchar_t *		706678	0					
ANR	706699	Identifier	dataBuffer		706678	1					
ANR	706700	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		706678	2		=			
ANR	706701	Identifier	dataBuffer		706678	0					
ANR	706702	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		706678	1					
ANR	706703	CastTarget	wchar_t *		706678	0					
ANR	706704	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		706678	1					
ANR	706705	Callee	malloc		706678	0					
ANR	706706	Identifier	malloc		706678	0					
ANR	706707	ArgumentList	100 * sizeof ( wchar_t )		706678	1					
ANR	706708	Argument	100 * sizeof ( wchar_t )		706678	0					
ANR	706709	MultiplicativeExpression	100 * sizeof ( wchar_t )		706678	0		*			
ANR	706710	PrimaryExpression	100		706678	0					
ANR	706711	SizeofExpression	sizeof ( wchar_t )		706678	1					
ANR	706712	Sizeof	sizeof		706678	0					
ANR	706713	SizeofOperand	wchar_t		706678	1					
ANR	706714	IfStatement	if ( dataBuffer == NULL )		706678	1					
ANR	706715	Condition	dataBuffer == NULL	35:16:1067:1084	706678	0	True				
ANR	706716	EqualityExpression	dataBuffer == NULL		706678	0		==			
ANR	706717	Identifier	dataBuffer		706678	0					
ANR	706718	Identifier	NULL		706678	1					
ANR	706719	CompoundStatement		8:36:201:201	706678	1					
ANR	706720	ExpressionStatement	exit ( - 1 )	35:37:1088:1096	706678	0	True				
ANR	706721	CallExpression	exit ( - 1 )		706678	0					
ANR	706722	Callee	exit		706678	0					
ANR	706723	Identifier	exit		706678	0					
ANR	706724	ArgumentList	- 1		706678	1					
ANR	706725	Argument	- 1		706678	0					
ANR	706726	UnaryOperationExpression	- 1		706678	0					
ANR	706727	UnaryOperator	-		706678	0					
ANR	706728	PrimaryExpression	1		706678	1					
ANR	706729	Statement	wmemset	36:12:1111:1117	706678	2	True				
ANR	706730	Statement	(	36:19:1118:1118	706678	3	True				
ANR	706731	Statement	dataBuffer	36:20:1119:1128	706678	4	True				
ANR	706732	Statement	","	36:30:1129:1129	706678	5	True				
ANR	706733	Statement	L	36:32:1131:1131	706678	6	True				
ANR	706734	Statement	'A'	36:33:1132:1134	706678	7	True				
ANR	706735	Statement	","	36:36:1135:1135	706678	8	True				
ANR	706736	Statement	100	36:38:1137:1139	706678	9	True				
ANR	706737	Statement	-	36:41:1140:1140	706678	10	True				
ANR	706738	Statement	1	36:42:1141:1141	706678	11	True				
ANR	706739	Statement	)	36:43:1142:1142	706678	12	True				
ANR	706740	ExpressionStatement		36:44:1143:1143	706678	13	True				
ANR	706741	Statement	dataBuffer	37:12:1158:1167	706678	14	True				
ANR	706742	Statement	[	37:22:1168:1168	706678	15	True				
ANR	706743	Statement	100	37:23:1169:1171	706678	16	True				
ANR	706744	Statement	-	37:26:1172:1172	706678	17	True				
ANR	706745	Statement	1	37:27:1173:1173	706678	18	True				
ANR	706746	Statement	]	37:28:1174:1174	706678	19	True				
ANR	706747	Statement	=	37:30:1176:1176	706678	20	True				
ANR	706748	Statement	L	37:32:1178:1178	706678	21	True				
ANR	706749	ExpressionStatement	'\\0'	37:33:1179:1183	706678	22	True				
ANR	706750	PrimaryExpression	'\\0'		706678	0					
ANR	706751	ExpressionStatement	data = dataBuffer - 8	39:12:1278:1299	706678	23	True				
ANR	706752	AssignmentExpression	data = dataBuffer - 8		706678	0		=			
ANR	706753	Identifier	data		706678	0					
ANR	706754	AdditiveExpression	dataBuffer - 8		706678	1		-			
ANR	706755	Identifier	dataBuffer		706678	0					
ANR	706756	PrimaryExpression	8		706678	1					
ANR	706757	CompoundStatement		16:8:449:468	706678	3					
ANR	706758	IdentifierDeclStatement	wchar_t source [ 100 ] ;	43:8:1335:1354	706678	0	True				
ANR	706759	IdentifierDecl	source [ 100 ]		706678	0					
ANR	706760	IdentifierDeclType	wchar_t [ 100 ]		706678	0					
ANR	706761	Identifier	source		706678	1					
ANR	706762	PrimaryExpression	100		706678	2					
ANR	706763	Statement	wmemset	44:8:1365:1371	706678	1	True				
ANR	706764	Statement	(	44:15:1372:1372	706678	2	True				
ANR	706765	Statement	source	44:16:1373:1378	706678	3	True				
ANR	706766	Statement	","	44:22:1379:1379	706678	4	True				
ANR	706767	Statement	L	44:24:1381:1381	706678	5	True				
ANR	706768	Statement	'C'	44:25:1382:1384	706678	6	True				
ANR	706769	Statement	","	44:28:1385:1385	706678	7	True				
ANR	706770	Statement	100	44:30:1387:1389	706678	8	True				
ANR	706771	Statement	-	44:33:1390:1390	706678	9	True				
ANR	706772	Statement	1	44:34:1391:1391	706678	10	True				
ANR	706773	Statement	)	44:35:1392:1392	706678	11	True				
ANR	706774	ExpressionStatement		44:36:1393:1393	706678	12	True				
ANR	706775	Statement	source	45:8:1425:1430	706678	13	True				
ANR	706776	Statement	[	45:14:1431:1431	706678	14	True				
ANR	706777	Statement	100	45:15:1432:1434	706678	15	True				
ANR	706778	Statement	-	45:18:1435:1435	706678	16	True				
ANR	706779	Statement	1	45:19:1436:1436	706678	17	True				
ANR	706780	Statement	]	45:20:1437:1437	706678	18	True				
ANR	706781	Statement	=	45:22:1439:1439	706678	19	True				
ANR	706782	Statement	L	45:24:1441:1441	706678	20	True				
ANR	706783	ExpressionStatement	'\\0'	45:25:1442:1446	706678	21	True				
ANR	706784	PrimaryExpression	'\\0'		706678	0					
ANR	706785	ExpressionStatement	"wcsncpy ( data , source , 100 - 1 )"	47:8:1571:1599	706678	22	True				
ANR	706786	CallExpression	"wcsncpy ( data , source , 100 - 1 )"		706678	0					
ANR	706787	Callee	wcsncpy		706678	0					
ANR	706788	Identifier	wcsncpy		706678	0					
ANR	706789	ArgumentList	data		706678	1					
ANR	706790	Argument	data		706678	0					
