command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	713873	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/589/CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22a.c								
ANR	713874	DeclStmt									
ANR	713875	Decl							int	int	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal
ANR	713876	DeclStmt									
ANR	713877	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource
ANR	713878	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_bad	28:0:927:1745							
ANR	713879	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_bad ()		713878	0					
ANR	713880	CompoundStatement		29:0:988:1745	713878	0					
ANR	713881	IdentifierDeclStatement	wchar_t * data ;	30:4:995:1009	713878	0	True				
ANR	713882	IdentifierDecl	* data		713878	0					
ANR	713883	IdentifierDeclType	wchar_t *		713878	0					
ANR	713884	Identifier	data		713878	1					
ANR	713885	ExpressionStatement	data = NULL	31:4:1016:1027	713878	1	True				
ANR	713886	AssignmentExpression	data = NULL		713878	0		=			
ANR	713887	Identifier	data		713878	0					
ANR	713888	Identifier	NULL		713878	1					
ANR	713889	ExpressionStatement	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal = 1	32:4:1034:1096	713878	2	True				
ANR	713890	AssignmentExpression	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal = 1		713878	0		=			
ANR	713891	Identifier	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal		713878	0					
ANR	713892	PrimaryExpression	1		713878	1					
ANR	713893	ExpressionStatement	data = CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource ( data )	33:4:1114:1185	713878	3	True				
ANR	713894	AssignmentExpression	data = CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource ( data )		713878	0		=			
ANR	713895	Identifier	data		713878	0					
ANR	713896	CallExpression	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource ( data )		713878	1					
ANR	713897	Callee	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource		713878	0					
ANR	713898	Identifier	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource		713878	0					
ANR	713899	ArgumentList	data		713878	1					
ANR	713900	Argument	data		713878	0					
ANR	713901	Identifier	data		713878	0					
ANR	713902	CompoundStatement		7:8:214:233	713878	4					
ANR	713903	IdentifierDeclStatement	wchar_t source [ 100 ] ;	35:8:1203:1222	713878	0	True				
ANR	713904	IdentifierDecl	source [ 100 ]		713878	0					
ANR	713905	IdentifierDeclType	wchar_t [ 100 ]		713878	0					
ANR	713906	Identifier	source		713878	1					
ANR	713907	PrimaryExpression	100		713878	2					
ANR	713908	Statement	wmemset	36:8:1233:1239	713878	1	True				
ANR	713909	Statement	(	36:15:1240:1240	713878	2	True				
ANR	713910	Statement	source	36:16:1241:1246	713878	3	True				
ANR	713911	Statement	","	36:22:1247:1247	713878	4	True				
ANR	713912	Statement	L	36:24:1249:1249	713878	5	True				
ANR	713913	Statement	'C'	36:25:1250:1252	713878	6	True				
ANR	713914	Statement	","	36:28:1253:1253	713878	7	True				
ANR	713915	Statement	100	36:30:1255:1257	713878	8	True				
ANR	713916	Statement	-	36:33:1258:1258	713878	9	True				
ANR	713917	Statement	1	36:34:1259:1259	713878	10	True				
ANR	713918	Statement	)	36:35:1260:1260	713878	11	True				
ANR	713919	ExpressionStatement		36:36:1261:1261	713878	12	True				
ANR	713920	Statement	source	37:8:1293:1298	713878	13	True				
ANR	713921	Statement	[	37:14:1299:1299	713878	14	True				
ANR	713922	Statement	100	37:15:1300:1302	713878	15	True				
ANR	713923	Statement	-	37:18:1303:1303	713878	16	True				
ANR	713924	Statement	1	37:19:1304:1304	713878	17	True				
ANR	713925	Statement	]	37:20:1305:1305	713878	18	True				
ANR	713926	Statement	=	37:22:1307:1307	713878	19	True				
ANR	713927	Statement	L	37:24:1309:1309	713878	20	True				
ANR	713928	ExpressionStatement	'\\0'	37:25:1310:1314	713878	21	True				
ANR	713929	PrimaryExpression	'\\0'		713878	0					
ANR	713930	ExpressionStatement	"wcsncpy ( data , source , 100 - 1 )"	39:8:1439:1467	713878	22	True				
ANR	713931	CallExpression	"wcsncpy ( data , source , 100 - 1 )"		713878	0					
ANR	713932	Callee	wcsncpy		713878	0					
ANR	713933	Identifier	wcsncpy		713878	0					
ANR	713934	ArgumentList	data		713878	1					
ANR	713935	Argument	data		713878	0					
ANR	713936	Identifier	data		713878	0					
ANR	713937	Argument	source		713878	1					
ANR	713938	Identifier	source		713878	0					
ANR	713939	Argument	100 - 1		713878	2					
ANR	713940	AdditiveExpression	100 - 1		713878	0		-			
ANR	713941	PrimaryExpression	100		713878	0					
