command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	714252	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/589/CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22b.c								
ANR	714253	DeclStmt									
ANR	714254	Decl							extern int	extern int	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal
ANR	714255	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource	26:0:841:1379							
ANR	714256	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badSource (wchar_t * data)		714255	0					
ANR	714257	CompoundStatement		27:0:927:1379	714255	0					
ANR	714258	IfStatement	if ( CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal )		714255	0					
ANR	714259	Condition	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal	28:7:937:994	714255	0	True				
ANR	714260	Identifier	CWE124_Buffer_Underwrite__malloc_wchar_t_ncpy_22_badGlobal		714255	0					
ANR	714261	CompoundStatement		3:4:74:74	714255	1					
ANR	714262	CompoundStatement		5:12:100:161	714255	0					
ANR	714263	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	31:12:1028:1089	714255	0	True				
ANR	714264	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		714255	0					
ANR	714265	IdentifierDeclType	wchar_t *		714255	0					
ANR	714266	Identifier	dataBuffer		714255	1					
ANR	714267	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		714255	2		=			
ANR	714268	Identifier	dataBuffer		714255	0					
ANR	714269	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		714255	1					
ANR	714270	CastTarget	wchar_t *		714255	0					
ANR	714271	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		714255	1					
ANR	714272	Callee	malloc		714255	0					
ANR	714273	Identifier	malloc		714255	0					
ANR	714274	ArgumentList	100 * sizeof ( wchar_t )		714255	1					
ANR	714275	Argument	100 * sizeof ( wchar_t )		714255	0					
ANR	714276	MultiplicativeExpression	100 * sizeof ( wchar_t )		714255	0		*			
ANR	714277	PrimaryExpression	100		714255	0					
ANR	714278	SizeofExpression	sizeof ( wchar_t )		714255	1					
ANR	714279	Sizeof	sizeof		714255	0					
ANR	714280	SizeofOperand	wchar_t		714255	1					
ANR	714281	IfStatement	if ( dataBuffer == NULL )		714255	1					
ANR	714282	Condition	dataBuffer == NULL	32:16:1108:1125	714255	0	True				
ANR	714283	EqualityExpression	dataBuffer == NULL		714255	0		==			
ANR	714284	Identifier	dataBuffer		714255	0					
ANR	714285	Identifier	NULL		714255	1					
ANR	714286	CompoundStatement		6:36:200:200	714255	1					
ANR	714287	ExpressionStatement	exit ( - 1 )	32:37:1129:1137	714255	0	True				
ANR	714288	CallExpression	exit ( - 1 )		714255	0					
ANR	714289	Callee	exit		714255	0					
ANR	714290	Identifier	exit		714255	0					
ANR	714291	ArgumentList	- 1		714255	1					
ANR	714292	Argument	- 1		714255	0					
ANR	714293	UnaryOperationExpression	- 1		714255	0					
ANR	714294	UnaryOperator	-		714255	0					
ANR	714295	PrimaryExpression	1		714255	1					
ANR	714296	Statement	wmemset	33:12:1152:1158	714255	2	True				
ANR	714297	Statement	(	33:19:1159:1159	714255	3	True				
ANR	714298	Statement	dataBuffer	33:20:1160:1169	714255	4	True				
ANR	714299	Statement	","	33:30:1170:1170	714255	5	True				
ANR	714300	Statement	L	33:32:1172:1172	714255	6	True				
ANR	714301	Statement	'A'	33:33:1173:1175	714255	7	True				
ANR	714302	Statement	","	33:36:1176:1176	714255	8	True				
ANR	714303	Statement	100	33:38:1178:1180	714255	9	True				
ANR	714304	Statement	-	33:41:1181:1181	714255	10	True				
ANR	714305	Statement	1	33:42:1182:1182	714255	11	True				
ANR	714306	Statement	)	33:43:1183:1183	714255	12	True				
ANR	714307	ExpressionStatement		33:44:1184:1184	714255	13	True				
ANR	714308	Statement	dataBuffer	34:12:1199:1208	714255	14	True				
