command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	725564	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/616/CWE126_Buffer_Overread__malloc_char_loop_14.c								
ANR	725565	Function	CWE126_Buffer_Overread__malloc_char_loop_14_bad	23:0:546:1393							
ANR	725566	FunctionDef	CWE126_Buffer_Overread__malloc_char_loop_14_bad ()		725565	0					
ANR	725567	CompoundStatement		24:0:602:1393	725565	0					
ANR	725568	IdentifierDeclStatement	char * data ;	25:4:609:620	725565	0	True				
ANR	725569	IdentifierDecl	* data		725565	0					
ANR	725570	IdentifierDeclType	char *		725565	0					
ANR	725571	Identifier	data		725565	1					
ANR	725572	ExpressionStatement	data = NULL	26:4:627:638	725565	1	True				
ANR	725573	AssignmentExpression	data = NULL		725565	0		=			
ANR	725574	Identifier	data		725565	0					
ANR	725575	Identifier	NULL		725565	1					
ANR	725576	IfStatement	if ( globalFive == 5 )		725565	2					
ANR	725577	Condition	globalFive == 5	27:7:648:660	725565	0	True				
ANR	725578	EqualityExpression	globalFive == 5		725565	0		==			
ANR	725579	Identifier	globalFive		725565	0					
ANR	725580	PrimaryExpression	5		725565	1					
ANR	725581	CompoundStatement		5:4:65:65	725565	1					
ANR	725582	ExpressionStatement	data = ( char * ) malloc ( 50 * sizeof ( char ) )	30:8:719:757	725565	0	True				
ANR	725583	AssignmentExpression	data = ( char * ) malloc ( 50 * sizeof ( char ) )		725565	0		=			
ANR	725584	Identifier	data		725565	0					
ANR	725585	CastExpression	( char * ) malloc ( 50 * sizeof ( char ) )		725565	1					
ANR	725586	CastTarget	char *		725565	0					
ANR	725587	CallExpression	malloc ( 50 * sizeof ( char ) )		725565	1					
ANR	725588	Callee	malloc		725565	0					
ANR	725589	Identifier	malloc		725565	0					
ANR	725590	ArgumentList	50 * sizeof ( char )		725565	1					
ANR	725591	Argument	50 * sizeof ( char )		725565	0					
ANR	725592	MultiplicativeExpression	50 * sizeof ( char )		725565	0		*			
ANR	725593	PrimaryExpression	50		725565	0					
ANR	725594	SizeofExpression	sizeof ( char )		725565	1					
ANR	725595	Sizeof	sizeof		725565	0					
ANR	725596	SizeofOperand	char		725565	1					
ANR	725597	IfStatement	if ( data == NULL )		725565	1					
ANR	725598	Condition	data == NULL	31:12:772:783	725565	0	True				
ANR	725599	EqualityExpression	data == NULL		725565	0		==			
ANR	725600	Identifier	data		725565	0					
ANR	725601	Identifier	NULL		725565	1					
ANR	725602	CompoundStatement		8:26:183:183	725565	1					
ANR	725603	ExpressionStatement	exit ( - 1 )	31:27:787:795	725565	0	True				
ANR	725604	CallExpression	exit ( - 1 )		725565	0					
ANR	725605	Callee	exit		725565	0					
ANR	725606	Identifier	exit		725565	0					
ANR	725607	ArgumentList	- 1		725565	1					
ANR	725608	Argument	- 1		725565	0					
ANR	725609	UnaryOperationExpression	- 1		725565	0					
ANR	725610	UnaryOperator	-		725565	0					
ANR	725611	PrimaryExpression	1		725565	1					
ANR	725612	ExpressionStatement	"memset ( data , 'A' , 50 - 1 )"	32:8:806:829	725565	2	True				
ANR	725613	CallExpression	"memset ( data , 'A' , 50 - 1 )"		725565	0					
ANR	725614	Callee	memset		725565	0					
ANR	725615	Identifier	memset		725565	0					
ANR	725616	ArgumentList	data		725565	1					
ANR	725617	Argument	data		725565	0					
ANR	725618	Identifier	data		725565	0					
ANR	725619	Argument	'A'		725565	1					
ANR	725620	PrimaryExpression	'A'		725565	0					
ANR	725621	Argument	50 - 1		725565	2					
ANR	725622	AdditiveExpression	50 - 1		725565	0		-			
ANR	725623	PrimaryExpression	50		725565	0					
ANR	725624	PrimaryExpression	1		725565	1					
ANR	725625	ExpressionStatement	data [ 50 - 1 ] = '\\0'	33:8:861:878	725565	3	True				
ANR	725626	AssignmentExpression	data [ 50 - 1 ] = '\\0'		725565	0		=			
ANR	725627	ArrayIndexing	data [ 50 - 1 ]		725565	0					
ANR	725628	Identifier	data		725565	0					
ANR	725629	AdditiveExpression	50 - 1		725565	1		-			
ANR	725630	PrimaryExpression	50		725565	0					
ANR	725631	PrimaryExpression	1		725565	1					
ANR	725632	PrimaryExpression	'\\0'		725565	1					
ANR	725633	CompoundStatement		14:8:349:363	725565	3					
ANR	725634	IdentifierDeclStatement	"size_t i , destLen ;"	36:8:924:941	725565	0	True				
ANR	725635	IdentifierDecl	i		725565	0					
ANR	725636	IdentifierDeclType	size_t		725565	0					
