command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	732801	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-700-c/testcases/000/234/632/CWE126_Buffer_Overread__malloc_char_loop_61a.c								
ANR	732802	DeclStmt									
ANR	732803	Decl							char	char * ( char * data )	CWE126_Buffer_Overread__malloc_char_loop_61b_badSource
ANR	732804	Function	CWE126_Buffer_Overread__malloc_char_loop_61_bad	26:0:686:1339							
ANR	732805	FunctionDef	CWE126_Buffer_Overread__malloc_char_loop_61_bad ()		732804	0					
ANR	732806	CompoundStatement		27:0:742:1339	732804	0					
ANR	732807	IdentifierDeclStatement	char * data ;	28:4:749:760	732804	0	True				
ANR	732808	IdentifierDecl	* data		732804	0					
ANR	732809	IdentifierDeclType	char *		732804	0					
ANR	732810	Identifier	data		732804	1					
ANR	732811	ExpressionStatement	data = NULL	29:4:767:778	732804	1	True				
ANR	732812	AssignmentExpression	data = NULL		732804	0		=			
ANR	732813	Identifier	data		732804	0					
ANR	732814	Identifier	NULL		732804	1					
ANR	732815	ExpressionStatement	data = CWE126_Buffer_Overread__malloc_char_loop_61b_badSource ( data )	30:4:785:852	732804	2	True				
ANR	732816	AssignmentExpression	data = CWE126_Buffer_Overread__malloc_char_loop_61b_badSource ( data )		732804	0		=			
ANR	732817	Identifier	data		732804	0					
ANR	732818	CallExpression	CWE126_Buffer_Overread__malloc_char_loop_61b_badSource ( data )		732804	1					
ANR	732819	Callee	CWE126_Buffer_Overread__malloc_char_loop_61b_badSource		732804	0					
ANR	732820	Identifier	CWE126_Buffer_Overread__malloc_char_loop_61b_badSource		732804	0					
ANR	732821	ArgumentList	data		732804	1					
ANR	732822	Argument	data		732804	0					
ANR	732823	Identifier	data		732804	0					
ANR	732824	CompoundStatement		7:8:155:169	732804	3					
ANR	732825	IdentifierDeclStatement	"size_t i , destLen ;"	32:8:870:887	732804	0	True				
ANR	732826	IdentifierDecl	i		732804	0					
ANR	732827	IdentifierDeclType	size_t		732804	0					
ANR	732828	Identifier	i		732804	1					
ANR	732829	IdentifierDecl	destLen		732804	1					
ANR	732830	IdentifierDeclType	size_t		732804	0					
ANR	732831	Identifier	destLen		732804	1					
ANR	732832	IdentifierDeclStatement	char dest [ 100 ] ;	33:8:898:912	732804	1	True				
ANR	732833	IdentifierDecl	dest [ 100 ]		732804	0					
ANR	732834	IdentifierDeclType	char [ 100 ]		732804	0					
ANR	732835	Identifier	dest		732804	1					
ANR	732836	PrimaryExpression	100		732804	2					
ANR	732837	ExpressionStatement	"memset ( dest , 'C' , 100 - 1 )"	34:8:923:947	732804	2	True				
ANR	732838	CallExpression	"memset ( dest , 'C' , 100 - 1 )"		732804	0					
ANR	732839	Callee	memset		732804	0					
ANR	732840	Identifier	memset		732804	0					
ANR	732841	ArgumentList	dest		732804	1					
ANR	732842	Argument	dest		732804	0					
ANR	732843	Identifier	dest		732804	0					
ANR	732844	Argument	'C'		732804	1					
ANR	732845	PrimaryExpression	'C'		732804	0					
ANR	732846	Argument	100 - 1		732804	2					
ANR	732847	AdditiveExpression	100 - 1		732804	0		-			
ANR	732848	PrimaryExpression	100		732804	0					
ANR	732849	PrimaryExpression	1		732804	1					
ANR	732850	ExpressionStatement	dest [ 100 - 1 ] = '\\0'	35:8:958:976	732804	3	True				
ANR	732851	AssignmentExpression	dest [ 100 - 1 ] = '\\0'		732804	0		=			
ANR	732852	ArrayIndexing	dest [ 100 - 1 ]		732804	0					
ANR	732853	Identifier	dest		732804	0					
