start	end	type	var
742668	742669	IS_AST_PARENT	
742668	742670	IS_AST_PARENT	
742667	742668	IS_AST_PARENT	
742666	742667	IS_AST_PARENT	
742672	742673	IS_AST_PARENT	
742672	742674	IS_AST_PARENT	
742671	742672	IS_AST_PARENT	
742666	742671	IS_AST_PARENT	
742677	742678	IS_AST_PARENT	
742677	742679	IS_AST_PARENT	
742676	742677	IS_AST_PARENT	
742675	742676	IS_AST_PARENT	
742683	742684	IS_AST_PARENT	
742683	742685	IS_AST_PARENT	
742686	742687	IS_AST_PARENT	
742688	742689	IS_AST_PARENT	
742691	742692	IS_AST_PARENT	
742690	742691	IS_AST_PARENT	
742695	742696	IS_AST_PARENT	
742697	742698	IS_AST_PARENT	
742697	742699	IS_AST_PARENT	
742695	742697	IS_AST_PARENT	
742694	742695	IS_AST_PARENT	
742693	742694	IS_AST_PARENT	
742690	742693	IS_AST_PARENT	
742688	742690	IS_AST_PARENT	
742686	742688	IS_AST_PARENT	
742683	742686	IS_AST_PARENT	
742682	742683	IS_AST_PARENT	
742681	742682	IS_AST_PARENT	
742702	742703	IS_AST_PARENT	
742702	742704	IS_AST_PARENT	
742701	742702	IS_AST_PARENT	
742700	742701	IS_AST_PARENT	
742708	742709	IS_AST_PARENT	
742707	742708	IS_AST_PARENT	
742712	742713	IS_AST_PARENT	
742712	742714	IS_AST_PARENT	
742711	742712	IS_AST_PARENT	
742710	742711	IS_AST_PARENT	
742707	742710	IS_AST_PARENT	
742706	742707	IS_AST_PARENT	
742705	742706	IS_AST_PARENT	
742700	742705	IS_AST_PARENT	
742681	742700	IS_AST_PARENT	
742717	742718	IS_AST_PARENT	
742716	742717	IS_AST_PARENT	
742720	742721	IS_AST_PARENT	
742719	742720	IS_AST_PARENT	
742722	742723	IS_AST_PARENT	
742719	742722	IS_AST_PARENT	
742725	742726	IS_AST_PARENT	
742725	742727	IS_AST_PARENT	
742724	742725	IS_AST_PARENT	
742719	742724	IS_AST_PARENT	
742716	742719	IS_AST_PARENT	
742715	742716	IS_AST_PARENT	
742681	742715	IS_AST_PARENT	
742730	742731	IS_AST_PARENT	
742732	742733	IS_AST_PARENT	
742732	742734	IS_AST_PARENT	
742730	742732	IS_AST_PARENT	
742729	742730	IS_AST_PARENT	
742729	742735	IS_AST_PARENT	
742728	742729	IS_AST_PARENT	
742681	742728	IS_AST_PARENT	
742737	742738	IS_AST_PARENT	
742739	742740	IS_AST_PARENT	
742739	742741	IS_AST_PARENT	
742737	742739	IS_AST_PARENT	
742736	742737	IS_AST_PARENT	
742681	742736	IS_AST_PARENT	
742680	742681	IS_AST_PARENT	
742675	742680	IS_AST_PARENT	
742666	742675	IS_AST_PARENT	
742744	742745	IS_AST_PARENT	
742744	742746	IS_AST_PARENT	
742744	742747	IS_AST_PARENT	
742743	742744	IS_AST_PARENT	
742742	742743	IS_AST_PARENT	
742750	742751	IS_AST_PARENT	
742749	742750	IS_AST_PARENT	
742753	742754	IS_AST_PARENT	
742752	742753	IS_AST_PARENT	
742755	742756	IS_AST_PARENT	
742752	742755	IS_AST_PARENT	
742758	742759	IS_AST_PARENT	
742758	742760	IS_AST_PARENT	
742757	742758	IS_AST_PARENT	
742752	742757	IS_AST_PARENT	
742749	742752	IS_AST_PARENT	
742748	742749	IS_AST_PARENT	
742742	742748	IS_AST_PARENT	
742763	742764	IS_AST_PARENT	
742765	742766	IS_AST_PARENT	
742765	742767	IS_AST_PARENT	
742763	742765	IS_AST_PARENT	
742762	742763	IS_AST_PARENT	
742762	742768	IS_AST_PARENT	
742761	742762	IS_AST_PARENT	
742742	742761	IS_AST_PARENT	
742771	742772	IS_AST_PARENT	
742770	742771	IS_AST_PARENT	
742774	742775	IS_AST_PARENT	
742773	742774	IS_AST_PARENT	
