command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	750073	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-800-c/testcases/000/234/438/CWE124_Buffer_Underwrite__malloc_wchar_t_cpy_01.c								
ANR	750074	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_cpy_01_bad	23:0:572:1446							
ANR	750075	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_cpy_01_bad ()		750074	0					
ANR	750076	CompoundStatement		24:0:632:1446	750074	0					
ANR	750077	IdentifierDeclStatement	wchar_t * data ;	25:4:639:653	750074	0	True				
ANR	750078	IdentifierDecl	* data		750074	0					
ANR	750079	IdentifierDeclType	wchar_t *		750074	0					
ANR	750080	Identifier	data		750074	1					
ANR	750081	ExpressionStatement	data = NULL	26:4:660:671	750074	1	True				
ANR	750082	AssignmentExpression	data = NULL		750074	0		=			
ANR	750083	Identifier	data		750074	0					
ANR	750084	Identifier	NULL		750074	1					
ANR	750085	CompoundStatement		5:8:56:117	750074	2					
ANR	750086	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	28:8:689:750	750074	0	True				
ANR	750087	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		750074	0					
ANR	750088	IdentifierDeclType	wchar_t *		750074	0					
ANR	750089	Identifier	dataBuffer		750074	1					
ANR	750090	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		750074	2		=			
ANR	750091	Identifier	dataBuffer		750074	0					
ANR	750092	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		750074	1					
ANR	750093	CastTarget	wchar_t *		750074	0					
ANR	750094	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		750074	1					
ANR	750095	Callee	malloc		750074	0					
ANR	750096	Identifier	malloc		750074	0					
ANR	750097	ArgumentList	100 * sizeof ( wchar_t )		750074	1					
ANR	750098	Argument	100 * sizeof ( wchar_t )		750074	0					
ANR	750099	MultiplicativeExpression	100 * sizeof ( wchar_t )		750074	0		*			
ANR	750100	PrimaryExpression	100		750074	0					
ANR	750101	SizeofExpression	sizeof ( wchar_t )		750074	1					
ANR	750102	Sizeof	sizeof		750074	0					
ANR	750103	SizeofOperand	wchar_t		750074	1					
ANR	750104	IfStatement	if ( dataBuffer == NULL )		750074	1					
ANR	750105	Condition	dataBuffer == NULL	29:12:765:782	750074	0	True				
ANR	750106	EqualityExpression	dataBuffer == NULL		750074	0		==			
ANR	750107	Identifier	dataBuffer		750074	0					
ANR	750108	Identifier	NULL		750074	1					
