start	end	type	var
760866	760867	IS_AST_PARENT	
760866	760868	IS_AST_PARENT	
760866	760869	IS_AST_PARENT	
760865	760866	IS_AST_PARENT	
760864	760865	IS_AST_PARENT	
760864	760870	IS_AST_PARENT	
760864	760871	IS_AST_PARENT	
760864	760872	IS_AST_PARENT	
760864	760873	IS_AST_PARENT	
760864	760874	IS_AST_PARENT	
760864	760875	IS_AST_PARENT	
760864	760876	IS_AST_PARENT	
760864	760877	IS_AST_PARENT	
760864	760878	IS_AST_PARENT	
760864	760879	IS_AST_PARENT	
760864	760880	IS_AST_PARENT	
760864	760881	IS_AST_PARENT	
760864	760882	IS_AST_PARENT	
760864	760883	IS_AST_PARENT	
760864	760884	IS_AST_PARENT	
760864	760885	IS_AST_PARENT	
760864	760886	IS_AST_PARENT	
760864	760887	IS_AST_PARENT	
760864	760888	IS_AST_PARENT	
760864	760889	IS_AST_PARENT	
760890	760891	IS_AST_PARENT	
760864	760890	IS_AST_PARENT	
760894	760895	IS_AST_PARENT	
760893	760894	IS_AST_PARENT	
760897	760898	IS_AST_PARENT	
760896	760897	IS_AST_PARENT	
760899	760900	IS_AST_PARENT	
760896	760899	IS_AST_PARENT	
760893	760896	IS_AST_PARENT	
760892	760893	IS_AST_PARENT	
760864	760892	IS_AST_PARENT	
760903	760904	IS_AST_PARENT	
760902	760903	IS_AST_PARENT	
760906	760907	IS_AST_PARENT	
760905	760906	IS_AST_PARENT	
760902	760905	IS_AST_PARENT	
760901	760902	IS_AST_PARENT	
760864	760901	IS_AST_PARENT	
760863	760864	IS_AST_PARENT	
760862	760863	IS_AST_PARENT	
760862	760908	IS_AST_PARENT	
760862	760909	IS_AST_PARENT	
760911	760912	IS_AST_PARENT	
760911	760913	IS_AST_PARENT	
760910	760911	IS_AST_PARENT	
760862	760910	IS_AST_PARENT	
760914	760911	FLOWS_TO	
760911	760865	FLOWS_TO	
760865	760870	FLOWS_TO	
760870	760871	FLOWS_TO	
760871	760872	FLOWS_TO	
760872	760873	FLOWS_TO	
760873	760874	FLOWS_TO	
760874	760875	FLOWS_TO	
760875	760876	FLOWS_TO	
760876	760877	FLOWS_TO	
