command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	762812	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-800-c/testcases/000/234/471/CWE124_Buffer_Underwrite__malloc_wchar_t_loop_01.c								
ANR	762813	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_loop_01_bad	23:0:574:1622							
ANR	762814	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_loop_01_bad ()		762813	0					
ANR	762815	CompoundStatement		24:0:635:1622	762813	0					
ANR	762816	IdentifierDeclStatement	wchar_t * data ;	25:4:642:656	762813	0	True				
ANR	762817	IdentifierDecl	* data		762813	0					
ANR	762818	IdentifierDeclType	wchar_t *		762813	0					
ANR	762819	Identifier	data		762813	1					
ANR	762820	ExpressionStatement	data = NULL	26:4:663:674	762813	1	True				
ANR	762821	AssignmentExpression	data = NULL		762813	0		=			
ANR	762822	Identifier	data		762813	0					
ANR	762823	Identifier	NULL		762813	1					
ANR	762824	CompoundStatement		5:8:56:117	762813	2					
ANR	762825	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	28:8:692:753	762813	0	True				
ANR	762826	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		762813	0					
ANR	762827	IdentifierDeclType	wchar_t *		762813	0					
ANR	762828	Identifier	dataBuffer		762813	1					
ANR	762829	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		762813	2		=			
ANR	762830	Identifier	dataBuffer		762813	0					
ANR	762831	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		762813	1					
ANR	762832	CastTarget	wchar_t *		762813	0					
ANR	762833	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		762813	1					
ANR	762834	Callee	malloc		762813	0					
ANR	762835	Identifier	malloc		762813	0					
ANR	762836	ArgumentList	100 * sizeof ( wchar_t )		762813	1					
ANR	762837	Argument	100 * sizeof ( wchar_t )		762813	0					
ANR	762838	MultiplicativeExpression	100 * sizeof ( wchar_t )		762813	0		*			
ANR	762839	PrimaryExpression	100		762813	0					
ANR	762840	SizeofExpression	sizeof ( wchar_t )		762813	1					
ANR	762841	Sizeof	sizeof		762813	0					
ANR	762842	SizeofOperand	wchar_t		762813	1					
ANR	762843	IfStatement	if ( dataBuffer == NULL )		762813	1					
ANR	762844	Condition	dataBuffer == NULL	29:12:768:785	762813	0	True				
ANR	762845	EqualityExpression	dataBuffer == NULL		762813	0		==			
ANR	762846	Identifier	dataBuffer		762813	0					
ANR	762847	Identifier	NULL		762813	1					
ANR	762848	CompoundStatement		6:32:152:152	762813	1					
ANR	762849	ExpressionStatement	exit ( - 1 )	29:33:789:797	762813	0	True				
ANR	762850	CallExpression	exit ( - 1 )		762813	0					
ANR	762851	Callee	exit		762813	0					
ANR	762852	Identifier	exit		762813	0					
ANR	762853	ArgumentList	- 1		762813	1					
ANR	762854	Argument	- 1		762813	0					
ANR	762855	UnaryOperationExpression	- 1		762813	0					
ANR	762856	UnaryOperator	-		762813	0					
ANR	762857	PrimaryExpression	1		762813	1					
ANR	762858	Statement	wmemset	30:8:808:814	762813	2	True				
ANR	762859	Statement	(	30:15:815:815	762813	3	True				
ANR	762860	Statement	dataBuffer	30:16:816:825	762813	4	True				
ANR	762861	Statement	","	30:26:826:826	762813	5	True				
ANR	762862	Statement	L	30:28:828:828	762813	6	True				
ANR	762863	Statement	'A'	30:29:829:831	762813	7	True				
ANR	762864	Statement	","	30:32:832:832	762813	8	True				
ANR	762865	Statement	100	30:34:834:836	762813	9	True				
ANR	762866	Statement	-	30:37:837:837	762813	10	True				
ANR	762867	Statement	1	30:38:838:838	762813	11	True				
ANR	762868	Statement	)	30:39:839:839	762813	12	True				
ANR	762869	ExpressionStatement		30:40:840:840	762813	13	True				
ANR	762870	Statement	dataBuffer	31:8:851:860	762813	14	True				
ANR	762871	Statement	[	31:18:861:861	762813	15	True				
ANR	762872	Statement	100	31:19:862:864	762813	16	True				
ANR	762873	Statement	-	31:22:865:865	762813	17	True				
ANR	762874	Statement	1	31:23:866:866	762813	18	True				
ANR	762875	Statement	]	31:24:867:867	762813	19	True				
ANR	762876	Statement	=	31:26:869:869	762813	20	True				
ANR	762877	Statement	L	31:28:871:871	762813	21	True				
ANR	762878	ExpressionStatement	'\\0'	31:29:872:876	762813	22	True				
ANR	762879	PrimaryExpression	'\\0'		762813	0					
ANR	762880	ExpressionStatement	data = dataBuffer - 8	33:8:963:984	762813	23	True				
ANR	762881	AssignmentExpression	data = dataBuffer - 8		762813	0		=			
ANR	762882	Identifier	data		762813	0					
ANR	762883	AdditiveExpression	dataBuffer - 8		762813	1		-			
ANR	762884	Identifier	dataBuffer		762813	0					
ANR	762885	PrimaryExpression	8		762813	1					
ANR	762886	CompoundStatement		14:8:392:411	762813	3					
ANR	762887	IdentifierDeclStatement	size_t i ;	36:8:1009:1017	762813	0	True				
ANR	762888	IdentifierDecl	i		762813	0					
ANR	762889	IdentifierDeclType	size_t		762813	0					
ANR	762890	Identifier	i		762813	1					
ANR	762891	IdentifierDeclStatement	wchar_t source [ 100 ] ;	37:8:1028:1047	762813	1	True				
