command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	777522	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-800-c/testcases/000/234/500/CWE124_Buffer_Underwrite__malloc_wchar_t_loop_61b.c								
ANR	777523	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_loop_61b_badSource	23:0:648:1073							
ANR	777524	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_loop_61b_badSource (wchar_t * data)		777523	0					
ANR	777525	CompoundStatement		24:0:735:1073	777523	0					
ANR	777526	CompoundStatement		3:8:17:78	777523	0					
ANR	777527	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	26:8:753:814	777523	0	True				
ANR	777528	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		777523	0					
ANR	777529	IdentifierDeclType	wchar_t *		777523	0					
ANR	777530	Identifier	dataBuffer		777523	1					
ANR	777531	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		777523	2		=			
ANR	777532	Identifier	dataBuffer		777523	0					
ANR	777533	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		777523	1					
ANR	777534	CastTarget	wchar_t *		777523	0					
ANR	777535	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		777523	1					
ANR	777536	Callee	malloc		777523	0					
ANR	777537	Identifier	malloc		777523	0					
ANR	777538	ArgumentList	100 * sizeof ( wchar_t )		777523	1					
ANR	777539	Argument	100 * sizeof ( wchar_t )		777523	0					
ANR	777540	MultiplicativeExpression	100 * sizeof ( wchar_t )		777523	0		*			
ANR	777541	PrimaryExpression	100		777523	0					
ANR	777542	SizeofExpression	sizeof ( wchar_t )		777523	1					
ANR	777543	Sizeof	sizeof		777523	0					
ANR	777544	SizeofOperand	wchar_t		777523	1					
ANR	777545	IfStatement	if ( dataBuffer == NULL )		777523	1					
ANR	777546	Condition	dataBuffer == NULL	27:12:829:846	777523	0	True				
ANR	777547	EqualityExpression	dataBuffer == NULL		777523	0		==			
ANR	777548	Identifier	dataBuffer		777523	0					
ANR	777549	Identifier	NULL		777523	1					
ANR	777550	CompoundStatement		4:32:113:113	777523	1					
