command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	782973	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-800-c/testcases/000/234/514/CWE124_Buffer_Underwrite__malloc_wchar_t_memcpy_11.c								
ANR	782974	Function	CWE124_Buffer_Underwrite__malloc_wchar_t_memcpy_11_bad	23:0:636:1703							
ANR	782975	FunctionDef	CWE124_Buffer_Underwrite__malloc_wchar_t_memcpy_11_bad ()		782974	0					
ANR	782976	CompoundStatement		24:0:699:1703	782974	0					
ANR	782977	IdentifierDeclStatement	wchar_t * data ;	25:4:706:720	782974	0	True				
ANR	782978	IdentifierDecl	* data		782974	0					
ANR	782979	IdentifierDeclType	wchar_t *		782974	0					
ANR	782980	Identifier	data		782974	1					
ANR	782981	ExpressionStatement	data = NULL	26:4:727:738	782974	1	True				
ANR	782982	AssignmentExpression	data = NULL		782974	0		=			
ANR	782983	Identifier	data		782974	0					
ANR	782984	Identifier	NULL		782974	1					
ANR	782985	IfStatement	if ( globalReturnsTrue ( ) )		782974	2					
ANR	782986	Condition	globalReturnsTrue ( )	27:7:748:766	782974	0	True				
ANR	782987	CallExpression	globalReturnsTrue ( )		782974	0					
ANR	782988	Callee	globalReturnsTrue		782974	0					
ANR	782989	Identifier	globalReturnsTrue		782974	0					
ANR	782990	ArgumentList			782974	1					
ANR	782991	CompoundStatement		5:4:74:74	782974	1					
ANR	782992	CompoundStatement		7:12:100:161	782974	0					
ANR	782993	IdentifierDeclStatement	wchar_t * dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) ) ;	30:12:800:861	782974	0	True				
ANR	782994	IdentifierDecl	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		782974	0					
ANR	782995	IdentifierDeclType	wchar_t *		782974	0					
ANR	782996	Identifier	dataBuffer		782974	1					
ANR	782997	AssignmentExpression	* dataBuffer = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		782974	2		=			
ANR	782998	Identifier	dataBuffer		782974	0					
ANR	782999	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		782974	1					
ANR	783000	CastTarget	wchar_t *		782974	0					
ANR	783001	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		782974	1					
ANR	783002	Callee	malloc		782974	0					
ANR	783003	Identifier	malloc		782974	0					
ANR	783004	ArgumentList	100 * sizeof ( wchar_t )		782974	1					
ANR	783005	Argument	100 * sizeof ( wchar_t )		782974	0					
ANR	783006	MultiplicativeExpression	100 * sizeof ( wchar_t )		782974	0		*			
ANR	783007	PrimaryExpression	100		782974	0					
ANR	783008	SizeofExpression	sizeof ( wchar_t )		782974	1					
ANR	783009	Sizeof	sizeof		782974	0					
ANR	783010	SizeofOperand	wchar_t		782974	1					
ANR	783011	IfStatement	if ( dataBuffer == NULL )		782974	1					
ANR	783012	Condition	dataBuffer == NULL	31:16:880:897	782974	0	True				
ANR	783013	EqualityExpression	dataBuffer == NULL		782974	0		==			
ANR	783014	Identifier	dataBuffer		782974	0					
ANR	783015	Identifier	NULL		782974	1					
ANR	783016	CompoundStatement		8:36:200:200	782974	1					
ANR	783017	ExpressionStatement	exit ( - 1 )	31:37:901:909	782974	0	True				
ANR	783018	CallExpression	exit ( - 1 )		782974	0					
ANR	783019	Callee	exit		782974	0					
ANR	783020	Identifier	exit		782974	0					
ANR	783021	ArgumentList	- 1		782974	1					
ANR	783022	Argument	- 1		782974	0					
ANR	783023	UnaryOperationExpression	- 1		782974	0					
ANR	783024	UnaryOperator	-		782974	0					
ANR	783025	PrimaryExpression	1		782974	1					
ANR	783026	Statement	wmemset	32:12:924:930	782974	2	True				
ANR	783027	Statement	(	32:19:931:931	782974	3	True				
ANR	783028	Statement	dataBuffer	32:20:932:941	782974	4	True				
ANR	783029	Statement	","	32:30:942:942	782974	5	True				
ANR	783030	Statement	L	32:32:944:944	782974	6	True				
ANR	783031	Statement	'A'	32:33:945:947	782974	7	True				
ANR	783032	Statement	","	32:36:948:948	782974	8	True				
ANR	783033	Statement	100	32:38:950:952	782974	9	True				
ANR	783034	Statement	-	32:41:953:953	782974	10	True				
ANR	783035	Statement	1	32:42:954:954	782974	11	True				
ANR	783036	Statement	)	32:43:955:955	782974	12	True				
ANR	783037	ExpressionStatement		32:44:956:956	782974	13	True				
ANR	783038	Statement	dataBuffer	33:12:971:980	782974	14	True				
ANR	783039	Statement	[	33:22:981:981	782974	15	True				
ANR	783040	Statement	100	33:23:982:984	782974	16	True				
ANR	783041	Statement	-	33:26:985:985	782974	17	True				
ANR	783042	Statement	1	33:27:986:986	782974	18	True				
ANR	783043	Statement	]	33:28:987:987	782974	19	True				
ANR	783044	Statement	=	33:30:989:989	782974	20	True				
ANR	783045	Statement	L	33:32:991:991	782974	21	True				
ANR	783046	ExpressionStatement	'\\0'	33:33:992:996	782974	22	True				
ANR	783047	PrimaryExpression	'\\0'		782974	0					
ANR	783048	ExpressionStatement	data = dataBuffer - 8	35:12:1091:1112	782974	23	True				
ANR	783049	AssignmentExpression	data = dataBuffer - 8		782974	0		=			
ANR	783050	Identifier	data		782974	0					
ANR	783051	AdditiveExpression	dataBuffer - 8		782974	1		-			
ANR	783052	Identifier	dataBuffer		782974	0					
ANR	783053	PrimaryExpression	8		782974	1					
ANR	783054	CompoundStatement		16:8:448:467	782974	3					
ANR	783055	IdentifierDeclStatement	wchar_t source [ 100 ] ;	39:8:1148:1167	782974	0	True				
ANR	783056	IdentifierDecl	source [ 100 ]		782974	0					
ANR	783057	IdentifierDeclType	wchar_t [ 100 ]		782974	0					
ANR	783058	Identifier	source		782974	1					
ANR	783059	PrimaryExpression	100		782974	2					
ANR	783060	Statement	wmemset	40:8:1178:1184	782974	1	True				
ANR	783061	Statement	(	40:15:1185:1185	782974	2	True				
ANR	783062	Statement	source	40:16:1186:1191	782974	3	True				
ANR	783063	Statement	","	40:22:1192:1192	782974	4	True				
ANR	783064	Statement	L	40:24:1194:1194	782974	5	True				
ANR	783065	Statement	'C'	40:25:1195:1197	782974	6	True				
ANR	783066	Statement	","	40:28:1198:1198	782974	7	True				
ANR	783067	Statement	100	40:30:1200:1202	782974	8	True				
ANR	783068	Statement	-	40:33:1203:1203	782974	9	True				
ANR	783069	Statement	1	40:34:1204:1204	782974	10	True				
ANR	783070	Statement	)	40:35:1205:1205	782974	11	True				
ANR	783071	ExpressionStatement		40:36:1206:1206	782974	12	True				
ANR	783072	Statement	source	41:8:1238:1243	782974	13	True				
ANR	783073	Statement	[	41:14:1244:1244	782974	14	True				
ANR	783074	Statement	100	41:15:1245:1247	782974	15	True				
ANR	783075	Statement	-	41:18:1248:1248	782974	16	True				
ANR	783076	Statement	1	41:19:1249:1249	782974	17	True				
ANR	783077	Statement	]	41:20:1250:1250	782974	18	True				
ANR	783078	Statement	=	41:22:1252:1252	782974	19	True				
ANR	783079	Statement	L	41:24:1254:1254	782974	20	True				
ANR	783080	ExpressionStatement	'\\0'	41:25:1255:1259	782974	21	True				
ANR	783081	PrimaryExpression	'\\0'		782974	0					
ANR	783082	ExpressionStatement	"memcpy ( data , source , 100 * sizeof ( wchar_t ) )"	43:8:1384:1425	782974	22	True				
ANR	783083	CallExpression	"memcpy ( data , source , 100 * sizeof ( wchar_t ) )"		782974	0					
ANR	783084	Callee	memcpy		782974	0					
ANR	783085	Identifier	memcpy		782974	0					
ANR	783086	ArgumentList	data		782974	1					
ANR	783087	Argument	data		782974	0					
ANR	783088	Identifier	data		782974	0					
ANR	783089	Argument	source		782974	1					
ANR	783090	Identifier	source		782974	0					
ANR	783091	Argument	100 * sizeof ( wchar_t )		782974	2					
ANR	783092	MultiplicativeExpression	100 * sizeof ( wchar_t )		782974	0		*			
ANR	783093	PrimaryExpression	100		782974	0					
ANR	783094	SizeofExpression	sizeof ( wchar_t )		782974	1					
ANR	783095	Sizeof	sizeof		782974	0					
ANR	783096	SizeofOperand	wchar_t		782974	1					
ANR	783097	Statement	data	45:8:1500:1503	782974	23	True				
ANR	783098	Statement	[	45:12:1504:1504	782974	24	True				
ANR	783099	Statement	100	45:13:1505:1507	782974	25	True				
ANR	783100	Statement	-	45:16:1508:1508	782974	26	True				
ANR	783101	Statement	1	45:17:1509:1509	782974	27	True				
ANR	783102	Statement	]	45:18:1510:1510	782974	28	True				
ANR	783103	Statement	=	45:20:1512:1512	782974	29	True				
ANR	783104	Statement	L	45:22:1514:1514	782974	30	True				
ANR	783105	ExpressionStatement	'\\0'	45:23:1515:1519	782974	31	True				
ANR	783106	PrimaryExpression	'\\0'		782974	0					
ANR	783107	ExpressionStatement	printWLine ( data )	46:8:1530:1546	782974	32	True				
ANR	783108	CallExpression	printWLine ( data )		782974	0					
ANR	783109	Callee	printWLine		782974	0					
ANR	783110	Identifier	printWLine		782974	0					
ANR	783111	ArgumentList	data		782974	1					
ANR	783112	Argument	data		782974	0					
ANR	783113	Identifier	data		782974	0					
ANR	783114	ReturnType	void		782974	1					
ANR	783115	Identifier	CWE124_Buffer_Underwrite__malloc_wchar_t_memcpy_11_bad		782974	2					
ANR	783116	ParameterList			782974	3					
ANR	783117	CFGEntryNode	ENTRY		782974		True				
ANR	783118	CFGExitNode	EXIT		782974		True				
ANR	783119	Symbol	malloc		782974						
ANR	783120	Symbol	NULL		782974						
ANR	783121	Symbol	data		782974						
ANR	783122	Symbol	dataBuffer		782974						
ANR	783123	Symbol	source		782974						
ANR	783124	Symbol	globalReturnsTrue		782974						
ANR	783125	Function	goodG2B1	57:0:1859:3020							
ANR	783126	FunctionDef	goodG2B1 ()		783125	0					
ANR	783127	CompoundStatement		58:0:1883:3020	783125	0					
ANR	783128	IdentifierDeclStatement	wchar_t * data ;	59:4:1890:1904	783125	0	True				
ANR	783129	IdentifierDecl	* data		783125	0					
ANR	783130	IdentifierDeclType	wchar_t *		783125	0					
ANR	783131	Identifier	data		783125	1					
ANR	783132	ExpressionStatement	data = NULL	60:4:1911:1922	783125	1	True				
ANR	783133	AssignmentExpression	data = NULL		783125	0		=			
ANR	783134	Identifier	data		783125	0					
ANR	783135	Identifier	NULL		783125	1					
ANR	783136	IfStatement	if ( globalReturnsFalse ( ) )		783125	2					
ANR	783137	Condition	globalReturnsFalse ( )	61:7:1932:1951	783125	0	True				
ANR	783138	CallExpression	globalReturnsFalse ( )		783125	0					
ANR	783139	Callee	globalReturnsFalse		783125	0					
ANR	783140	Identifier	globalReturnsFalse		783125	0					
ANR	783141	ArgumentList			783125	1					
ANR	783142	CompoundStatement		5:4:75:75	783125	1					
ANR	783143	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	64:8:2046:2079	783125	0	True				
ANR	783144	CallExpression	"printLine ( ""Benign, fixed string"" )"		783125	0					
ANR	783145	Callee	printLine		783125	0					
ANR	783146	Identifier	printLine		783125	0					
ANR	783147	ArgumentList	"""Benign, fixed string"""		783125	1					
ANR	783148	Argument	"""Benign, fixed string"""		783125	0					
ANR	783149	PrimaryExpression	"""Benign, fixed string"""		783125	0					
ANR	783150	ElseStatement	else		783125	0					
ANR	783151	CompoundStatement		10:4:219:219	783125	0					
