command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	798542	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/314/CWE124_Buffer_Underwrite__malloc_char_loop_09.c								
ANR	798543	Function	CWE124_Buffer_Underwrite__malloc_char_loop_09_bad	23:0:625:1720							
ANR	798544	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_09_bad ()		798543	0					
ANR	798545	CompoundStatement		24:0:683:1720	798543	0					
ANR	798546	IdentifierDeclStatement	char * data ;	25:4:690:701	798543	0	True				
ANR	798547	IdentifierDecl	* data		798543	0					
ANR	798548	IdentifierDeclType	char *		798543	0					
ANR	798549	Identifier	data		798543	1					
ANR	798550	ExpressionStatement	data = NULL	26:4:708:719	798543	1	True				
ANR	798551	AssignmentExpression	data = NULL		798543	0		=			
ANR	798552	Identifier	data		798543	0					
ANR	798553	Identifier	NULL		798543	1					
ANR	798554	IfStatement	if ( GLOBAL_CONST_TRUE )		798543	2					
ANR	798555	Condition	GLOBAL_CONST_TRUE	27:7:729:745	798543	0	True				
ANR	798556	Identifier	GLOBAL_CONST_TRUE		798543	0					
ANR	798557	CompoundStatement		5:4:69:69	798543	1					
ANR	798558	CompoundStatement		7:12:95:147	798543	0					
ANR	798559	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:779:831	798543	0	True				
ANR	798560	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		798543	0					
ANR	798561	IdentifierDeclType	char *		798543	0					
ANR	798562	Identifier	dataBuffer		798543	1					
ANR	798563	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		798543	2		=			
ANR	798564	Identifier	dataBuffer		798543	0					
ANR	798565	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		798543	1					
ANR	798566	CastTarget	char *		798543	0					
ANR	798567	CallExpression	malloc ( 100 * sizeof ( char ) )		798543	1					
ANR	798568	Callee	malloc		798543	0					
ANR	798569	Identifier	malloc		798543	0					
ANR	798570	ArgumentList	100 * sizeof ( char )		798543	1					
ANR	798571	Argument	100 * sizeof ( char )		798543	0					
ANR	798572	MultiplicativeExpression	100 * sizeof ( char )		798543	0		*			
ANR	798573	PrimaryExpression	100		798543	0					
ANR	798574	SizeofExpression	sizeof ( char )		798543	1					
ANR	798575	Sizeof	sizeof		798543	0					
ANR	798576	SizeofOperand	char		798543	1					
ANR	798577	IfStatement	if ( dataBuffer == NULL )		798543	1					
ANR	798578	Condition	dataBuffer == NULL	31:16:850:867	798543	0	True				
ANR	798579	EqualityExpression	dataBuffer == NULL		798543	0		==			
ANR	798580	Identifier	dataBuffer		798543	0					
ANR	798581	Identifier	NULL		798543	1					
ANR	798582	CompoundStatement		8:36:186:186	798543	1					
ANR	798583	ExpressionStatement	exit ( - 1 )	31:37:871:879	798543	0	True				
ANR	798584	CallExpression	exit ( - 1 )		798543	0					
ANR	798585	Callee	exit		798543	0					
ANR	798586	Identifier	exit		798543	0					
ANR	798587	ArgumentList	- 1		798543	1					
ANR	798588	Argument	- 1		798543	0					
ANR	798589	UnaryOperationExpression	- 1		798543	0					
ANR	798590	UnaryOperator	-		798543	0					
ANR	798591	PrimaryExpression	1		798543	1					
ANR	798592	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	32:12:894:924	798543	2	True				
ANR	798593	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		798543	0					
