command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	808283	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/335/CWE124_Buffer_Underwrite__malloc_char_loop_61a.c								
ANR	808284	DeclStmt									
ANR	808285	Decl							char	char * ( char * data )	CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource
ANR	808286	Function	CWE124_Buffer_Underwrite__malloc_char_loop_61_bad	26:0:758:1551							
ANR	808287	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_loop_61_bad ()		808286	0					
ANR	808288	CompoundStatement		27:0:816:1551	808286	0					
ANR	808289	IdentifierDeclStatement	char * data ;	28:4:823:834	808286	0	True				
ANR	808290	IdentifierDecl	* data		808286	0					
ANR	808291	IdentifierDeclType	char *		808286	0					
ANR	808292	Identifier	data		808286	1					
ANR	808293	ExpressionStatement	data = NULL	29:4:841:852	808286	1	True				
ANR	808294	AssignmentExpression	data = NULL		808286	0		=			
ANR	808295	Identifier	data		808286	0					
ANR	808296	Identifier	NULL		808286	1					
ANR	808297	ExpressionStatement	data = CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource ( data )	30:4:859:928	808286	2	True				
ANR	808298	AssignmentExpression	data = CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource ( data )		808286	0		=			
ANR	808299	Identifier	data		808286	0					
ANR	808300	CallExpression	CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource ( data )		808286	1					
ANR	808301	Callee	CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource		808286	0					
ANR	808302	Identifier	CWE124_Buffer_Underwrite__malloc_char_loop_61b_badSource		808286	0					
ANR	808303	ArgumentList	data		808286	1					
ANR	808304	Argument	data		808286	0					
ANR	808305	Identifier	data		808286	0					
ANR	808306	CompoundStatement		7:8:148:164	808286	3					
ANR	808307	IdentifierDeclStatement	size_t i ;	32:8:946:954	808286	0	True				
ANR	808308	IdentifierDecl	i		808286	0					
ANR	808309	IdentifierDeclType	size_t		808286	0					
ANR	808310	Identifier	i		808286	1					
ANR	808311	IdentifierDeclStatement	char source [ 100 ] ;	33:8:965:981	808286	1	True				
ANR	808312	IdentifierDecl	source [ 100 ]		808286	0					
ANR	808313	IdentifierDeclType	char [ 100 ]		808286	0					
ANR	808314	Identifier	source		808286	1					
ANR	808315	PrimaryExpression	100		808286	2					
ANR	808316	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	34:8:992:1018	808286	2	True				
ANR	808317	CallExpression	"memset ( source , 'C' , 100 - 1 )"		808286	0					
ANR	808318	Callee	memset		808286	0					
ANR	808319	Identifier	memset		808286	0					
ANR	808320	ArgumentList	source		808286	1					
ANR	808321	Argument	source		808286	0					
ANR	808322	Identifier	source		808286	0					
ANR	808323	Argument	'C'		808286	1					
ANR	808324	PrimaryExpression	'C'		808286	0					
ANR	808325	Argument	100 - 1		808286	2					
ANR	808326	AdditiveExpression	100 - 1		808286	0		-			
ANR	808327	PrimaryExpression	100		808286	0					
ANR	808328	PrimaryExpression	1		808286	1					
ANR	808329	ExpressionStatement	source [ 100 - 1 ] = '\\0'	35:8:1050:1070	808286	3	True				
ANR	808330	AssignmentExpression	source [ 100 - 1 ] = '\\0'		808286	0		=			
ANR	808331	ArrayIndexing	source [ 100 - 1 ]		808286	0					
ANR	808332	Identifier	source		808286	0					
ANR	808333	AdditiveExpression	100 - 1		808286	1		-			
ANR	808334	PrimaryExpression	100		808286	0					
ANR	808335	PrimaryExpression	1		808286	1					
ANR	808336	PrimaryExpression	'\\0'		808286	1					
ANR	808337	ForStatement	for ( i = 0 ; i < 100 ; i ++ )		808286	4					
ANR	808338	ForInit	i = 0 ;	37:13:1200:1205	808286	0	True				
ANR	808339	AssignmentExpression	i = 0		808286	0		=			
