start	end	type	var
815598	815599	IS_AST_PARENT	
815598	815600	IS_AST_PARENT	
815597	815598	IS_AST_PARENT	
815596	815597	IS_AST_PARENT	
815602	815603	IS_AST_PARENT	
815602	815604	IS_AST_PARENT	
815601	815602	IS_AST_PARENT	
815596	815601	IS_AST_PARENT	
815607	815608	IS_AST_PARENT	
815607	815609	IS_AST_PARENT	
815606	815607	IS_AST_PARENT	
815605	815606	IS_AST_PARENT	
815613	815614	IS_AST_PARENT	
815613	815615	IS_AST_PARENT	
815616	815617	IS_AST_PARENT	
815618	815619	IS_AST_PARENT	
815621	815622	IS_AST_PARENT	
815620	815621	IS_AST_PARENT	
815625	815626	IS_AST_PARENT	
815627	815628	IS_AST_PARENT	
815627	815629	IS_AST_PARENT	
815625	815627	IS_AST_PARENT	
815624	815625	IS_AST_PARENT	
815623	815624	IS_AST_PARENT	
815620	815623	IS_AST_PARENT	
815618	815620	IS_AST_PARENT	
815616	815618	IS_AST_PARENT	
815613	815616	IS_AST_PARENT	
815612	815613	IS_AST_PARENT	
815611	815612	IS_AST_PARENT	
815632	815633	IS_AST_PARENT	
815632	815634	IS_AST_PARENT	
815631	815632	IS_AST_PARENT	
815630	815631	IS_AST_PARENT	
815638	815639	IS_AST_PARENT	
815637	815638	IS_AST_PARENT	
815642	815643	IS_AST_PARENT	
815642	815644	IS_AST_PARENT	
815641	815642	IS_AST_PARENT	
815640	815641	IS_AST_PARENT	
815637	815640	IS_AST_PARENT	
815636	815637	IS_AST_PARENT	
815635	815636	IS_AST_PARENT	
815630	815635	IS_AST_PARENT	
815611	815630	IS_AST_PARENT	
815647	815648	IS_AST_PARENT	
815646	815647	IS_AST_PARENT	
815650	815651	IS_AST_PARENT	
815649	815650	IS_AST_PARENT	
815652	815653	IS_AST_PARENT	
815649	815652	IS_AST_PARENT	
815655	815656	IS_AST_PARENT	
815655	815657	IS_AST_PARENT	
815654	815655	IS_AST_PARENT	
815649	815654	IS_AST_PARENT	
815646	815649	IS_AST_PARENT	
815645	815646	IS_AST_PARENT	
815611	815645	IS_AST_PARENT	
815660	815661	IS_AST_PARENT	
815662	815663	IS_AST_PARENT	
815662	815664	IS_AST_PARENT	
815660	815662	IS_AST_PARENT	
