command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	818876	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/358/CWE124_Buffer_Underwrite__malloc_char_memcpy_22b.c								
ANR	818877	DeclStmt									
ANR	818878	Decl							extern int	extern int	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badGlobal
ANR	818879	Function	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badSource	26:0:840:1358							
ANR	818880	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badSource (char * data)		818879	0					
ANR	818881	CompoundStatement		27:0:919:1358	818879	0					
ANR	818882	IfStatement	if ( CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badGlobal )		818879	0					
ANR	818883	Condition	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badGlobal	28:7:929:985	818879	0	True				
ANR	818884	Identifier	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badGlobal		818879	0					
ANR	818885	CompoundStatement		3:4:73:73	818879	1					
ANR	818886	CompoundStatement		5:12:99:151	818879	0					
ANR	818887	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	31:12:1019:1071	818879	0	True				
ANR	818888	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		818879	0					
ANR	818889	IdentifierDeclType	char *		818879	0					
ANR	818890	Identifier	dataBuffer		818879	1					
ANR	818891	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		818879	2		=			
ANR	818892	Identifier	dataBuffer		818879	0					
ANR	818893	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		818879	1					
ANR	818894	CastTarget	char *		818879	0					
ANR	818895	CallExpression	malloc ( 100 * sizeof ( char ) )		818879	1					
ANR	818896	Callee	malloc		818879	0					
ANR	818897	Identifier	malloc		818879	0					
ANR	818898	ArgumentList	100 * sizeof ( char )		818879	1					
ANR	818899	Argument	100 * sizeof ( char )		818879	0					
ANR	818900	MultiplicativeExpression	100 * sizeof ( char )		818879	0		*			
ANR	818901	PrimaryExpression	100		818879	0					
ANR	818902	SizeofExpression	sizeof ( char )		818879	1					
ANR	818903	Sizeof	sizeof		818879	0					
ANR	818904	SizeofOperand	char		818879	1					
ANR	818905	IfStatement	if ( dataBuffer == NULL )		818879	1					
ANR	818906	Condition	dataBuffer == NULL	32:16:1090:1107	818879	0	True				
ANR	818907	EqualityExpression	dataBuffer == NULL		818879	0		==			
ANR	818908	Identifier	dataBuffer		818879	0					
ANR	818909	Identifier	NULL		818879	1					
ANR	818910	CompoundStatement		6:36:190:190	818879	1					
ANR	818911	ExpressionStatement	exit ( - 1 )	32:37:1111:1119	818879	0	True				
ANR	818912	CallExpression	exit ( - 1 )		818879	0					
ANR	818913	Callee	exit		818879	0					
ANR	818914	Identifier	exit		818879	0					
ANR	818915	ArgumentList	- 1		818879	1					
ANR	818916	Argument	- 1		818879	0					
ANR	818917	UnaryOperationExpression	- 1		818879	0					
ANR	818918	UnaryOperator	-		818879	0					
ANR	818919	PrimaryExpression	1		818879	1					
ANR	818920	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	33:12:1134:1164	818879	2	True				
ANR	818921	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		818879	0					
ANR	818922	Callee	memset		818879	0					
ANR	818923	Identifier	memset		818879	0					
ANR	818924	ArgumentList	dataBuffer		818879	1					
ANR	818925	Argument	dataBuffer		818879	0					
ANR	818926	Identifier	dataBuffer		818879	0					
ANR	818927	Argument	'A'		818879	1					
ANR	818928	PrimaryExpression	'A'		818879	0					
ANR	818929	Argument	100 - 1		818879	2					
ANR	818930	AdditiveExpression	100 - 1		818879	0		-			
ANR	818931	PrimaryExpression	100		818879	0					
ANR	818932	PrimaryExpression	1		818879	1					
ANR	818933	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	34:12:1179:1203	818879	3	True				
ANR	818934	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		818879	0		=			
ANR	818935	ArrayIndexing	dataBuffer [ 100 - 1 ]		818879	0					
ANR	818936	Identifier	dataBuffer		818879	0					
ANR	818937	AdditiveExpression	100 - 1		818879	1		-			
ANR	818938	PrimaryExpression	100		818879	0					
ANR	818939	PrimaryExpression	1		818879	1					
ANR	818940	PrimaryExpression	'\\0'		818879	1					
ANR	818941	ExpressionStatement	data = dataBuffer - 8	36:12:1298:1319	818879	4	True				
ANR	818942	AssignmentExpression	data = dataBuffer - 8		818879	0		=			
ANR	818943	Identifier	data		818879	0					
ANR	818944	AdditiveExpression	dataBuffer - 8		818879	1		-			
ANR	818945	Identifier	dataBuffer		818879	0					
ANR	818946	PrimaryExpression	8		818879	1					
ANR	818947	ReturnStatement	return data ;	39:4:1344:1355	818879	1	True				
ANR	818948	Identifier	data		818879	0					
ANR	818949	ReturnType	char *		818879	1					
ANR	818950	Identifier	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badSource		818879	2					
ANR	818951	ParameterList	char * data		818879	3					
ANR	818952	Parameter	char * data	26:65:905:915	818879	0	True				
ANR	818953	ParameterType	char *		818879	0					
ANR	818954	Identifier	data		818879	1					
ANR	818955	CFGEntryNode	ENTRY		818879		True				
ANR	818956	CFGExitNode	EXIT		818879		True				
ANR	818957	Symbol	malloc		818879						
ANR	818958	Symbol	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_badGlobal		818879						
ANR	818959	Symbol	NULL		818879						
ANR	818960	Symbol	data		818879						
ANR	818961	Symbol	dataBuffer		818879						
ANR	818962	Symbol	* dataBuffer		818879						
ANR	818963	DeclStmt									
ANR	818964	Decl							extern int	extern int	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Global
ANR	818965	DeclStmt									
ANR	818966	Decl							extern int	extern int	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B2Global
ANR	818967	Function	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Source	51:0:1754:2414							
ANR	818968	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Source (char * data)		818967	0					
ANR	818969	CompoundStatement		52:0:1838:2414	818967	0					
ANR	818970	IfStatement	if ( CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Global )		818967	0					
ANR	818971	Condition	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Global	53:7:1848:1909	818967	0	True				
ANR	818972	Identifier	CWE124_Buffer_Underwrite__malloc_char_memcpy_22_goodG2B1Global		818967	0					
ANR	818973	CompoundStatement		3:4:78:78	818967	1					
ANR	818974	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	56:8:2004:2037	818967	0	True				
ANR	818975	CallExpression	"printLine ( ""Benign, fixed string"" )"		818967	0					
ANR	818976	Callee	printLine		818967	0					
ANR	818977	Identifier	printLine		818967	0					
ANR	818978	ArgumentList	"""Benign, fixed string"""		818967	1					
