command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	819542	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/360/CWE124_Buffer_Underwrite__malloc_char_memcpy_32.c								
ANR	819543	Function	CWE124_Buffer_Underwrite__malloc_char_memcpy_32_bad	23:0:638:1866							
ANR	819544	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memcpy_32_bad ()		819543	0					
ANR	819545	CompoundStatement		24:0:698:1866	819543	0					
ANR	819546	IdentifierDeclStatement	char * data ;	25:4:705:716	819543	0	True				
ANR	819547	IdentifierDecl	* data		819543	0					
ANR	819548	IdentifierDeclType	char *		819543	0					
ANR	819549	Identifier	data		819543	1					
ANR	819550	IdentifierDeclStatement	char * * dataPtr1 = & data ;	26:4:723:747	819543	1	True				
ANR	819551	IdentifierDecl	* * dataPtr1 = & data		819543	0					
ANR	819552	IdentifierDeclType	char * *		819543	0					
ANR	819553	Identifier	dataPtr1		819543	1					
ANR	819554	AssignmentExpression	* * dataPtr1 = & data		819543	2		=			
ANR	819555	Identifier	dataPtr1		819543	0					
ANR	819556	UnaryOperationExpression	& data		819543	1					
ANR	819557	UnaryOperator	&		819543	0					
ANR	819558	Identifier	data		819543	1					
ANR	819559	IdentifierDeclStatement	char * * dataPtr2 = & data ;	27:4:754:778	819543	2	True				
ANR	819560	IdentifierDecl	* * dataPtr2 = & data		819543	0					
ANR	819561	IdentifierDeclType	char * *		819543	0					
ANR	819562	Identifier	dataPtr2		819543	1					
ANR	819563	AssignmentExpression	* * dataPtr2 = & data		819543	2		=			
ANR	819564	Identifier	dataPtr2		819543	0					
ANR	819565	UnaryOperationExpression	& data		819543	1					
ANR	819566	UnaryOperator	&		819543	0					
ANR	819567	Identifier	data		819543	1					
ANR	819568	ExpressionStatement	data = NULL	28:4:785:796	819543	3	True				
ANR	819569	AssignmentExpression	data = NULL		819543	0		=			
ANR	819570	Identifier	data		819543	0					
ANR	819571	Identifier	NULL		819543	1					
ANR	819572	CompoundStatement		7:8:115:138	819543	4					
ANR	819573	IdentifierDeclStatement	char * data = * dataPtr1 ;	30:8:814:837	819543	0	True				
ANR	819574	IdentifierDecl	* data = * dataPtr1		819543	0					
ANR	819575	IdentifierDeclType	char *		819543	0					
ANR	819576	Identifier	data		819543	1					
ANR	819577	AssignmentExpression	* data = * dataPtr1		819543	2		=			
ANR	819578	Identifier	data		819543	0					
ANR	819579	UnaryOperationExpression	* dataPtr1		819543	1					
ANR	819580	UnaryOperator	*		819543	0					
ANR	819581	Identifier	dataPtr1		819543	1					
ANR	819582	CompoundStatement		9:12:164:216	819543	1					
ANR	819583	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	32:12:863:915	819543	0	True				
ANR	819584	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		819543	0					
ANR	819585	IdentifierDeclType	char *		819543	0					
ANR	819586	Identifier	dataBuffer		819543	1					
ANR	819587	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		819543	2		=			
ANR	819588	Identifier	dataBuffer		819543	0					
ANR	819589	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		819543	1					
ANR	819590	CastTarget	char *		819543	0					
ANR	819591	CallExpression	malloc ( 100 * sizeof ( char ) )		819543	1					
ANR	819592	Callee	malloc		819543	0					
ANR	819593	Identifier	malloc		819543	0					
ANR	819594	ArgumentList	100 * sizeof ( char )		819543	1					
ANR	819595	Argument	100 * sizeof ( char )		819543	0					
ANR	819596	MultiplicativeExpression	100 * sizeof ( char )		819543	0		*			
ANR	819597	PrimaryExpression	100		819543	0					
ANR	819598	SizeofExpression	sizeof ( char )		819543	1					
ANR	819599	Sizeof	sizeof		819543	0					
ANR	819600	SizeofOperand	char		819543	1					
ANR	819601	IfStatement	if ( dataBuffer == NULL )		819543	1					
ANR	819602	Condition	dataBuffer == NULL	33:16:934:951	819543	0	True				
ANR	819603	EqualityExpression	dataBuffer == NULL		819543	0		==			
ANR	819604	Identifier	dataBuffer		819543	0					
ANR	819605	Identifier	NULL		819543	1					
ANR	819606	CompoundStatement		10:36:255:255	819543	1					
ANR	819607	ExpressionStatement	exit ( - 1 )	33:37:955:963	819543	0	True				
ANR	819608	CallExpression	exit ( - 1 )		819543	0					
ANR	819609	Callee	exit		819543	0					
ANR	819610	Identifier	exit		819543	0					
ANR	819611	ArgumentList	- 1		819543	1					
ANR	819612	Argument	- 1		819543	0					
ANR	819613	UnaryOperationExpression	- 1		819543	0					
ANR	819614	UnaryOperator	-		819543	0					
ANR	819615	PrimaryExpression	1		819543	1					
ANR	819616	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	34:12:978:1008	819543	2	True				
ANR	819617	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		819543	0					
ANR	819618	Callee	memset		819543	0					
ANR	819619	Identifier	memset		819543	0					
ANR	819620	ArgumentList	dataBuffer		819543	1					
ANR	819621	Argument	dataBuffer		819543	0					
ANR	819622	Identifier	dataBuffer		819543	0					
ANR	819623	Argument	'A'		819543	1					
ANR	819624	PrimaryExpression	'A'		819543	0					
ANR	819625	Argument	100 - 1		819543	2					
ANR	819626	AdditiveExpression	100 - 1		819543	0		-			
ANR	819627	PrimaryExpression	100		819543	0					
ANR	819628	PrimaryExpression	1		819543	1					
ANR	819629	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	35:12:1023:1047	819543	3	True				
ANR	819630	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		819543	0		=			
ANR	819631	ArrayIndexing	dataBuffer [ 100 - 1 ]		819543	0					
ANR	819632	Identifier	dataBuffer		819543	0					
ANR	819633	AdditiveExpression	100 - 1		819543	1		-			
ANR	819634	PrimaryExpression	100		819543	0					
ANR	819635	PrimaryExpression	1		819543	1					
ANR	819636	PrimaryExpression	'\\0'		819543	1					
ANR	819637	ExpressionStatement	data = dataBuffer - 8	37:12:1142:1163	819543	4	True				
ANR	819638	AssignmentExpression	data = dataBuffer - 8		819543	0		=			
ANR	819639	Identifier	data		819543	0					
ANR	819640	AdditiveExpression	dataBuffer - 8		819543	1		-			
ANR	819641	Identifier	dataBuffer		819543	0					
ANR	819642	PrimaryExpression	8		819543	1					
ANR	819643	ExpressionStatement	* dataPtr1 = data	39:8:1185:1201	819543	2	True				
ANR	819644	AssignmentExpression	* dataPtr1 = data		819543	0		=			
ANR	819645	UnaryOperationExpression	* dataPtr1		819543	0					
ANR	819646	UnaryOperator	*		819543	0					
ANR	819647	Identifier	dataPtr1		819543	1					
ANR	819648	Identifier	data		819543	1					
ANR	819649	CompoundStatement		19:8:527:550	819543	5					
ANR	819650	IdentifierDeclStatement	char * data = * dataPtr2 ;	42:8:1226:1249	819543	0	True				
ANR	819651	IdentifierDecl	* data = * dataPtr2		819543	0					
ANR	819652	IdentifierDeclType	char *		819543	0					
ANR	819653	Identifier	data		819543	1					
ANR	819654	AssignmentExpression	* data = * dataPtr2		819543	2		=			
ANR	819655	Identifier	data		819543	0					
ANR	819656	UnaryOperationExpression	* dataPtr2		819543	1					
ANR	819657	UnaryOperator	*		819543	0					
ANR	819658	Identifier	dataPtr2		819543	1					
ANR	819659	CompoundStatement		21:12:576:592	819543	1					
ANR	819660	IdentifierDeclStatement	char source [ 100 ] ;	44:12:1275:1291	819543	0	True				
ANR	819661	IdentifierDecl	source [ 100 ]		819543	0					
ANR	819662	IdentifierDeclType	char [ 100 ]		819543	0					
ANR	819663	Identifier	source		819543	1					
ANR	819664	PrimaryExpression	100		819543	2					
ANR	819665	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	45:12:1306:1332	819543	1	True				
ANR	819666	CallExpression	"memset ( source , 'C' , 100 - 1 )"		819543	0					
ANR	819667	Callee	memset		819543	0					
ANR	819668	Identifier	memset		819543	0					
ANR	819669	ArgumentList	source		819543	1					
ANR	819670	Argument	source		819543	0					
ANR	819671	Identifier	source		819543	0					
ANR	819672	Argument	'C'		819543	1					
ANR	819673	PrimaryExpression	'C'		819543	0					
ANR	819674	Argument	100 - 1		819543	2					
ANR	819675	AdditiveExpression	100 - 1		819543	0		-			
ANR	819676	PrimaryExpression	100		819543	0					
ANR	819677	PrimaryExpression	1		819543	1					
ANR	819678	ExpressionStatement	source [ 100 - 1 ] = '\\0'	46:12:1368:1388	819543	2	True				
ANR	819679	AssignmentExpression	source [ 100 - 1 ] = '\\0'		819543	0		=			
ANR	819680	ArrayIndexing	source [ 100 - 1 ]		819543	0					
ANR	819681	Identifier	source		819543	0					
ANR	819682	AdditiveExpression	100 - 1		819543	1		-			
ANR	819683	PrimaryExpression	100		819543	0					
ANR	819684	PrimaryExpression	1		819543	1					
ANR	819685	PrimaryExpression	'\\0'		819543	1					
ANR	819686	ExpressionStatement	"memcpy ( data , source , 100 * sizeof ( char ) )"	48:12:1521:1559	819543	3	True				
ANR	819687	CallExpression	"memcpy ( data , source , 100 * sizeof ( char ) )"		819543	0					
ANR	819688	Callee	memcpy		819543	0					
ANR	819689	Identifier	memcpy		819543	0					
ANR	819690	ArgumentList	data		819543	1					
ANR	819691	Argument	data		819543	0					
ANR	819692	Identifier	data		819543	0					
ANR	819693	Argument	source		819543	1					
ANR	819694	Identifier	source		819543	0					
ANR	819695	Argument	100 * sizeof ( char )		819543	2					
ANR	819696	MultiplicativeExpression	100 * sizeof ( char )		819543	0		*			
ANR	819697	PrimaryExpression	100		819543	0					
ANR	819698	SizeofExpression	sizeof ( char )		819543	1					
ANR	819699	Sizeof	sizeof		819543	0					
ANR	819700	SizeofOperand	char		819543	1					
ANR	819701	ExpressionStatement	data [ 100 - 1 ] = '\\0'	50:12:1642:1660	819543	4	True				
ANR	819702	AssignmentExpression	data [ 100 - 1 ] = '\\0'		819543	0		=			
ANR	819703	ArrayIndexing	data [ 100 - 1 ]		819543	0					
ANR	819704	Identifier	data		819543	0					
ANR	819705	AdditiveExpression	100 - 1		819543	1		-			
ANR	819706	PrimaryExpression	100		819543	0					
ANR	819707	PrimaryExpression	1		819543	1					
ANR	819708	PrimaryExpression	'\\0'		819543	1					
ANR	819709	ExpressionStatement	printLine ( data )	51:12:1675:1690	819543	5	True				
ANR	819710	CallExpression	printLine ( data )		819543	0					
ANR	819711	Callee	printLine		819543	0					
ANR	819712	Identifier	printLine		819543	0					
ANR	819713	ArgumentList	data		819543	1					
ANR	819714	Argument	data		819543	0					
ANR	819715	Identifier	data		819543	0					
ANR	819716	ReturnType	void		819543	1					
ANR	819717	Identifier	CWE124_Buffer_Underwrite__malloc_char_memcpy_32_bad		819543	2					
ANR	819718	ParameterList			819543	3					
ANR	819719	CFGEntryNode	ENTRY		819543		True				
ANR	819720	CFGExitNode	EXIT		819543		True				
ANR	819721	Symbol	malloc		819543						
ANR	819722	Symbol	NULL		819543						
ANR	819723	Symbol	data		819543						
ANR	819724	Symbol	dataBuffer		819543						
ANR	819725	Symbol	source		819543						
