start	end	type	var
822381	822382	IS_AST_PARENT	
822381	822383	IS_AST_PARENT	
822384	822385	IS_AST_PARENT	
822386	822387	IS_AST_PARENT	
822389	822390	IS_AST_PARENT	
822388	822389	IS_AST_PARENT	
822393	822394	IS_AST_PARENT	
822395	822396	IS_AST_PARENT	
822395	822397	IS_AST_PARENT	
822393	822395	IS_AST_PARENT	
822392	822393	IS_AST_PARENT	
822391	822392	IS_AST_PARENT	
822388	822391	IS_AST_PARENT	
822386	822388	IS_AST_PARENT	
822384	822386	IS_AST_PARENT	
822381	822384	IS_AST_PARENT	
822380	822381	IS_AST_PARENT	
822379	822380	IS_AST_PARENT	
822400	822401	IS_AST_PARENT	
822400	822402	IS_AST_PARENT	
822399	822400	IS_AST_PARENT	
822398	822399	IS_AST_PARENT	
822406	822407	IS_AST_PARENT	
822405	822406	IS_AST_PARENT	
822410	822411	IS_AST_PARENT	
822410	822412	IS_AST_PARENT	
822409	822410	IS_AST_PARENT	
822408	822409	IS_AST_PARENT	
822405	822408	IS_AST_PARENT	
822404	822405	IS_AST_PARENT	
822403	822404	IS_AST_PARENT	
822398	822403	IS_AST_PARENT	
822379	822398	IS_AST_PARENT	
822415	822416	IS_AST_PARENT	
822414	822415	IS_AST_PARENT	
822418	822419	IS_AST_PARENT	
822417	822418	IS_AST_PARENT	
822420	822421	IS_AST_PARENT	
822417	822420	IS_AST_PARENT	
822423	822424	IS_AST_PARENT	
822423	822425	IS_AST_PARENT	
822422	822423	IS_AST_PARENT	
822417	822422	IS_AST_PARENT	
822414	822417	IS_AST_PARENT	
822413	822414	IS_AST_PARENT	
822379	822413	IS_AST_PARENT	
822428	822429	IS_AST_PARENT	
822430	822431	IS_AST_PARENT	
822430	822432	IS_AST_PARENT	
822428	822430	IS_AST_PARENT	
822427	822428	IS_AST_PARENT	
822427	822433	IS_AST_PARENT	
822426	822427	IS_AST_PARENT	
822379	822426	IS_AST_PARENT	
822435	822436	IS_AST_PARENT	
822437	822438	IS_AST_PARENT	
822437	822439	IS_AST_PARENT	
822435	822437	IS_AST_PARENT	
822434	822435	IS_AST_PARENT	
822379	822434	IS_AST_PARENT	
