command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	827797	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-900-c/testcases/000/234/382/CWE124_Buffer_Underwrite__malloc_char_memmove_11.c								
ANR	827798	Function	CWE124_Buffer_Underwrite__malloc_char_memmove_11_bad	23:0:636:1676							
ANR	827799	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_memmove_11_bad ()		827798	0					
ANR	827800	CompoundStatement		24:0:697:1676	827798	0					
ANR	827801	IdentifierDeclStatement	char * data ;	25:4:704:715	827798	0	True				
ANR	827802	IdentifierDecl	* data		827798	0					
ANR	827803	IdentifierDeclType	char *		827798	0					
ANR	827804	Identifier	data		827798	1					
ANR	827805	ExpressionStatement	data = NULL	26:4:722:733	827798	1	True				
ANR	827806	AssignmentExpression	data = NULL		827798	0		=			
ANR	827807	Identifier	data		827798	0					
ANR	827808	Identifier	NULL		827798	1					
ANR	827809	IfStatement	if ( globalReturnsTrue ( ) )		827798	2					
ANR	827810	Condition	globalReturnsTrue ( )	27:7:743:761	827798	0	True				
ANR	827811	CallExpression	globalReturnsTrue ( )		827798	0					
ANR	827812	Callee	globalReturnsTrue		827798	0					
ANR	827813	Identifier	globalReturnsTrue		827798	0					
ANR	827814	ArgumentList			827798	1					
ANR	827815	CompoundStatement		5:4:71:71	827798	1					
ANR	827816	CompoundStatement		7:12:97:149	827798	0					
ANR	827817	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:795:847	827798	0	True				
ANR	827818	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		827798	0					
ANR	827819	IdentifierDeclType	char *		827798	0					
ANR	827820	Identifier	dataBuffer		827798	1					
ANR	827821	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		827798	2		=			
ANR	827822	Identifier	dataBuffer		827798	0					
ANR	827823	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		827798	1					
ANR	827824	CastTarget	char *		827798	0					
ANR	827825	CallExpression	malloc ( 100 * sizeof ( char ) )		827798	1					
ANR	827826	Callee	malloc		827798	0					
ANR	827827	Identifier	malloc		827798	0					
ANR	827828	ArgumentList	100 * sizeof ( char )		827798	1					
ANR	827829	Argument	100 * sizeof ( char )		827798	0					
ANR	827830	MultiplicativeExpression	100 * sizeof ( char )		827798	0		*			
ANR	827831	PrimaryExpression	100		827798	0					
ANR	827832	SizeofExpression	sizeof ( char )		827798	1					
ANR	827833	Sizeof	sizeof		827798	0					
ANR	827834	SizeofOperand	char		827798	1					
ANR	827835	IfStatement	if ( dataBuffer == NULL )		827798	1					
ANR	827836	Condition	dataBuffer == NULL	31:16:866:883	827798	0	True				
ANR	827837	EqualityExpression	dataBuffer == NULL		827798	0		==			
ANR	827838	Identifier	dataBuffer		827798	0					
ANR	827839	Identifier	NULL		827798	1					
ANR	827840	CompoundStatement		8:36:188:188	827798	1					
ANR	827841	ExpressionStatement	exit ( - 1 )	31:37:887:895	827798	0	True				
ANR	827842	CallExpression	exit ( - 1 )		827798	0					
ANR	827843	Callee	exit		827798	0					
ANR	827844	Identifier	exit		827798	0					
ANR	827845	ArgumentList	- 1		827798	1					
ANR	827846	Argument	- 1		827798	0					
ANR	827847	UnaryOperationExpression	- 1		827798	0					
ANR	827848	UnaryOperator	-		827798	0					
ANR	827849	PrimaryExpression	1		827798	1					
ANR	827850	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	32:12:910:940	827798	2	True				
ANR	827851	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		827798	0					
ANR	827852	Callee	memset		827798	0					
ANR	827853	Identifier	memset		827798	0					
ANR	827854	ArgumentList	dataBuffer		827798	1					
ANR	827855	Argument	dataBuffer		827798	0					
ANR	827856	Identifier	dataBuffer		827798	0					
ANR	827857	Argument	'A'		827798	1					
ANR	827858	PrimaryExpression	'A'		827798	0					
ANR	827859	Argument	100 - 1		827798	2					
ANR	827860	AdditiveExpression	100 - 1		827798	0		-			
ANR	827861	PrimaryExpression	100		827798	0					
ANR	827862	PrimaryExpression	1		827798	1					
ANR	827863	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	33:12:955:979	827798	3	True				
ANR	827864	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		827798	0		=			
ANR	827865	ArrayIndexing	dataBuffer [ 100 - 1 ]		827798	0					
ANR	827866	Identifier	dataBuffer		827798	0					
ANR	827867	AdditiveExpression	100 - 1		827798	1		-			
ANR	827868	PrimaryExpression	100		827798	0					
ANR	827869	PrimaryExpression	1		827798	1					
ANR	827870	PrimaryExpression	'\\0'		827798	1					
ANR	827871	ExpressionStatement	data = dataBuffer - 8	35:12:1074:1095	827798	4	True				
ANR	827872	AssignmentExpression	data = dataBuffer - 8		827798	0		=			
ANR	827873	Identifier	data		827798	0					
ANR	827874	AdditiveExpression	dataBuffer - 8		827798	1		-			
ANR	827875	Identifier	dataBuffer		827798	0					
ANR	827876	PrimaryExpression	8		827798	1					
ANR	827877	CompoundStatement		16:8:433:449	827798	3					
ANR	827878	IdentifierDeclStatement	char source [ 100 ] ;	39:8:1131:1147	827798	0	True				
ANR	827879	IdentifierDecl	source [ 100 ]		827798	0					
ANR	827880	IdentifierDeclType	char [ 100 ]		827798	0					
ANR	827881	Identifier	source		827798	1					
ANR	827882	PrimaryExpression	100		827798	2					
ANR	827883	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	40:8:1158:1184	827798	1	True				
ANR	827884	CallExpression	"memset ( source , 'C' , 100 - 1 )"		827798	0					
ANR	827885	Callee	memset		827798	0					
ANR	827886	Identifier	memset		827798	0					
ANR	827887	ArgumentList	source		827798	1					
ANR	827888	Argument	source		827798	0					
ANR	827889	Identifier	source		827798	0					
ANR	827890	Argument	'C'		827798	1					
ANR	827891	PrimaryExpression	'C'		827798	0					
ANR	827892	Argument	100 - 1		827798	2					
ANR	827893	AdditiveExpression	100 - 1		827798	0		-			
ANR	827894	PrimaryExpression	100		827798	0					
ANR	827895	PrimaryExpression	1		827798	1					
ANR	827896	ExpressionStatement	source [ 100 - 1 ] = '\\0'	41:8:1216:1236	827798	2	True				
ANR	827897	AssignmentExpression	source [ 100 - 1 ] = '\\0'		827798	0		=			
ANR	827898	ArrayIndexing	source [ 100 - 1 ]		827798	0					
ANR	827899	Identifier	source		827798	0					
ANR	827900	AdditiveExpression	100 - 1		827798	1		-			
ANR	827901	PrimaryExpression	100		827798	0					
ANR	827902	PrimaryExpression	1		827798	1					
ANR	827903	PrimaryExpression	'\\0'		827798	1					
ANR	827904	ExpressionStatement	"memmove ( data , source , 100 * sizeof ( char ) )"	43:8:1361:1400	827798	3	True				
ANR	827905	CallExpression	"memmove ( data , source , 100 * sizeof ( char ) )"		827798	0					
ANR	827906	Callee	memmove		827798	0					
ANR	827907	Identifier	memmove		827798	0					
ANR	827908	ArgumentList	data		827798	1					
ANR	827909	Argument	data		827798	0					
ANR	827910	Identifier	data		827798	0					
ANR	827911	Argument	source		827798	1					
ANR	827912	Identifier	source		827798	0					
ANR	827913	Argument	100 * sizeof ( char )		827798	2					
ANR	827914	MultiplicativeExpression	100 * sizeof ( char )		827798	0		*			
ANR	827915	PrimaryExpression	100		827798	0					
ANR	827916	SizeofExpression	sizeof ( char )		827798	1					
ANR	827917	Sizeof	sizeof		827798	0					
ANR	827918	SizeofOperand	char		827798	1					
ANR	827919	ExpressionStatement	data [ 100 - 1 ] = '\\0'	45:8:1475:1493	827798	4	True				
ANR	827920	AssignmentExpression	data [ 100 - 1 ] = '\\0'		827798	0		=			
ANR	827921	ArrayIndexing	data [ 100 - 1 ]		827798	0					
ANR	827922	Identifier	data		827798	0					
ANR	827923	AdditiveExpression	100 - 1		827798	1		-			
ANR	827924	PrimaryExpression	100		827798	0					
ANR	827925	PrimaryExpression	1		827798	1					
ANR	827926	PrimaryExpression	'\\0'		827798	1					
ANR	827927	ExpressionStatement	printLine ( data )	46:8:1504:1519	827798	5	True				
ANR	827928	CallExpression	printLine ( data )		827798	0					
ANR	827929	Callee	printLine		827798	0					
ANR	827930	Identifier	printLine		827798	0					
ANR	827931	ArgumentList	data		827798	1					
ANR	827932	Argument	data		827798	0					
ANR	827933	Identifier	data		827798	0					
ANR	827934	ReturnType	void		827798	1					
ANR	827935	Identifier	CWE124_Buffer_Underwrite__malloc_char_memmove_11_bad		827798	2					
ANR	827936	ParameterList			827798	3					
ANR	827937	CFGEntryNode	ENTRY		827798		True				
ANR	827938	CFGExitNode	EXIT		827798		True				
ANR	827939	Symbol	malloc		827798						
ANR	827940	Symbol	NULL		827798						
ANR	827941	Symbol	data		827798						
ANR	827942	Symbol	* source		827798						
ANR	827943	Symbol	dataBuffer		827798						
ANR	827944	Symbol	source		827798						
ANR	827945	Symbol	globalReturnsTrue		827798						
ANR	827946	Symbol	* data		827798						
ANR	827947	Symbol	* dataBuffer		827798						
ANR	827948	Function	goodG2B1	57:0:1832:2968							
ANR	827949	FunctionDef	goodG2B1 ()		827948	0					
ANR	827950	CompoundStatement		58:0:1856:2968	827948	0					
ANR	827951	IdentifierDeclStatement	char * data ;	59:4:1863:1874	827948	0	True				
ANR	827952	IdentifierDecl	* data		827948	0					
ANR	827953	IdentifierDeclType	char *		827948	0					
ANR	827954	Identifier	data		827948	1					
ANR	827955	ExpressionStatement	data = NULL	60:4:1881:1892	827948	1	True				
ANR	827956	AssignmentExpression	data = NULL		827948	0		=			
ANR	827957	Identifier	data		827948	0					
ANR	827958	Identifier	NULL		827948	1					
ANR	827959	IfStatement	if ( globalReturnsFalse ( ) )		827948	2					
ANR	827960	Condition	globalReturnsFalse ( )	61:7:1902:1921	827948	0	True				
ANR	827961	CallExpression	globalReturnsFalse ( )		827948	0					
ANR	827962	Callee	globalReturnsFalse		827948	0					
ANR	827963	Identifier	globalReturnsFalse		827948	0					
ANR	827964	ArgumentList			827948	1					
ANR	827965	CompoundStatement		5:4:72:72	827948	1					
ANR	827966	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	64:8:2016:2049	827948	0	True				
ANR	827967	CallExpression	"printLine ( ""Benign, fixed string"" )"		827948	0					
ANR	827968	Callee	printLine		827948	0					
ANR	827969	Identifier	printLine		827948	0					
ANR	827970	ArgumentList	"""Benign, fixed string"""		827948	1					
ANR	827971	Argument	"""Benign, fixed string"""		827948	0					
ANR	827972	PrimaryExpression	"""Benign, fixed string"""		827948	0					
ANR	827973	ElseStatement	else		827948	0					
ANR	827974	CompoundStatement		10:4:216:216	827948	0					
ANR	827975	CompoundStatement		12:12:242:294	827948	0					
ANR	827976	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	69:12:2099:2151	827948	0	True				
ANR	827977	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		827948	0					
ANR	827978	IdentifierDeclType	char *		827948	0					
ANR	827979	Identifier	dataBuffer		827948	1					
ANR	827980	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		827948	2		=			
ANR	827981	Identifier	dataBuffer		827948	0					
ANR	827982	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		827948	1					
ANR	827983	CastTarget	char *		827948	0					
ANR	827984	CallExpression	malloc ( 100 * sizeof ( char ) )		827948	1					
ANR	827985	Callee	malloc		827948	0					
ANR	827986	Identifier	malloc		827948	0					
ANR	827987	ArgumentList	100 * sizeof ( char )		827948	1					
ANR	827988	Argument	100 * sizeof ( char )		827948	0					
ANR	827989	MultiplicativeExpression	100 * sizeof ( char )		827948	0		*			
ANR	827990	PrimaryExpression	100		827948	0					
ANR	827991	SizeofExpression	sizeof ( char )		827948	1					
ANR	827992	Sizeof	sizeof		827948	0					
ANR	827993	SizeofOperand	char		827948	1					
ANR	827994	IfStatement	if ( dataBuffer == NULL )		827948	1					
ANR	827995	Condition	dataBuffer == NULL	70:16:2170:2187	827948	0	True				
ANR	827996	EqualityExpression	dataBuffer == NULL		827948	0		==			
ANR	827997	Identifier	dataBuffer		827948	0					
ANR	827998	Identifier	NULL		827948	1					
ANR	827999	CompoundStatement		13:36:333:333	827948	1					
ANR	828000	ExpressionStatement	exit ( - 1 )	70:37:2191:2199	827948	0	True				
ANR	828001	CallExpression	exit ( - 1 )		827948	0					
ANR	828002	Callee	exit		827948	0					
ANR	828003	Identifier	exit		827948	0					
ANR	828004	ArgumentList	- 1		827948	1					
ANR	828005	Argument	- 1		827948	0					
ANR	828006	UnaryOperationExpression	- 1		827948	0					
ANR	828007	UnaryOperator	-		827948	0					
ANR	828008	PrimaryExpression	1		827948	1					
ANR	828009	ExpressionStatement	"memset ( dataBuffer , 'A' , 100 - 1 )"	71:12:2214:2244	827948	2	True				
ANR	828010	CallExpression	"memset ( dataBuffer , 'A' , 100 - 1 )"		827948	0					
ANR	828011	Callee	memset		827948	0					
ANR	828012	Identifier	memset		827948	0					
ANR	828013	ArgumentList	dataBuffer		827948	1					
ANR	828014	Argument	dataBuffer		827948	0					
ANR	828015	Identifier	dataBuffer		827948	0					
ANR	828016	Argument	'A'		827948	1					
ANR	828017	PrimaryExpression	'A'		827948	0					
ANR	828018	Argument	100 - 1		827948	2					
ANR	828019	AdditiveExpression	100 - 1		827948	0		-			
ANR	828020	PrimaryExpression	100		827948	0					
ANR	828021	PrimaryExpression	1		827948	1					
ANR	828022	ExpressionStatement	dataBuffer [ 100 - 1 ] = '\\0'	72:12:2259:2283	827948	3	True				
ANR	828023	AssignmentExpression	dataBuffer [ 100 - 1 ] = '\\0'		827948	0		=			
ANR	828024	ArrayIndexing	dataBuffer [ 100 - 1 ]		827948	0					
ANR	828025	Identifier	dataBuffer		827948	0					
ANR	828026	AdditiveExpression	100 - 1		827948	1		-			
ANR	828027	PrimaryExpression	100		827948	0					
ANR	828028	PrimaryExpression	1		827948	1					
ANR	828029	PrimaryExpression	'\\0'		827948	1					
ANR	828030	ExpressionStatement	data = dataBuffer	74:12:2370:2387	827948	4	True				
ANR	828031	AssignmentExpression	data = dataBuffer		827948	0		=			
ANR	828032	Identifier	data		827948	0					
